token,lemma,upos,clique,stem,synonyms,hypernyms
oracle,oracle,NOUN,1,oracl,oracle|prophesier|prophet|seer|vaticinator,diviner|prophecy|divination|shrine
bone,bone,NOUN,1,bone,bone|ivory|off-white|os|osseous tissue|pearl,connective tissue|animal material|white|whiteness
inscriptions,inscription,NOUN,1,inscript,dedication|inscription|lettering,writing|written material|piece of writing|message|committal to writing
earliest,earliest,ADJ,1,earliest,earlier|earliest,
mature,mature,ADJ,1,matur,fledged|mature|matured|ripe,
writing,write,NOUN,1,write,,NA
system,system,NOUN,1,system,arrangement|organisation|organization|scheme|system|system of rules,instrumentality|instrumentation|group|grouping|matter|method|structure|body part|plan of action|live body|orderliness|methodicalness
discovered,discover,VERB,1,discov,attain|break|bring out|chance on|chance upon|come across|come upon|describe|detect|disclose|discover|distinguish|divulge|expose|fall upon|find|find out|get a line|get wind|get word|give away|happen upon|hear|identify|key|key out|learn|let on|let out|light upon|name|notice|observe|pick up|reveal|see|strike|uncover|unwrap,spy|sight|gestate|conceive|conceptualize|conceptualise|learn|hear|get word|get wind|pick up|find out|get a line|discover|see|find|regain|tell
china,china,NOUN,1,china,Cathay|china|China|chinaware|Communist China|mainland China|Nationalist China|People's Republic of China|PRC|Red China|Republic of China|Taiwan,porcelain|crockery|dishware
oracle,oracle,NOUN,2,oracl,oracle|prophesier|prophet|seer|vaticinator,diviner|prophecy|divination|shrine
characters,characters,NOUN,2,charact,,NA
appeared,appear,VERB,2,appear,appear|come along|come out|look|seem,be|happen|materialize|materialise|perform|execute|do
shang,shang,NOUN,2,shang,Shang|Shang dynasty,dynasty
dynasty,dynasty,NOUN,2,dynasti,dynasty,family|family line|folk|kinfolk|kinsfolk|sept|phratry
circa,circa,NOUN,2,circa,,NA
oldest,oldest,ADJ,2,oldest,,NA
china,china,NOUN,2,china,Cathay|china|China|chinaware|Communist China|mainland China|Nationalist China|People's Republic of China|PRC|Red China|Republic of China|Taiwan,porcelain|crockery|dishware
characters,characters,NOUN,3,charact,,NA
usually,usually,ADV,3,usual,commonly|normally|ordinarily|unremarkably|usually,
carved,carve,VERB,3,carv,carve|chip at|cut up,cut|shape|form|work|mold|mould|forge
cattle,cattle,NOUN,3,cattl,Bos taurus|cattle|cows|kine|oxen,bovine
bones,bone,NOUN,3,bone,bone|ivory|off-white|os|osseous tissue|pearl,connective tissue|animal material|white|whiteness
turtle,turtle,NOUN,3,turtl,polo-neck|turtle|turtleneck,sweater|jumper|jersey|T-shirt|tee shirt|chelonian|chelonian reptile
shells,shell,NOUN,3,shell,carapace|case|casing|cuticle|eggshell|plate|racing shell|scale|shell|shield,ammunition|ammo|animal material|scute|hull|covering|natural covering|cover|racing boat|housing|shield
figure,figure,VERB,3,figur,calculate|cipher|compute|count on|cypher|enter|envision|estimate|fancy|figure|forecast|image|picture|project|reckon|see|visualise|visualize|work out,evaluate|pass judgment|judge|be|imagine|conceive of|ideate|envisage|reason|grok|get the picture|comprehend|savvy|dig|grasp|compass|apprehend
research,research,NOUN,4,research,enquiry|inquiry|research,investigation|investigating|problem solving
oracle,oracle,NOUN,4,oracl,oracle|prophesier|prophet|seer|vaticinator,diviner|prophecy|divination|shrine
characters,characters,NOUN,4,charact,,NA
has,have,VERB,4,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
great,great,ADJ,4,great,bang-up|big(p)|bully|capital|corking|cracking|dandy|enceinte|expectant|gravid|great|great(p)|groovy|heavy(p)|keen|large(p)|majuscule|neat|nifty|not bad(p)|old(a)|outstanding|peachy|slap-up|smashing|swell|with child(p),
significance,significance,NOUN,4,signific,implication|import|meaning|significance|signification,importance|meaning|substance|message|content|subject matter
archeology,archeology,NOUN,4,archeologi,archaeology|archeology,anthropology
philology,philology,NOUN,4,philologi,linguistics|philology,humanistic discipline|humanities|liberal arts|arts
therefore,therefore,ADV,5,therefor,consequently|hence|so|thence|therefore|thus,NA
computer,computer,NOUN,5,comput,calculator|computer|computing device|computing machine|data processor|electronic computer|estimator|figurer|information processing system|reckoner,machine|expert
technologies,technology,NOUN,5,technologi,applied science|engineering|engineering science|technology,application|practical application|discipline|subject|subject area|subject field|field|field of study|study|bailiwick|machinery|equipment
have,have,VERB,5,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
adopted,adopt,VERB,5,adopt,acquire|adopt|assume|borrow|dramatise|dramatize|embrace|espouse|follow|sweep up|take|take in|take on|take over|take up,choose|take|select|pick out|accept|have|take office|change|write|compose|pen|indite
study,study,NOUN,5,studi,bailiwick|cogitation|discipline|field|field of study|report|sketch|study|subject|subject area|subject field|survey|work|written report,examination|scrutiny|learning|acquisition|document|written document|papers|concentration|engrossment|absorption|immersion|room|knowledge domain|knowledge base|domain|drawing|contemplation|reflection|reflexion|rumination|musing|thoughtfulness|memorizer|memoriser|musical composition|opus|composition|piece|piece of music
oracle,oracle,NOUN,5,oracl,oracle|prophesier|prophet|seer|vaticinator,diviner|prophecy|divination|shrine
characters,characters,NOUN,5,charact,,NA
researches,researches,NOUN,6,research,,NA
primarily,primarily,ADV,6,primarili,chiefly|in the first place|in the main|mainly|primarily|principally,
focus,focus,NOUN,6,focu,centering|direction|focal point|focus|focusing|focussing|nidus|stress,concentration|engrossment|absorption|immersion|distinctness|sharpness|clarity|lucidity|lucidness|pellucidity|clearness|limpidity|point|emphasis|accent
oracle,oracle,NOUN,6,oracl,oracle|prophesier|prophet|seer|vaticinator,diviner|prophecy|divination|shrine
character,character,NOUN,6,charact,case|character|character reference|eccentric|fiber|fibre|fictional character|fictitious character|graph|grapheme|graphic symbol|lineament|part|persona|quality|reference|role|theatrical role|type,imaginary being|imaginary creature|property|attribute|dimension|trait|portrayal|characterization|enactment|personation|adult|grownup|repute|reputation|recommendation|testimonial|good word|written symbol|printed symbol
recognition,recognition,NOUN,6,recognit,acknowledgement|acknowledgment|credit|identification|realisation|realization|recognition,acceptance|memory|remembering|approval|commendation|understanding|apprehension|discernment|savvy|organic phenomenon|diplomacy|diplomatic negotiations|credence|appointment|assignment|designation|naming
structure,structure,NOUN,6,structur,anatomical structure|bodily structure|body structure|complex body part|construction|social organisation|social organization|social structure|social system|structure,artifact|artefact|constitution|composition|physical composition|makeup|make-up|cognition|knowledge|noesis|body part|system|scheme
analysis,analysis,NOUN,6,analysi,analysis|analytic thinking|depth psychology|psychoanalysis,investigation|investigating|reasoning|logical thinking|abstract thought|criticism|literary criticism|expressive style|style|calculus|infinitesimal calculus|psychotherapy
dataset,dataset,NOUN,6,dataset,,NA
collection,collection,NOUN,6,collect,accumulation|aggregation|appeal|assemblage|assembling|collecting|collection|compendium|ingathering|solicitation,group|grouping|publication|request|petition|postulation
bone,bone,NOUN,6,bone,bone|ivory|off-white|os|osseous tissue|pearl,connective tissue|animal material|white|whiteness
fragments,fragment,NOUN,6,fragment,fragment|shard|sherd,part|piece
rejoining,rejoin,VERB,6,rejoin,come back|rejoin|repay|retort|return|riposte,join|fall in|get together|answer|reply|respond
compared,compare,VERB,7,compar,compare|equate|liken,analyze|analyse|study|examine|canvass|be|consider|inflect
modern,modern,ADJ,7,modern,advanced|forward-looking|innovative|mod|modern|Modern|modernistic|New,
chinese,chinese,ADJ,7,chines,Chinese|Formosan|Taiwanese,
characters,characters,NOUN,7,charact,,NA
oracle,oracle,NOUN,7,oracl,oracle|prophesier|prophet|seer|vaticinator,diviner|prophecy|divination|shrine
also,also,ADV,7,also,also|as well|besides|likewise|too,NA
have,have,VERB,7,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
structural,structural,ADJ,7,structur,geomorphologic|geomorphological|morphologic|morphological|structural,
characteristics,characteristic,NOUN,7,characterist,characteristic|device characteristic|feature,property|attribute|dimension|quality|integer|whole number
therefore,therefore,ADV,8,therefor,consequently|hence|so|thence|therefore|thus,NA
literatures,literature,NOUN,8,literatur,lit|literature,writing|written material|piece of writing|literary study|profession
have,have,VERB,8,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
appeared,appear,VERB,8,appear,appear|come along|come out|look|seem,be|happen|materialize|materialise|perform|execute|do
recognize,recognize,VERB,8,recogn,accredit|acknowledge|agnise|agnize|discern|distinguish|greet|know|make out|pick out|realise|realize|recognise|recognize|spot|tell apart,accept|know|cognize|cognise|remember|retrieve|recall|call back|call up|recollect|think|license|licence|certify|address|accost|come up to|thank|give thanks|be|prize|value|treasure|appreciate
oracle,oracle,NOUN,8,oracl,oracle|prophesier|prophet|seer|vaticinator,diviner|prophecy|divination|shrine
characters,characters,NOUN,8,charact,,NA
study,study,NOUN,8,studi,bailiwick|cogitation|discipline|field|field of study|report|sketch|study|subject|subject area|subject field|survey|work|written report,examination|scrutiny|learning|acquisition|document|written document|papers|concentration|engrossment|absorption|immersion|room|knowledge domain|knowledge base|domain|drawing|contemplation|reflection|reflexion|rumination|musing|thoughtfulness|memorizer|memoriser|musical composition|opus|composition|piece|piece of music
