token,lemma,upos,clique,stem,synonyms,hypernyms
bibliometrics,bibliometric,NOUN,1,bibliometr,,NA
measures,measure,NOUN,1,measur,amount|bar|beat|bill|cadence|criterion|measure|measurement|measuring|measuring rod|measuring stick|mensuration|meter|metre|quantity|standard|step|touchstone,maneuver|manoeuvre|tactical maneuver|tactical manoeuvre|abstraction|abstract entity|legal document|legal instrument|official document|instrument|activity|system of measurement|metric|poetic rhythm|rhythmic pattern|prosody|musical notation|measuring instrument|measuring system|measuring device|container
standing,stand,VERB,1,stand,abide|bear|brook|digest|endure|fend|place upright|put up|remain firm|resist|stand|stand up|stick out|stomach|suffer|support|tolerate,rest|be|resist|hold out|withstand|stand firm|permit|allow|let|countenance|evaluate|pass judgment|judge|stay|remain|continue|measure|put|set|place|pose|position|lay|fight|oppose|fight back|fight down|defend|serve|service
influence,influence,NOUN,1,influenc,influence,power|powerfulness|causing|causation|determinant|determiner|determinative|determining factor|causal factor|consequence|effect|outcome|result|event|issue|upshot|force
author,author,NOUN,1,author,author|generator|source|writer,communicator|maker|shaper
journal,journal,NOUN,1,journal,daybook|diary|journal,writing|written material|piece of writing|periodical|ledger|leger|account book|book of account|book|volume|axle
article,article,NOUN,1,articl,article|clause,nonfiction|nonfictional prose|piece|artifact|artefact|section|subdivision|determiner|determinative
scholarly,scholarly,ADV,1,scholarli,,NA
networks,network,NOUN,1,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
based,base,VERB,1,base,base|establish|found|free-base|ground,situate|locate|drug|do drugs
various,various,ADJ,1,variou,assorted|diverse|respective(a)|several(a)|various|various(a)|versatile,
citation,citation,NOUN,1,citat,acknowledgment|citation|Citation|cite|commendation|credit|mention|quotation|quote|reference,award|accolade|honor|honour|laurels|speech act|note|annotation|notation|excerpt|excerption|extract|selection|summons|process
analyses,analysis,NOUN,1,analysi,analysis|analytic thinking|depth psychology|psychoanalysis,investigation|investigating|reasoning|logical thinking|abstract thought|criticism|literary criticism|expressive style|style|calculus|infinitesimal calculus|psychotherapy
citations,citation,NOUN,2,citat,acknowledgment|citation|Citation|cite|commendation|credit|mention|quotation|quote|reference,award|accolade|honor|honour|laurels|speech act|note|annotation|notation|excerpt|excerption|extract|selection|summons|process
serve,serve,VERB,2,serv,answer|assist|attend|attend to|dish|dish out|dish up|do|function|help|process|serve|serve up|serve well|service|suffice|swear out|wait on,suffice|do|answer|serve|work|do work|effect|effectuate|set up|function|operate|go|run|provide|supply|ply|cater|foster|nurture|spend|pass|help|assist|aid|deliver|satisfy|fulfill|fulfil|live up to|copulate|mate|pair|couple|move
as,as,ADV,2,a,as|equally|every bit,
carriers,carrier,NOUN,2,carrier,aircraft carrier|attack aircraft carrier|bearer|carrier|carrier wave|common carrier|flattop|immune carrier|letter carrier|mail carrier|mailman|newsboy|postman|toter,traveler|traveller|self-propelled vehicle|warship|war vessel|combat ship|chemical|chemical substance|business|concern|business concern|business organization|business organisation|radio wave|radio emission|radio radiation|deliveryman|delivery boy|deliverer|immune|vector|transmitter|rack|organism|being
authority,authority,NOUN,2,author,agency|assurance|authorisation|authority|authorization|bureau|confidence|dominance|federal agency|government agency|office|potency|sanction|say-so|self-assurance|self-confidence|sureness,control|person|individual|someone|somebody|mortal|soul|expert|certainty|administrative unit|administrative body|permission|book
correspond,correspond,NOUN,2,correspond,,NA
different,different,ADJ,2,differ,different,
endorsements,endorsement,NOUN,2,endors,blurb|countenance|endorsement|imprimatur|indorsement|sanction|second|secondment|warrant,promotion|promo|publicity|promotional material|packaging|agreement|approval|commendation|signature|support
scientific,scientific,ADJ,3,scientif,scientific,
collaboration,collaboration,NOUN,3,collabor,coaction|collaboration|collaborationism|quislingism,cooperation
endorsement,endorsement,NOUN,3,endors,blurb|countenance|endorsement|imprimatur|indorsement|sanction|second|secondment|warrant,promotion|promo|publicity|promotional material|packaging|agreement|approval|commendation|signature|support
established,establish,VERB,3,establish,base|build|constitute|demonstrate|establish|found|give|ground|instal|install|institute|launch|lay down|make|plant|prove|set up|shew|show,open|open up|initiate|pioneer|confirm|corroborate|sustain|substantiate|support|affirm|make|create
research,research,NOUN,3,research,enquiry|inquiry|research,investigation|investigating|problem solving
topics,topic,NOUN,3,topic,issue|matter|subject|theme|topic,message|content|subject matter|substance|cognitive content|mental object
utilizing,utilize,VERB,3,util,apply|employ|use|utilise|utilize,change|exchange|commute|convert
kinds,kind,NOUN,3,kind,form|kind|sort|variety,category
methods,method,NOUN,3,method,method|method acting,know-how|acting|playing|playacting|performing
milojevic,milojevic,ADJ,3,milojev,,NA
qualitative,qualitative,ADJ,3,qualit,qualitative,
surveys,survey,NOUN,3,survei,resume|sight|sketch|study|survey|view,examination|scrutiny|summary|sum-up|look|looking|looking at
questionnaires,questionnaire,NOUN,3,questionnair,questionnaire,form
interviews,interview,NOUN,3,interview,audience|consultation|interview,interrogation|examination|interrogatory|conference|group discussion
observations,observation,NOUN,3,observ,notice|observance|observation|reflection|reflexion|watching,measurement|measuring|measure|mensuration|look|looking|looking at|remark|comment|input|fact|attention|attending
bibliometric,bibliometric,ADJ,3,bibliometr,,NA
publication,publication,NOUN,3,public,issue|publication|publishing,work|piece of work|printing|communication|commercial enterprise|business enterprise|business
counting,count,VERB,3,count,bank|bet|calculate|consider|count|depend|enumerate|look|matter|number|numerate|reckon|rely|swear|weigh,determine|find|find out|ascertain|be|recite|classify|class|sort|assort|sort out|separate|include|trust|estimate|gauge|approximate|guess|judge
citation,citation,NOUN,3,citat,acknowledgment|citation|Citation|cite|commendation|credit|mention|quotation|quote|reference,award|accolade|honor|honour|laurels|speech act|note|annotation|notation|excerpt|excerption|extract|selection|summons|process
analysis,analysis,NOUN,3,analysi,analysis|analytic thinking|depth psychology|psychoanalysis,investigation|investigating|reasoning|logical thinking|abstract thought|criticism|literary criticism|expressive style|style|calculus|infinitesimal calculus|psychotherapy
complex,complex,NOUN,3,complex,building complex|complex|composite|coordination compound,whole|compound|chemical compound|feeling|structure|construction
network,network,NOUN,3,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
shortest,shortest,ADJ,3,shortest,,NA
path,path,NOUN,3,path,course|itinerary|path|route|track|way|way of life,course|course of action|way|line
centralities,centrality,NOUN,3,central,centrality,position|spatial relation
parameters,parameter,NOUN,3,paramet,argument|parameter|parametric quantity,constant|constant quantity|invariable|factor|address|computer address|reference|value|quantity
pagerank,pagerank,NOUN,3,pagerank,,NA
