token,lemma,upos,clique,stem,synonyms,hypernyms
accordance,accordance,NOUN,1,accord,accord|accordance|accordance of rights|conformity,agreement|giving|gift
development,development,NOUN,1,develop,developing|development|evolution|exploitation|growing|growth|maturation|ontogenesis|ontogeny,improvement|process|physical process|organic process|biological process|change|alteration|modification|use|usage|utilization|utilisation|employment|exercise|district|territory|territorial dominion|dominion|melioration|processing|section|subdivision
network,network,NOUN,1,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
communication,communication,NOUN,1,commun,communicating|communication,act|deed|human action|human activity|abstraction|abstract entity|connection|connexion|connectedness
electronic,electronic,ADJ,1,electron,electronic,
social,social,ADJ,1,social,social|societal,
such,such,ADJ,1,such,such(a),
as,as,ADV,1,a,as|equally|every bit,
facebook,facebook,NOUN,1,facebook,,NA
twitter,twitter,NOUN,1,twitter,chirrup|twitter,sound
has,have,VERB,1,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
played,play,VERB,1,plai,act|act as|bet|bring|dally|diddle|encounter|fiddle|flirt|make for|meet|play|playact|recreate|represent|roleplay|run|spiel|take on|toy|trifle|wager|work|wreak,NA
important,important,ADJ,1,import,authoritative|crucial|important|of import|significant,
part,part,NOUN,1,part,character|component|component part|constituent|contribution|division|function|office|part|parting|percentage|persona|piece|portion|region|role|section|share|theatrical role|voice,relation|object|physical object|thing|concern|location|duty|portrayal|characterization|enactment|personation|assets|concept|conception|construct|line|tune|melody|air|strain|melodic line|melodic phrase|attempt|effort|endeavor|endeavour|try|item
people,people,NOUN,1,peopl,citizenry|hoi polloi|mass|masses|multitude|people|the great unwashed,group|grouping|family|family line|folk|kinfolk|kinsfolk|sept|phratry
daily,daily,ADV,1,daili,daily|day by day,NA
many,many,ADJ,2,mani,many,
social,social,ADJ,2,social,social|societal,
networking,networke,NOUN,2,network,,NA
sites,site,NOUN,2,site,internet site|land site|site|situation|web site|website,tract|piece of land|piece of ground|parcel of land|parcel|position|place|computer|computing machine|computing device|data processor|electronic computer|information processing system
have,have,VERB,2,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
launched,launch,VERB,2,launch,establish|found|launch|plunge|set in motion|set up,open|open up|propel|impel|launch|set in motion|get down|begin|get|start out|start|set about|set out|commence|move|displace|smooth|smoothen
community,community,NOUN,2,commun,biotic community|community|community of interests|residential area|residential district,gathering|assemblage|people|ownership|world organization|world organisation|international organization|international organisation|global organization|agreement|accord|district|territory|territorial dominion|dominion|group|grouping
recommended,recommend,VERB,2,recommend,advocate|commend|recommend|urge,propose|suggest|advise|praise|change|alter|modify
friend,friend,NOUN,2,friend,acquaintance|admirer|ally|booster|champion|friend|Friend|protagonist|Quaker|supporter,person|individual|someone|somebody|mortal|soul|associate|advocate|advocator|proponent|exponent|Christian
circle,circle,NOUN,2,circl,band|circle|circuit|dress circle|forget me drug|lap|lot|Mexican valium|R-2|roach|roofy|rope|rophy|rotary|round|roundabout|set|traffic circle,ellipse|oval|social group|shape|form|locomotion|travel|junction|flunitrazepan|Rohypnol|seating|seats|seating room|seating area|rotating mechanism
service,service,NOUN,2,servic,armed service|avail|divine service|help|inspection and repair|military service|overhaul|religious service|Robert William Service|serve|service|Service|service of process|servicing|serving|table service,work|aid|assist|assistance|help|religious ceremony|religious ritual|company|employment|force|personnel|helpfulness|tableware|coupling|mating|pairing|conjugation|union|sexual union|activity|tennis stroke|tennis shot|delivery|bringing|care|maintenance|upkeep|accommodation
enrich,enrich,NOUN,2,enrich,,NA
people,people,NOUN,2,peopl,citizenry|hoi polloi|mass|masses|multitude|people|the great unwashed,group|grouping|family|family line|folk|kinfolk|kinsfolk|sept|phratry
web,web,NOUN,2,web,entanglement|network|vane|web|World Wide Web|WWW,object|physical object|trap|blade|system|scheme|computer network|fabric|cloth|material|textile|membrane|tissue layer
life,life,NOUN,2,life,aliveness|animation|biography|life|life history|life sentence|life story|life-time|lifespan|lifetime|liveliness|living|spirit|sprightliness,being|beingness|existence|face of the earth|experience|time period|period of time|period|person|individual|someone|somebody|mortal|soul|animation|spiritedness|invigoration|brio|vivification|living thing|animate thing|organic phenomenon|history|account|chronicle|story|motivation|motive|need|prison term|sentence|time
thus,thus,ADV,3,thu,hence|so|thence|therefore|thus|thusly,NA
community,community,NOUN,3,commun,biotic community|community|community of interests|residential area|residential district,gathering|assemblage|people|ownership|world organization|world organisation|international organization|international organisation|global organization|agreement|accord|district|territory|territorial dominion|dominion|group|grouping
detection,detection,NOUN,3,detect,catching|detecting|detection|detective work|espial|sensing|signal detection|sleuthing|spotting|spying,perception|discovery|find|uncovering|reception|police work|police investigation
recommendation,recommendation,NOUN,3,recommend,good word|passport|recommendation|testimonial,advice|praise|congratulations|kudos|extolment|characteristic
algorithms,algorithm,NOUN,3,algorithm,algorithm|algorithmic program|algorithmic rule,rule|formula
have,have,VERB,3,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
become,become,VERB,3,becom,become|get|go|suit|turn,change state|turn|transform|transmute|metamorphose|fancify|beautify|embellish|prettify
focus,focus,NOUN,3,focu,centering|direction|focal point|focus|focusing|focussing|nidus|stress,concentration|engrossment|absorption|immersion|distinctness|sharpness|clarity|lucidity|lucidness|pellucidity|clearness|limpidity|point|emphasis|accent
social,social,ADJ,3,social,social|societal,
networks,network,NOUN,3,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
data,data,NOUN,3,data,data|information,collection|aggregation|accumulation|assemblage
mining,mining,NOUN,3,mine,excavation|minelaying|mining,production|defense|defence|defensive measure
date,date,NOUN,4,date,appointment|date|day of the month|engagement|escort,day|twenty-four hours|twenty-four hour period|24-hour interval|solar day|mean solar day|companion|comrade|fellow|familiar|associate|meeting|get together|present|nowadays|calendar day|civil day|calendar month|month|calendar year|civil year|edible fruit
community,community,NOUN,4,commun,biotic community|community|community of interests|residential area|residential district,gathering|assemblage|people|ownership|world organization|world organisation|international organization|international organisation|global organization|agreement|accord|district|territory|territorial dominion|dominion|group|grouping
detection,detection,NOUN,4,detect,catching|detecting|detection|detective work|espial|sensing|signal detection|sleuthing|spotting|spying,perception|discovery|find|uncovering|reception|police work|police investigation
researching,research,VERB,4,research,explore|research|search,investigate|look into|investigate|look into
includes,include,VERB,4,includ,admit|include|let in,see|consider|reckon|view|regard|add|permit|allow|let|countenance
following,follow,VERB,4,follow,abide by|accompany|adopt|be|come|come after|comply|conform to|espouse|fall out|follow|keep abreast|keep an eye on|keep up|observe|play along|postdate|pursue|stick to|stick with|succeed|surveil|survey|take after|trace|travel along|watch|watch over,travel|go|move|locomote|result|ensue|obey|imitate|copy|simulate|be|choose|take|select|pick out|analyze|analyse|study|examine|canvass|check|check up on|look into|check out|suss out|check over|go over|check into|play|originate|arise|rise|develop|uprise|spring up|grow|act|behave|do|practice|apply|use|understand|persevere|persist|hang in|hang on|hold on
aspects,aspect,NOUN,4,aspect,aspect|expression|face|facet|facial expression|look|panorama|prospect|scene|view|vista,feature|characteristic|visual percept|visual image|grammatical relation|countenance|visage
hard,hard,ADJ,4,hard,arduous|backbreaking|concentrated|difficult|grueling|gruelling|hard|heavy|intemperate|knockout|laborious|operose|punishing|severe|strong|surd|toilsome|tough|unvoiced|voiceless,
overlapping,overlappe,ADV,4,overlapp,,NA
semantic,semantic,ADJ,4,semant,semantic,
hard,hard,ADJ,5,hard,arduous|backbreaking|concentrated|difficult|grueling|gruelling|hard|heavy|intemperate|knockout|laborious|operose|punishing|severe|strong|surd|toilsome|tough|unvoiced|voiceless,
overlapping,overlappe,ADV,5,overlapp,,NA
community,community,NOUN,5,commun,biotic community|community|community of interests|residential area|residential district,gathering|assemblage|people|ownership|world organization|world organisation|international organization|international organisation|global organization|agreement|accord|district|territory|territorial dominion|dominion|group|grouping
detection,detection,NOUN,5,detect,catching|detecting|detection|detective work|espial|sensing|signal detection|sleuthing|spotting|spying,perception|discovery|find|uncovering|reception|police work|police investigation
belongs,belongs,VERB,5,belong,,NA
topological,topological,ADJ,5,topolog,topologic|topological,
objective,objective,ADJ,6,object,accusative|nonsubjective|objective,
algorithms,algorithm,NOUN,6,algorithm,algorithm|algorithmic program|algorithmic rule,rule|formula
detect,detect,NOUN,6,detect,,NA
communities,communities,NOUN,6,commun,,NA
close,close,ADJ,6,close,airless|cheeseparing|close|close-fitting|closelipped|closemouthed|confining|faithful|near|nigh|penny-pinching|secretive|skinny|snug|stuffy|tight|tightlipped|unaired,
internal,internal,ADJ,6,intern,home(a)|inner|interior|interior(a)|internal|intimate|intragroup|national,
relationships,relationship,NOUN,6,relationship,family relationship|human relationship|kinship|relationship,relation|state
utilizing,utilize,VERB,6,util,apply|employ|use|utilise|utilize,change|exchange|commute|convert
properties,property,NOUN,6,properti,attribute|belongings|dimension|holding|place|prop|property,possession|attribute|geographical area|geographic area|geographical region|geographic region|concept|conception|construct|object|physical object
hard,hard,ADJ,7,hard,arduous|backbreaking|concentrated|difficult|grueling|gruelling|hard|heavy|intemperate|knockout|laborious|operose|punishing|severe|strong|surd|toilsome|tough|unvoiced|voiceless,
community,community,NOUN,7,commun,biotic community|community|community of interests|residential area|residential district,gathering|assemblage|people|ownership|world organization|world organisation|international organization|international organisation|global organization|agreement|accord|district|territory|territorial dominion|dominion|group|grouping
detection,detection,NOUN,7,detect,catching|detecting|detection|detective work|espial|sensing|signal detection|sleuthing|spotting|spying,perception|discovery|find|uncovering|reception|police work|police investigation
pioneer,pioneer,NOUN,7,pioneer,groundbreaker|innovator|pioneer|trailblazer,originator|conceiver|mastermind|settler|colonist
work,work,NOUN,7,work,body of work|employment|oeuvre|piece of work|study|work|workplace,activity|product|production|occupation|business|job|line of work|line|learning|acquisition|energy|free energy|geographic point|geographical point|end product|output
ultimate,ultimate,ADJ,7,ultim,ultimate,
goal,goal,NOUN,7,goal,destination|end|finish|goal,content|cognitive content|mental object|end|terminal|game equipment|score
divide,divide,NOUN,7,divid,divide|water parting|watershed,disagreement|dissension|dissonance|line
social,social,ADJ,7,social,social|societal,
networks,network,NOUN,7,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
several,several,ADJ,7,sever,respective(a)|several(a)|several(p)|various(a),
separate,separate,ADJ,7,separ,disjoined|freestanding|separate,
newman,newman,NOUN,7,newman,Cardinal Newman|John Henry Newman|Newman|Paul Leonard Newman|Paul Newman,
girvan,girvan,NOUN,7,girvan,,NA
representative,representative,ADJ,8,repres,representative,
algorithms,algorithm,NOUN,8,algorithm,algorithm|algorithmic program|algorithmic rule,rule|formula
include,include,VERB,8,includ,admit|include|let in,see|consider|reckon|view|regard|add|permit|allow|let|countenance
gn,gn,NOUN,8,gn,,NA
girvan,girvan,NOUN,8,girvan,,NA
newman,newman,NOUN,8,newman,Cardinal Newman|John Henry Newman|Newman|Paul Leonard Newman|Paul Newman,
fn,fn,NOUN,8,fn,,NA
accordance,accordance,NOUN,9,accord,accord|accordance|accordance of rights|conformity,agreement|giving|gift
development,development,NOUN,9,develop,developing|development|evolution|exploitation|growing|growth|maturation|ontogenesis|ontogeny,improvement|process|physical process|organic process|biological process|change|alteration|modification|use|usage|utilization|utilisation|employment|exercise|district|territory|territorial dominion|dominion|melioration|processing|section|subdivision
hard,hard,ADJ,9,hard,arduous|backbreaking|concentrated|difficult|grueling|gruelling|hard|heavy|intemperate|knockout|laborious|operose|punishing|severe|strong|surd|toilsome|tough|unvoiced|voiceless,
community,community,NOUN,9,commun,biotic community|community|community of interests|residential area|residential district,gathering|assemblage|people|ownership|world organization|world organisation|international organization|international organisation|global organization|agreement|accord|district|territory|territorial dominion|dominion|group|grouping
detection,detection,NOUN,9,detect,catching|detecting|detection|detective work|espial|sensing|signal detection|sleuthing|spotting|spying,perception|discovery|find|uncovering|reception|police work|police investigation
researchers,researcher,NOUN,9,research,investigator|research worker|researcher,scientist
gradually,gradually,ADV,9,gradual,bit by bit|gradually|step by step,
focus,focus,NOUN,9,focu,centering|direction|focal point|focus|focusing|focussing|nidus|stress,concentration|engrossment|absorption|immersion|distinctness|sharpness|clarity|lucidity|lucidness|pellucidity|clearness|limpidity|point|emphasis|accent
case,case,NOUN,9,case,case|caseful|casing|causa|cause|character|compositor's case|display case|eccentric|event|example|face|font|fount|grammatical case|guinea pig|instance|lawsuit|pillow slip|pillowcase|sheath|shell|showcase|slip|subject|suit|type|typeface|typesetter's case|vitrine,happening|occurrence|occurrent|natural event|circumstance|proceeding|legal proceeding|proceedings|fact|container|person|individual|someone|somebody|mortal|soul|problem|argument|statement|containerful|grammatical category|syntactic category|state of mind|frame of mind|adult|grownup|type|covering|natural covering|cover|housing|framework|frame|receptacle|bed linen
node,node,NOUN,9,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system
belongs,belongs,VERB,9,belong,,NA
several,several,ADJ,9,sever,respective(a)|several(a)|several(p)|various(a),
communities,communities,NOUN,9,commun,,NA
therefore,therefore,ADV,10,therefor,consequently|hence|so|thence|therefore|thus,NA
palla,palla,NOUN,10,palla,,NA
farkas,farka,NOUN,10,farka,,NA
vicsek,vicsek,NOUN,10,vicsek,,NA
suggested,suggest,VERB,10,suggest,advise|evoke|hint|intimate|paint a picture|propose|suggest,declare|convey|imply|express|show|evince
cpm,cpm,NOUN,10,cpm,,NA
detect,detect,NOUN,10,detect,,NA
overlapping,overlappe,ADV,10,overlapp,,NA
structures,structure,NOUN,10,structur,anatomical structure|bodily structure|body structure|complex body part|construction|social organisation|social organization|social structure|social system|structure,artifact|artefact|constitution|composition|physical composition|makeup|make-up|cognition|knowledge|noesis|body part|system|scheme
overlapping,overlappe,ADV,11,overlapp,,NA
community,community,NOUN,11,commun,biotic community|community|community of interests|residential area|residential district,gathering|assemblage|people|ownership|world organization|world organisation|international organization|international organisation|global organization|agreement|accord|district|territory|territorial dominion|dominion|group|grouping
detection,detection,NOUN,11,detect,catching|detecting|detection|detective work|espial|sensing|signal detection|sleuthing|spotting|spying,perception|discovery|find|uncovering|reception|police work|police investigation
research,research,NOUN,11,research,enquiry|inquiry|research,investigation|investigating|problem solving
became,become,VERB,11,becom,become|get|go|suit|turn,change state|turn|transform|transmute|metamorphose|fancify|beautify|embellish|prettify
major,major,ADJ,11,major,major|major(ip),
concern,concern,NOUN,11,concern,business|business concern|business organisation|business organization|care|concern|fear|headache|vexation|worry,interest|involvement|anxiety|sympathy|fellow feeling|negative stimulus|enterprise
social,social,ADJ,11,social,social|societal,
networks,network,NOUN,11,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
many,many,ADJ,11,mani,many,
representative,representative,ADJ,11,repres,representative,
algorithms,algorithm,NOUN,11,algorithm,algorithm|algorithmic program|algorithmic rule,rule|formula
proposed,propose,VERB,11,propos,advise|aim|declare oneself|nominate|offer|pop the question|project|propose|purport|purpose|suggest,declare|plan|intend|mean|think|choose|take|select|pick out|request
such,such,ADJ,11,such,such(a),
as,as,ADV,11,a,as|equally|every bit,
eagle,eagle,NOUN,11,eagl,bird of Jove|eagle,bird of prey|raptor|raptorial bird|score|coin|emblem|allegory
shen,shen,ADV,11,shen,,NA
cheng,cheng,NOUN,11,cheng,,NA
cai,cai,NOUN,11,cai,,NA
lfm,lfm,NOUN,11,lfm,,NA
lancichinetti,lancichinetti,NOUN,11,lancichinetti,,NA
fortunato,fortunatoo,ADV,11,fortunatoo,,NA
copra,copra,NOUN,11,copra,copra,coconut|coconut meat
gregory,gregory,NOUN,11,gregori,Angelo Correr|Bartolomeo Alberto Capillari|Gregory|Gregory I|Gregory Nazianzen|Gregory of Nazianzen|Gregory the Great|Gregory VII|Gregory XII|Gregory XIII|Gregory XVI|Hildebrand|Saint Gregory I|St. Gregory I|St. Gregory of Nazianzen|Ugo Buoncompagni,
jin,jin,NOUN,11,jin,,NA
objective,objective,ADJ,11,object,accusative|nonsubjective|objective,
semantic,semantic,ADJ,11,semant,semantic,
cluster,cluster,NOUN,11,cluster,bunch|clump|cluster|clustering,agglomeration
nodes,node,NOUN,11,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system
similar,similar,ADJ,11,similar,alike(p)|exchangeable|interchangeable|like|similar|standardised|standardized,
context,context,NOUN,11,context,circumstance|context|context of use|linguistic context|setting,discourse|environment
