token,lemma,upos,clique,stem,synonyms,hypernyms
project,project,NOUN,1,project,labor|project|projection|task|undertaking,work|plan|program|programme
complex,complex,NOUN,1,complex,building complex|complex|composite|coordination compound,whole|compound|chemical compound|feeling|structure|construction
network,network,NOUN,1,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
numerous,numerous,ADJ,1,numer,legion(p)|numerous,
interdependent,interdependent,ADJ,1,interdepend,interdependent|mutualist|mutually beneficial,
activities,activity,NOUN,1,activ,action|activeness|activity|bodily function|bodily process|body process|natural action|natural process,act|deed|human action|human activity|state|organic process|biological process|capability|capacity|process|physical process|trait
involved,involve,ADJ,1,involv,,NA
delivery,delivery,NOUN,1,deliveri,bringing|deliverance|delivery|legal transfer|livery|manner of speaking|obstetrical delivery|pitch|rescue|saving|speech,transportation|transport|transfer|transferral|conveyance|birth|nativity|nascency|nascence|expressive style|style|conveyance of title|conveyancing|conveying|throw|recovery|retrieval|act|deed|human action|human activity
composite,composite,NOUN,1,composit,complex|composite|composite plant,whole|flower
end,end,NOUN,1,end,close|closing|conclusion|death|destruction|end|ending|goal|last|oddment|remainder|remnant|terminal,extremity|point|point in time|ending|conclusion|finish|content|cognitive content|mental object|part|section|division|state|surface|lineman|boundary|bound|bounds|topographic point|place|spot|contribution|share|subdivision|piece of cloth|piece of material
product,product,NOUN,1,product,Cartesian product|intersection|mathematical product|merchandise|product|production|ware,commodity|trade good|good|creation|quantity|chemical|chemical substance|consequence|effect|outcome|result|event|issue|upshot|set
project,project,NOUN,2,project,labor|project|projection|task|undertaking,work|plan|program|programme
requires,require,NOUN,2,requir,,NA
variety,variety,NOUN,2,varieti,assortment|change|diverseness|diversity|form|kind|miscellanea|miscellany|mixed bag|mixture|motley|multifariousness|potpourri|salmagundi|smorgasbord|sort|variety|variety show,collection|aggregation|accumulation|assemblage|heterogeneity|heterogeneousness|taxonomic group|taxonomic category|taxon|show|category|difference
input,input,NOUN,2,input,comment|input|input signal|remark|stimulant|stimulation|stimulus,signal|signaling|sign|statement|information|component|constituent|element
items,item,NOUN,2,item,detail|item|particular|point|token,part|portion|component part|component|constituent|whole|unit|fact|symbol
different,different,ADJ,2,differ,different,
suppliers,supplier,NOUN,2,supplier,provider|supplier,businessperson|bourgeois
give,give,VERB,2,give,afford|apply|break|cave in|chip in|collapse|commit|consecrate|contribute|dedicate|devote|ease up|establish|fall in|feed|founder|generate|gift|give|give way|grant|hand|have|hold|impart|kick in|leave|make|move over|open|pass|pass on|pay|present|reach|render|return|sacrifice|throw|turn over|yield,supply|provide|render|furnish|transfer|state|say|tell|communicate|intercommunicate|direct|make|create|think|cogitate|cerebrate|produce|pass|hand|reach|pass on|turn over|give|utter|emit|let out|let loose|release|relinquish|resign|free|give up|use|utilize|utilise|apply|employ|administer|dispense|distribute|mete out|deal|parcel out|lot|shell out|deal out|dish out|allot|dole out|move|ply|cater|change|estimate|gauge|approximate|guess|judge|execute|compensate|recompense|repair|indemnify|show|perform|stretch|toast|drink|pledge|salute|wassail|accord|grant|express|evince|submit|lead|permit|allow|let|countenance|inflict|bring down|visit|impose|happen|hap|go on|pass off|occur|fall out|come about|take place|accept|consent|go for|offer|proffer
shape,shape,NOUN,2,shape,anatomy|bod|build|cast|chassis|condition|configuration|conformation|contour|embodiment|figure|flesh|form|frame|human body|material body|pattern|physical body|physique|shape|SHAPE|soma|Supreme Headquarters Allied Powers Europe,spatial property|spatiality|attribute|body|organic structure|concretism|concrete representation|appearance|visual aspect|good health|healthiness|high command|supreme headquarters|structure
composite,composite,NOUN,2,composit,complex|composite|composite plant,whole|flower
end,end,NOUN,2,end,close|closing|conclusion|death|destruction|end|ending|goal|last|oddment|remainder|remnant|terminal,extremity|point|point in time|ending|conclusion|finish|content|cognitive content|mental object|part|section|division|state|surface|lineman|boundary|bound|bounds|topographic point|place|spot|contribution|share|subdivision|piece of cloth|piece of material
product,product,NOUN,2,product,Cartesian product|intersection|mathematical product|merchandise|product|production|ware,commodity|trade good|good|creation|quantity|chemical|chemical substance|consequence|effect|outcome|result|event|issue|upshot|set
specifications,specification,NOUN,3,specif,spec|specification|stipulation,description|verbal description|naming|document|written document|papers|restriction|confinement
input,input,NOUN,3,input,comment|input|input signal|remark|stimulant|stimulation|stimulus,signal|signaling|sign|statement|information|component|constituent|element
items,item,NOUN,3,item,detail|item|particular|point|token,part|portion|component part|component|constituent|whole|unit|fact|symbol
dependent,dependent,ADJ,3,depend,dependant|dependent|drug-addicted|hooked|pendant|pendent|qualified|strung-out|subject|subordinate,
