token,lemma,upos,clique,stem,synonyms,hypernyms
complex,complex,NOUN,1,complex,building complex|complex|composite|coordination compound,whole|compound|chemical compound|feeling|structure|construction
reaction,reaction,NOUN,1,reaction,chemical reaction|reaction|response,chemical process|chemical change|chemical action|idea|thought|bodily process|body process|bodily function|activity|force|response|conservatism|conservativism|resistance|opposition
networks,network,NOUN,1,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
core,core,NOUN,1,core,burden|center|centre|Congress of Racial Equality|core|CORE|core group|effect|essence|gist|heart|heart and soul|inwardness|kernel|magnetic core|marrow|meat|nitty-gritty|nub|nucleus|pith|substance|sum,set|center|centre|midpoint|content|cognitive content|mental object|sample|nongovernmental organization|NGO|meaning|significance|signification|import|torus|toroid|chamber|bar
numerous,numerous,ADJ,1,numer,legion(p)|numerous,
chemical,chemical,ADJ,1,chemic,chemic|chemical,
biochemical,biochemical,ADJ,1,biochem,biochemical,
systems,systems,NOUN,1,system,,NA
broadbelt,broadbelt,NOUN,1,broadbelt,,NA
pfaendtner,pfaendtner,NOUN,1,pfaendtner,,NA
examples,example,NOUN,1,exampl,case|deterrent example|example|exemplar|exercise|good example|illustration|instance|lesson|model|object lesson|representative,information|representation|mental representation|internal representation|ideal|admonition|monition|warning|word of advice|happening|occurrence|occurrent|natural event|lesson
include,include,VERB,1,includ,admit|include|let in,see|consider|reckon|view|regard|add|permit|allow|let|countenance
pyrolysis,pyrolysis,NOUN,1,pyrolysi,pyrolysis,transformation|transmutation|shift
froment,froment,NOUN,1,froment,,NA
mohan,mohan,NOUN,1,mohan,,NA
catalyzed,catalyze,VERB,1,catalyz,catalyse|catalyze,change state|turn
corma,corma,NOUN,1,corma,,NA
yaluris,yaluris,NOUN,1,yaluri,,NA
conversion,conversion,NOUN,1,convers,changeover|conversion|rebirth|spiritual rebirth|transition,transformation|transmutation|shift|calculation|computation|figuring|reckoning|score|redemption|salvation|defense mechanism|defense reaction|defence mechanism|defence reaction|defense|defence|change|alteration|modification|rhetorical device|exchange|interchange
hydrocarbons,hydrocarbon,NOUN,1,hydrocarbon,hydrocarbon,organic compound
such,such,ADJ,1,such,such(a),
as,as,ADV,1,a,as|equally|every bit,
glycolysis,glycolysis,NOUN,1,glycolysi,glycolysis,metabolism|metabolic process
saccharomyces,saccharomyce,NOUN,1,saccharomyc,,NA
cerevisiae,cerevisia,NOUN,1,cerevisia,,NA
baltes,balte,NOUN,1,balt,,NA
reuss,reuss,NOUN,1,reuss,,NA
genome,genome,NOUN,1,genom,genome,ordering|order|ordination
scale,scale,NOUN,1,scale,exfoliation|graduated table|musical scale|ordered series|plate|scale|scale leaf|scale of measurement|scurf|shell|weighing machine,standard|criterion|measure|touchstone|magnitude relation|quantitative relation|proportion|leaf|leafage|foliage|bit|chip|flake|fleck|scrap|musical notation|measuring instrument|measuring system|measuring device|indicator|shield|covering|natural covering|cover
models,models,NOUN,1,model,,NA
escherichia,escherichia,NOUN,1,escherichia,escherichia,enteric bacteria|enterobacteria|enterics|entric
