token,lemma,upos,clique,stem,synonyms,hypernyms
safely,safely,ADV,1,safe,safely,NA
assumed,assume,VERB,1,assum,accept|acquire|adopt|arrogate|assume|bear|don|feign|get into|presume|put on|seize|sham|simulate|strike|take|take for granted|take on|take over|take up|usurp|wear,expect|anticipate|take office|change|take|move|dissemble|pretend|act|receive|take in|invite|dress|get dressed
text,text,NOUN,1,text,school text|schoolbook|text|text edition|textbook|textual matter,matter|passage|book
makes,make,VERB,1,make,arrive at|attain|bring in|build|ca-ca|cause|clear|constitute|construct|cook|crap|create|defecate|do|draw|earn|establish|fix|form|gain|get|get to|give|have|hit|hold|induce|lay down|make|make believe|make up|make water|micturate|name|nominate|pass water|pee|pee-pee|piddle|piss|prepare|pretend|produce|progress to|puddle|pull in|reach|ready|realise|realize|relieve oneself|score|seduce|shit|spend a penny|stimulate|stool|take|take a crap|take a leak|take a shit|take in|throw|urinate|wee|wee-wee|work,change|alter|modify|make|create|create by mental act|create mentally|cause|do|get|acquire|constitute|represent|make up|comprise|be|achieve|accomplish|attain|reach|become|create from raw material|create from raw stuff|perform|execute|act|behave|appoint|charge|score|hit|tally|rack up|perpetrate|commit|pull|assemble|gather|get together|direct|tidy|tidy up|clean up|neaten|straighten|straighten out|square away|head|excrete|egest|eliminate|pass|total|number|add up|come|amount|look|appear|seem|arrive at|gain|persuade|guarantee|ensure|insure|assure|secure|play|see|consider|reckon|view|regard|estimate|gauge|approximate|guess|judge|develop|grow
use,use,VERB,1,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
previous,previous,ADJ,1,previou,former(a)|late(a)|old|premature|previous(a)|previous(p),
texts,texts,NOUN,1,text,,NA
others,other,NOUN,1,other,,NA
same,same,ADJ,1,same,like|same|same(p),
token,token,NOUN,1,token,item|keepsake|relic|souvenir|token,symbol|sign|mark|disk|disc|object|physical object
maker,maker,NOUN,1,maker,Almighty|Creator|Divine|God Almighty|Godhead|Jehovah|Lord|maker|Maker|manufacturer|manufacturing business|shaper,creator|business|concern|business concern|business organization|business organisation
uses,use,NOUN,1,us,consumption|economic consumption|employment|enjoyment|exercise|function|habit|manipulation|purpose|role|usage|usance|use|use of goods and services|utilisation|utilization,activity|utility|usefulness|demand|custom|usage|usance|influence|legal right
language,language,NOUN,1,languag,language|linguistic communication|linguistic process|lyric|nomenclature|oral communication|speech|speech communication|spoken communication|spoken language|terminology|voice communication|words,communication|auditory communication|text|textual matter|higher cognitive process|faculty|mental faculty|module|word
present,present,ADJ,1,present,present|present(a),
own,own,ADJ,1,own,ain|own(a),
point,point,NOUN,1,point,breaker point|compass point|decimal point|degree|detail|distributor point|dot|full point|full stop|gunpoint|head|item|level|peak|percentage point|period|point|point in time|pointedness|power point|spot|stage|stop|tip,component|constituent|element|factor|ingredient|location|meaning|significance|signification|import|fact|state|measure|quantity|amount|aim|object|objective|target|convex shape|convexity|disk|disc|saucer|unit of measurement|unit|promontory|headland|head|foreland|part|portion|component part|relevance|relevancy|characteristic|end|terminal|direction|linear unit|linear measure|loan|punctuation|punctuation mark|mark|mathematical notation|taper|gun muzzle|muzzle|wall socket|wall plug|electric outlet|electrical outlet|outlet|electric receptacle|contact|tangency
view,view,NOUN,1,view,aspect|eyeshot|horizon|opinion|panorama|perspective|persuasion|position|prospect|purview|scene|sentiment|sight|survey|thought|view|vista,orientation|visual percept|visual image|look|looking|looking at|range|reach|belief|message|content|subject matter|substance|purpose|intent|intention|aim|design|graphic art|scope|orbit|compass|ambit|appearance|visual aspect
information,information,NOUN,1,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure
ultimately,ultimately,ADV,1,ultim,at last|at long last|finally|in the end|ultimately,
assertion,assertion,NOUN,1,assert,affirmation|assertion|asseveration|averment|statement,declaration|speech act
intertextuality,intertextuality,NOUN,2,intertextu,,NA
pertains,pertain,VERB,2,pertain,appertain|bear on|come to|concern|have to do with|pertain|refer|relate|touch|touch on,belong to|belong
attribution,attribution,NOUN,2,attribut,ascription|attribution,classification|categorization|categorisation|sorting|classification|categorization|categorisation|sorting
source,source,NOUN,2,sourc,author|beginning|generator|germ|informant|origin|reference|reservoir|root|rootage|seed|source,point|document|written document|papers|inspiration|facility|installation|communicator|maker|shaper|natural process|natural action|action|activity|thing|publication
consciously,consciously,ADV,2,conscious,consciously,
unconsciously,unconsciously,ADV,2,unconsci,unconsciously,
used,use,VERB,2,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
speaker,speaker,NOUN,2,speaker,loudspeaker|loudspeaker system|speaker|Speaker|speaker system|speaker unit|talker|utterer|verbaliser|verbalizer,articulator|electro-acoustic transducer|presiding officer
writer,writer,NOUN,2,writer,author|writer,communicator|literate|literate person
assertion,assertion,NOUN,2,assert,affirmation|assertion|asseveration|averment|statement,declaration|speech act
discussed,discuss,VERB,2,discuss,discourse|discuss|hash out|talk about|talk over,cover|treat|handle|plow|deal|address|talk of|talk about
point,point,NOUN,2,point,breaker point|compass point|decimal point|degree|detail|distributor point|dot|full point|full stop|gunpoint|head|item|level|peak|percentage point|period|point|point in time|pointedness|power point|spot|stage|stop|tip,component|constituent|element|factor|ingredient|location|meaning|significance|signification|import|fact|state|measure|quantity|amount|aim|object|objective|target|convex shape|convexity|disk|disc|saucer|unit of measurement|unit|promontory|headland|head|foreland|part|portion|component part|relevance|relevancy|characteristic|end|terminal|direction|linear unit|linear measure|loan|punctuation|punctuation mark|mark|mathematical notation|taper|gun muzzle|muzzle|wall socket|wall plug|electric outlet|electrical outlet|outlet|electric receptacle|contact|tangency
view,view,NOUN,2,view,aspect|eyeshot|horizon|opinion|panorama|perspective|persuasion|position|prospect|purview|scene|sentiment|sight|survey|thought|view|vista,orientation|visual percept|visual image|look|looking|looking at|range|reach|belief|message|content|subject matter|substance|purpose|intent|intention|aim|design|graphic art|scope|orbit|compass|ambit|appearance|visual aspect
logic,logic,NOUN,2,logic,logic|logical system|system of logic,philosophy|common sense|good sense|gumption|horse sense|sense|mother wit|principle|system|system of rules
linguistic,linguistic,ADJ,2,linguist,lingual|linguistic,
discourse,discourse,NOUN,2,discours,discourse|discussion|preaching|sermon|treatment,language unit|linguistic unit|address|speech|communication|communicating
perspective,perspective,NOUN,2,perspect,linear perspective|perspective|position|view,orientation|appearance|visual aspect
shabab,shabab,NOUN,2,shabab,,NA
swales,swale,NOUN,2,swale,swale,trough
bloor,bloor,NOUN,2,bloor,,NA
linguistically,linguistically,ADV,3,linguist,lingually|linguistically,
current,current,ADJ,3,current,current,
speaker,speaker,NOUN,3,speaker,loudspeaker|loudspeaker system|speaker|Speaker|speaker system|speaker unit|talker|utterer|verbaliser|verbalizer,articulator|electro-acoustic transducer|presiding officer
sources,source,NOUN,3,sourc,author|beginning|generator|germ|informant|origin|reference|reservoir|root|rootage|seed|source,point|document|written document|papers|inspiration|facility|installation|communicator|maker|shaper|natural process|natural action|action|activity|thing|publication
assertions,assertion,NOUN,3,assert,affirmation|assertion|asseveration|averment|statement,declaration|speech act
approached,approach,VERB,3,approach,approach|border on|come near|come on|draw close|draw near|go about|go up|near|set about,come|come up|approximate|come close|act|move|address|accost|come up to
as,as,ADV,3,a,as|equally|every bit,
question,question,NOUN,3,question,doubt|doubtfulness|dubiousness|enquiry|head|inquiry|interrogation|interrogative|interrogative sentence|motion|query|question,questioning|inquiring|subject|topic|theme|sentence|uncertainty|uncertainness|precariousness|proposal|marriage proposal|proposal of marriage|marriage offer
formulation,formulation,NOUN,3,formul,conceptualisation|conceptualization|expression|formulation|preparation,compound|chemical compound|creating by mental acts|expressive style|style
interpretation,interpretation,NOUN,3,interpret,interpretation|interpreting|reading|rendering|rendition|version,representation|mental representation|internal representation|performance|explanation|account
discourse,discourse,NOUN,3,discours,discourse|discussion|preaching|sermon|treatment,language unit|linguistic unit|address|speech|communication|communicating
present,present,ADJ,4,present,present|present(a),
discussion,discussion,NOUN,4,discuss,discourse|discussion|give-and-take|treatment|word,communication|communicating|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication
extends,extend,NOUN,4,extend,,NA
notions,notions,NOUN,4,notion,,NA
source,source,NOUN,4,sourc,author|beginning|generator|germ|informant|origin|reference|reservoir|root|rootage|seed|source,point|document|written document|papers|inspiration|facility|installation|communicator|maker|shaper|natural process|natural action|action|activity|thing|publication
assertion,assertion,NOUN,4,assert,affirmation|assertion|asseveration|averment|statement,declaration|speech act
translational,translational,ADJ,4,translat,translational,
data,data,NOUN,4,data,data|information,collection|aggregation|accumulation|assemblage
selected,select,VERB,4,select,choose|pick out|select|take,decide|make up one's mind|determine
several,several,ADJ,4,sever,respective(a)|several(a)|several(p)|various(a),
translations,translation,NOUN,4,translat,displacement|interlingual rendition|rendering|transformation|translation|version,written record|written account|change of location|travel|change of integrity|transformation|organic process|biological process|paraphrase|paraphrasis|motion|movement|move
quran,quran,ADV,4,quran,,NA
english,english,NOUN,4,english,English|English language|English people|side,West Germanic|West Germanic language|nation|land|country|humanistic discipline|humanities|liberal arts|arts|spin
french,french,ADJ,4,french,French|Gallic,
special,special,ADJ,4,special,especial(a)|exceptional|extra|limited|particular|particular(a)|peculiar(a)|special|special(a),
emphasis,emphasis,NOUN,4,emphasi,accent|emphasis|stress|vehemence,importance|grandness|intensity|intensiveness|rhetorical device|prosody|inflection
influence,influence,NOUN,4,influenc,influence,power|powerfulness|causing|causation|determinant|determiner|determinative|determining factor|causal factor|consequence|effect|outcome|result|event|issue|upshot|force
latin,latin,NOUN,4,latin,Latin,Italic|Italic language|inhabitant|habitant|dweller|denizen|indweller|person|individual|someone|somebody|mortal|soul
translation,translation,NOUN,4,translat,displacement|interlingual rendition|rendering|transformation|translation|version,written record|written account|change of location|travel|change of integrity|transformation|organic process|biological process|paraphrase|paraphrasis|motion|movement|move
george,george,NOUN,4,georg,George|George I|George II|George III|George IV|George V|George VI|Saint George|St. George,
sale,sale,NOUN,4,sale,cut-rate sale|sale|sales agreement|sales event,selling|merchandising|marketing|occasion|merchantability|agreement|understanding
indebtedness,indebtedness,NOUN,5,indebted,financial obligation|indebtedness|liability|obligation,obligation|personal relation|personal relationship
sale,sale,NOUN,5,sale,cut-rate sale|sale|sales agreement|sales event,selling|merchandising|marketing|occasion|merchantability|agreement|understanding
translation,translation,NOUN,5,translat,displacement|interlingual rendition|rendering|transformation|translation|version,written record|written account|change of location|travel|change of integrity|transformation|organic process|biological process|paraphrase|paraphrasis|motion|movement|move
observed,observ,ADJ,5,observ,,NA
long,long,ADV,5,long,long,NA
time,time,NOUN,5,time,clip|clock time|fourth dimension|meter|metre|prison term|sentence|time,case|instance|example|time period|period of time|period|moment|minute|second|instant|attribute|experience|reading|meter reading|indication|dimension|rhythmicity|term
ago,ago,ADV,5,ago,ago,NA
knowledge,knowledge,NOUN,5,knowledg,cognition|knowledge|noesis,psychological feature
exact,exact,ADV,5,exact,,NA
nature,nature,NOUN,5,natur,nature,quality|causal agent|cause|causal agency|universe|existence|creation|world|cosmos|macrocosm|trait|type
relation,relation,NOUN,5,relat,carnal knowledge|coition|coitus|copulation|intercourse|recounting|relation|relation back|relative|sex act|sexual congress|sexual intercourse|sexual relation|telling,abstraction|abstract entity|sexual activity|sexual practice|sex|sex activity|person|individual|someone|somebody|mortal|soul|narration|recital|yarn|legal principle|judicial principle|judicial doctrine|dealings|traffic
has,have,VERB,5,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
never,never,ADV,5,never,ne'er|never,NA
linguistically,linguistically,ADV,5,linguist,lingually|linguistically,
investigated,investigate,VERB,5,investig,enquire|inquire|investigate|look into,analyze|analyse|study|examine|canvass|probe
addition,addition,NOUN,6,addit,accession|add-on|addition|gain|improver|increase|plus|summation,component|constituent|element|increase|step-up|indefinite quantity|acquisition|suburb|suburbia|suburban area|arithmetic operation
translation,translation,NOUN,6,translat,displacement|interlingual rendition|rendering|transformation|translation|version,written record|written account|change of location|travel|change of integrity|transformation|organic process|biological process|paraphrase|paraphrasis|motion|movement|move
sale,sale,NOUN,6,sale,cut-rate sale|sale|sales agreement|sales event,selling|merchandising|marketing|occasion|merchantability|agreement|understanding
include,include,VERB,6,includ,admit|include|let in,see|consider|reckon|view|regard|add|permit|allow|let|countenance
references,reference,NOUN,6,refer,acknowledgment|address|book of facts|character|character reference|citation|cite|computer address|consultation|credit|denotation|extension|mention|point of reference|quotation|reference|reference book|reference point|reference work|source,remark|comment|input|note|annotation|notation|indicator|book|recommendation|testimonial|good word|meaning|substance|action|publication|code|computer code
containing,contain,VERB,6,contain,arrest|bear|carry|check|comprise|contain|control|curb|hold|hold back|hold in|incorporate|moderate|stop|take|turn back,include|restrain|keep|keep back|hold back|be|defend
commentaries,commentaries,NOUN,6,commentari,,NA
exegetes,exegete,NOUN,6,exeget,exegete,expert
use,use,VERB,6,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
personnel,personnel,NOUN,6,personnel,force|personnel|personnel department|personnel office|staff office,organization|organisation|department|section
communication,communication,NOUN,6,commun,communicating|communication,act|deed|human action|human activity|abstraction|abstract entity|connection|connexion|connectedness
ross,ross,NOUN,6,ross,Betsy Griscom Ross|Betsy Ross|James Clark Ross|John Ross|Nellie Ross|Nellie Tayloe Ross|Ross|Sir James Clark Ross|Sir John Ross|Sir Ronald Ross,
raises,raisis,NOUN,7,raisi,,NA
question,question,NOUN,7,question,doubt|doubtfulness|dubiousness|enquiry|head|inquiry|interrogation|interrogative|interrogative sentence|motion|query|question,questioning|inquiring|subject|topic|theme|sentence|uncertainty|uncertainness|precariousness|proposal|marriage proposal|proposal of marriage|marriage offer
source,source,NOUN,7,sourc,author|beginning|generator|germ|informant|origin|reference|reservoir|root|rootage|seed|source,point|document|written document|papers|inspiration|facility|installation|communicator|maker|shaper|natural process|natural action|action|activity|thing|publication
terms,term,NOUN,7,term,condition|full term|strings|term|terminal figure|terminus,word|time period|period of time|period|statement|quantity|constituent|grammatical constituent|point|point in time|statue
contributed,contribute,VERB,7,contribut,add|bestow|bring|chip in|conduce|contribute|give|impart|kick in|lead|lend|put up,change|alter|modify|give|promote|advance|boost|further|encourage|pay
sale,sale,NOUN,7,sale,cut-rate sale|sale|sales agreement|sales event,selling|merchandising|marketing|occasion|merchantability|agreement|understanding
translation,translation,NOUN,7,translat,displacement|interlingual rendition|rendering|transformation|translation|version,written record|written account|change of location|travel|change of integrity|transformation|organic process|biological process|paraphrase|paraphrasis|motion|movement|move
inherently,inherently,ADV,8,inher,inherently,
intertextual,intertextual,ADJ,8,intertextu,,NA
nature,nature,NOUN,8,natur,nature,quality|causal agent|cause|causal agency|universe|existence|creation|world|cosmos|macrocosm|trait|type
translated,translate,VERB,8,translat,interpret|read|render|transform|translate|understand,repeat|reiterate|ingeminate|iterate|restate|retell|change|alter|modify|understand|transmit|transfer|transport|channel|channelize|channelise|move|displace|equal|be|paraphrase|rephrase|reword|determine|find|find out|ascertain
text,text,NOUN,8,text,school text|schoolbook|text|text edition|textbook|textual matter,matter|passage|book
