token,lemma,upos,clique,stem,synonyms,hypernyms
recent,recent,ADJ,1,recent,late(a)|recent,
years,year,NOUN,1,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
chinese,chinese,ADJ,1,chines,Chinese|Formosan|Taiwanese,
multimedia,multimedia,NOUN,1,multimedia,multimedia|multimedia system,transmission
industry,industry,NOUN,1,industri,diligence|industriousness|industry|manufacture,commercial enterprise|business enterprise|business|determination|purpose
especially,especially,ADV,1,especi,especially|particularly|peculiarly|specially,
film,film,NOUN,1,film,celluloid|cinema|film|flick|motion picture|motion-picture show|movie|moving picture|moving-picture show|photographic film|pic|picture|picture show|plastic film,show|product|production|medium|photographic paper|photographic material|object|physical object|sheet|flat solid|wrapping|wrap|wrapper
has,have,VERB,1,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
great,great,ADJ,1,great,bang-up|big(p)|bully|capital|corking|cracking|dandy|enceinte|expectant|gravid|great|great(p)|groovy|heavy(p)|keen|large(p)|majuscule|neat|nifty|not bad(p)|old(a)|outstanding|peachy|slap-up|smashing|swell|with child(p),
development,development,NOUN,1,develop,developing|development|evolution|exploitation|growing|growth|maturation|ontogenesis|ontogeny,improvement|process|physical process|organic process|biological process|change|alteration|modification|use|usage|utilization|utilisation|employment|exercise|district|territory|territorial dominion|dominion|melioration|processing|section|subdivision
new,new,ADJ,2,new,fresh|Modern|new|New|new(a)|novel|raw|unexampled|young,
years,year,NOUN,2,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
day,day,NOUN,2,dai,24-hour interval|Clarence Day|Clarence Shepard Day Jr.|day|Day|daylight|daytime|mean solar day|sidereal day|solar day|twenty-four hour period|twenty-four hours,time unit|unit of time|time|calendar day|civil day|time period|period of time|period|work time|era|epoch|sidereal time|opportunity|chance
february,february,NOUN,2,februari,Feb|February,Gregorian calendar month
twothreerd,twothreerd,NOUN,2,twothreerd,,NA
total,total,ADJ,2,total,entire|full|total,
box,box,NOUN,2,box,box|box seat|boxful|boxwood|corner|loge,container|compartment|containerful|predicament|quandary|plight|rectangle|shrub|bush|area|seat|blow
office,office,NOUN,2,offic,agency|authority|berth|billet|bureau|business office|federal agency|function|government agency|office|office staff|part|place|position|post|power|role|situation|spot,place of business|business establishment|administrative unit|administrative body|duty|state|staff|rite|religious rite|occupation|business|job|line of work|line
revenues,revenue,NOUN,2,revenu,gross|receipts|revenue|tax income|tax revenue|taxation,sum|sum of money|amount|amount of money|government income|government revenue
surpassed,surpass,VERB,2,surpass,exceed|excel|go by|go past|outdo|outgo|outmatch|outperform|outstrip|pass|pass by|stand out|surmount|surpass|transcend|travel by,beat|beat out|crush|shell|trounce|vanquish|travel|go|move|locomote
onezero,onezero,ADV,2,onezero,,NA
example,example,NOUN,3,exampl,case|deterrent example|example|exemplar|exercise|good example|illustration|instance|lesson|model|object lesson|representative,information|representation|mental representation|internal representation|ideal|admonition|monition|warning|word of advice|happening|occurrence|occurrent|natural event|lesson
box,box,NOUN,3,box,box|box seat|boxful|boxwood|corner|loge,container|compartment|containerful|predicament|quandary|plight|rectangle|shrub|bush|area|seat|blow
office,office,NOUN,3,offic,agency|authority|berth|billet|bureau|business office|federal agency|function|government agency|office|office staff|part|place|position|post|power|role|situation|spot,place of business|business establishment|administrative unit|administrative body|duty|state|staff|rite|religious rite|occupation|business|job|line of work|line
revenue,revenue,NOUN,3,revenu,gross|receipts|revenue|tax income|tax revenue|taxation,sum|sum of money|amount|amount of money|government income|government revenue
domestic,domestic,ADJ,3,domest,domestic|domesticated,
movie,movie,NOUN,3,movi,film|flick|motion picture|motion-picture show|movie|moving picture|moving-picture show|pic|picture|picture show,show|product|production
directed,direct,VERB,3,direct,address|aim|calculate|channelise|channelize|conduct|direct|engineer|guide|head|lead|maneuver|manoeuver|manoeuvre|mastermind|orchestrate|organise|organize|place|point|send|steer|take|take aim|target|train,order|tell|enjoin|say|aim|take|train|take aim|direct|make|create|manage|deal|care|handle|move|displace|position|perform|execute|do|instruct|apprise|apprize|intend|destine|designate|specify|control|command|label|plan
