token,lemma,upos,clique,stem,synonyms,hypernyms
micro,micro,NOUN,1,micro,,NA
blog,blog,NOUN,1,blog,blog|web log,diary|journal
essential,essential,ADJ,1,essenti,all important(p)|all-important(a)|crucial|essential|indispensable|of the essence(p)|substantive,
platform,platform,NOUN,1,platform,chopine|platform|political platform|political program|program|weapons platform,horizontal surface|level|document|written document|papers|computer system|computing system|automatic data processing system|ADP system|ADPS|structure|construction|shoe
sharing,share,VERB,1,share,apportion|deal|divvy up|partake|partake in|portion out|share,overlap|use|utilize|utilise|apply|employ|get|acquire|distribute|give out|hand out|pass out|communicate|intercommunicate
information,information,NOUN,1,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure
disseminating,disseminat,VERB,1,disseminat,,NA
users,user,NOUN,2,user,drug user|exploiter|substance abuser|user,person|individual|someone|somebody|mortal|soul|selfish person
freely,freely,ADV,2,freeli,freely,
participate,participate,VERB,2,particip,enter|participate|take part,act|move
discussion,discussion,NOUN,2,discuss,discourse|discussion|give-and-take|treatment|word,communication|communicating|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication
hot,hot,ADJ,2,hot,blistering|hot|live|raging|red-hot|spicy,
purposefully,purposefully,ADV,2,purposefulli,purposefully,
inputting,inputt,VERB,2,inputt,,NA
day,day,NOUN,2,dai,24-hour interval|Clarence Day|Clarence Shepard Day Jr.|day|Day|daylight|daytime|mean solar day|sidereal day|solar day|twenty-four hour period|twenty-four hours,time unit|unit of time|time|calendar day|civil day|time period|period of time|period|work time|era|epoch|sidereal time|opportunity|chance
however,however,ADV,3,howev,all the same|at the same time|even so|however|nevertheless|nonetheless|notwithstanding|still|withal|yet,NA
new,new,ADJ,3,new,fresh|Modern|new|New|new(a)|novel|raw|unexampled|young,
subtopic,subtopic,ADJ,3,subtop,,NA
more,more,ADJ,3,more,more than|more(a),
generated,generate,VERB,3,gener,beget|bring forth|engender|father|generate|get|give|mother|render|return|sire|yield,make|create|produce
changing,change,VERB,3,chang,alter|change|commute|convert|deepen|exchange|interchange|modify|shift|switch|transfer|vary,dress|get dressed|replace|transfer|travel|go|move|locomote|change
relevant,relevant,ADJ,3,relev,relevant,
attributes,attributes,NOUN,3,attribut,,NA
time,time,NOUN,3,time,clip|clock time|fourth dimension|meter|metre|prison term|sentence|time,case|instance|example|time period|period of time|period|moment|minute|second|instant|attribute|experience|reading|meter reading|indication|dimension|rhythmicity|term
place,place,NOUN,3,place,berth|billet|blank space|home|lieu|office|piazza|place|plaza|position|post|property|seat|shoes|situation|space|spot|station|stead|topographic point,point|geographical area|geographic area|geographical region|geographic region|cognition|knowledge|noesis|vicinity|locality|neighborhood|neighbourhood|neck of the woods|function|office|part|role|situation|position|residence|abode|occupation|business|job|line of work|line|social station|social status|social rank|rank|space|passage|condition|status|public square|square|item|area|expanse|surface area
people,people,NOUN,3,peopl,citizenry|hoi polloi|mass|masses|multitude|people|the great unwashed,group|grouping|family|family line|folk|kinfolk|kinsfolk|sept|phratry
others,other,NOUN,3,other,,NA
initial,initial,ADJ,3,initi,initial,
center,center,NOUN,3,center,center|center field|center of attention|centerfield|centre|centre of attention|core|essence|eye|gist|heart|heart and soul|inwardness|kernel|mall|marrow|meat|middle|midpoint|nerve center|nerve centre|nitty-gritty|nub|pith|plaza|shopping center|shopping centre|shopping mall|snapper|substance|sum,area|country|tract|piece of land|piece of ground|parcel of land|parcel|building|edifice|point|content|cognitive content|mental object|object|neural structure|formation|basketball player|basketeer|cager|lineman|place|property|class|stratum|social class|socio-economic class|hockey player|ice-hockey player|sweet|confection|mercantile establishment|retail store|sales outlet|outlet|position
since,since,ADV,3,sinc,,NA
users,user,NOUN,3,user,drug user|exploiter|substance abuser|user,person|individual|someone|somebody|mortal|soul|selfish person
different,different,ADJ,3,differ,different,
concerns,concerns,NOUN,3,concern,,NA
gradually,gradually,ADV,3,gradual,bit by bit|gradually|step by step,
join,join,VERB,3,join,conjoin|connect|fall in|get together|join|link|link up|unite,NA
discussion,discussion,NOUN,3,discuss,discourse|discussion|give-and-take|treatment|word,communication|communicating|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication
hot,hot,ADJ,3,hot,blistering|hot|live|raging|red-hot|spicy,
topics,topic,NOUN,3,topic,issue|matter|subject|theme|topic,message|content|subject matter|substance|cognitive content|mental object
initial,initial,ADJ,4,initi,initial,
