token,lemma,upos,clique,stem,synonyms,hypernyms
download,download,NOUN,1,download,,NA
res,re,NOUN,1,re,atomic number 75|Ra|ray|re|Re|rhenium,metallic element|metal|solfa syllable
image,image,NOUN,1,imag,double|effigy|epitome|figure|figure of speech|icon|ikon|image|look-alike|mental image|paradigm|persona|picture|prototype|range|range of a function|simulacrum|trope,representation|mental representation|internal representation|appearance|visual aspect|model|example|rhetorical device|person|individual|someone|somebody|mortal|soul|set|impression|effect
kb,kb,NOUN,1,kb,K|kb|kB|KB|kbit|KiB|kibibyte|kilobit|kilobyte,computer memory unit
full,full,ADJ,1,full,broad(a)|entire|full|full(a)|good|replete(p)|total|wide|wide-cut,
size,size,NOUN,1,size,size|size of it|sizing,magnitude|property|filler|situation|state of affairs
blacktip,blacktip,NOUN,1,blacktip,,NA
platform,platform,NOUN,1,platform,chopine|platform|political platform|political program|program|weapons platform,horizontal surface|level|document|written document|papers|computer system|computing system|automatic data processing system|ADP system|ADPS|structure|construction|shoe
timor,timor,NOUN,1,timor,Timor,
sea,sea,NOUN,1,sea,ocean|sea,body of water|water|large indefinite quantity|large indefinite amount|turbulent flow
source,source,NOUN,2,sourc,author|beginning|generator|germ|informant|origin|reference|reservoir|root|rootage|seed|source,point|document|written document|papers|inspiration|facility|installation|communicator|maker|shaper|natural process|natural action|action|activity|thing|publication
work,work,NOUN,3,work,body of work|employment|oeuvre|piece of work|study|work|workplace,activity|product|production|occupation|business|job|line of work|line|learning|acquisition|energy|free energy|geographic point|geographical point|end product|output
social,social,ADJ,3,social,social|societal,
research,research,NOUN,3,research,enquiry|inquiry|research,investigation|investigating|problem solving
modern,modern,ADJ,3,modern,advanced|forward-looking|innovative|mod|modern|Modern|modernistic|New,
energy,energy,NOUN,3,energi,Department of Energy|DOE|energy|Energy|Energy Department|free energy|get-up-and-go|muscularity|push|vigor|vigour|vim|vitality|zip,physical phenomenon|force|forcefulness|strength|drive|liveliness|life|spirit|sprightliness|good health|healthiness|executive department
industries,industry,NOUN,3,industri,diligence|industriousness|industry|manufacture,commercial enterprise|business enterprise|business|determination|purpose
focuses,focus,VERB,3,focu,center|centre|concenter|concentrate|concentre|focalise|focalize|focus|pore|rivet|sharpen,think|cogitate|cerebrate|sharpen|align|aline|line up|adjust|conform|adapt|set|correct
inconspicuous,inconspicuous,ADJ,3,inconspicu,inconspicuous|invisible,
almost,almost,ADV,3,almost,about|almost|most|near|nearly|nigh|virtually|well-nigh,NA
invisible,invisible,ADJ,3,invis,inconspicuous|invisible|unseeable,
project,project,NOUN,3,project,labor|project|projection|task|undertaking,work|plan|program|programme
operates,operate,VERB,3,oper,control|engage|function|go|lock|maneuver|manoeuver|manoeuvre|mesh|operate|operate on|run|work,direct|manipulate|move|go|displace|treat|care for
northern,northern,ADJ,3,northern,northerly|northern,
australia,australia,NOUN,3,australia,Australia|Commonwealth of Australia,
about,about,ADV,4,about,about|almost|approximately|around|close to|just about|more or less|most|near|nearly|nigh|or so|roughly|some|virtually|well-nigh,NA
km,km,NOUN,4,km,kilometer|kilometre|klick|km,metric linear unit
off,off,ADV,4,off,away|forth|off,NA
west,west,ADV,4,west,west,NA
coast,coast,NOUN,4,coast,coast|glide|sea-coast|seacoast|seashore|slide,shore|slope|incline|side|view|aspect|prospect|scene|vista|panorama|motion|movement|move
northern,northern,ADJ,4,northern,northerly|northern,
territory,territory,NOUN,4,territori,district|dominion|soil|territorial dominion|territory,region|area|geographical area|geographic area|geographical region|geographic region
stands,stand,VERB,4,stand,abide|bear|brook|digest|endure|fend|place upright|put up|remain firm|resist|stand|stand up|stick out|stomach|suffer|support|tolerate,rest|be|resist|hold out|withstand|stand firm|permit|allow|let|countenance|evaluate|pass judgment|judge|stay|remain|continue|measure|put|set|place|pose|position|lay|fight|oppose|fight back|fight down|defend|serve|service
blacktip,blacktip,NOUN,4,blacktip,,NA
gas,gas,NOUN,4,ga,accelerator|accelerator pedal|flatulence|flatulency|gas|gas pedal|gaseous state|gasolene|gasoline|gun|natural gas|petrol|throttle,state of matter|state|fluid|fuel|hydrocarbon|physical condition|physiological state|physiological condition|pedal|treadle|foot pedal|foot lever|fossil fuel
drilling,drill,NOUN,4,drill,drill|exercise|Mandrillus leucophaeus|practice|practice session|recitation,tool|baboon|training|preparation|grooming
platform,platform,NOUN,4,platform,chopine|platform|political platform|political program|program|weapons platform,horizontal surface|level|document|written document|papers|computer system|computing system|automatic data processing system|ADP system|ADPS|structure|construction|shoe
facility,facility,NOUN,4,facil,adeptness|adroitness|deftness|facility|installation|quickness|readiness,artifact|artefact|skillfulness|effortlessness|service
owned,own,VERB,4,own,have|own|possess,
operated,operate,VERB,4,oper,control|engage|function|go|lock|maneuver|manoeuver|manoeuvre|mesh|operate|operate on|run|work,direct|manipulate|move|go|displace|treat|care for
italian,italian,ADJ,4,italian,Italian,
based,base,VERB,4,base,base|establish|found|free-base|ground,situate|locate|drug|do drugs
energy,energy,NOUN,4,energi,Department of Energy|DOE|energy|Energy|Energy Department|free energy|get-up-and-go|muscularity|push|vigor|vigour|vim|vitality|zip,physical phenomenon|force|forcefulness|strength|drive|liveliness|life|spirit|sprightliness|good health|healthiness|executive department
multinational,multinational,ADJ,4,multin,multinational|transnational,
corporation,corporation,NOUN,4,corpor,bay window|corp|corporation|pot|potbelly|tummy,firm|house|business firm|belly|paunch
nazionale,nazionale,NOUN,4,nazional,,NA
extracts,extract,NOUN,5,extract,excerpt|excerption|extract|infusion|selection,solution|passage
natural,natural,ADJ,5,natur,biological|born(p)|innate(p)|instinctive|lifelike|natural|raw(a)|rude(a),
gas,gas,NOUN,5,ga,accelerator|accelerator pedal|flatulence|flatulency|gas|gas pedal|gaseous state|gasolene|gasoline|gun|natural gas|petrol|throttle,state of matter|state|fluid|fuel|hydrocarbon|physical condition|physiological state|physiological condition|pedal|treadle|foot pedal|foot lever|fossil fuel
beneath,beneath,NOUN,5,beneath,,NA
floor,floor,NOUN,5,floor,base|floor|flooring|level|storey|story|trading floor,horizontal surface|level|structure|construction|control|land|dry land|earth|ground|solid ground|terra firma|surface|Earth's surface|gathering|assemblage|right|hall|room
timor,timor,NOUN,5,timor,Timor,
sea,sea,NOUN,5,sea,ocean|sea,body of water|water|large indefinite quantity|large indefinite amount|turbulent flow
then,then,ADV,5,then,and so|so|then,NA
pumped,pumpe,VERB,5,pump,,NA
onshore,onshore,ADV,5,onshor,onshore,
processing,processe,NOUN,5,process,,NA
facility,facility,NOUN,5,facil,adeptness|adroitness|deftness|facility|installation|quickness|readiness,artifact|artefact|skillfulness|effortlessness|service
yelcherr,yelcherr,NOUN,5,yelcherr,,NA
beach,beach,NOUN,5,beach,beach,geological formation|formation
about,about,ADV,5,about,about|almost|approximately|around|close to|just about|more or less|most|near|nearly|nigh|or so|roughly|some|virtually|well-nigh,NA
km,km,NOUN,5,km,kilometer|kilometre|klick|km,metric linear unit
southwest,southwest,PROPN,5,southwest,NA,NA
northern,northern,ADJ,5,northern,northerly|northern,
territory,territory,NOUN,5,territori,district|dominion|soil|territorial dominion|territory,region|area|geographical area|geographic area|geographical region|geographic region
