token,lemma,upos,clique,stem,synonyms,hypernyms
consumers,consumers,NOUN,1,consum,,NA
today,today,NOUN,1,todai,today,present|nowadays|day|twenty-four hours|twenty-four hour period|24-hour interval|solar day|mean solar day
increasingly,increasingly,ADV,1,increasingli,increasingly|more and more|progressively,
willing,willing,ADJ,1,will,uncoerced|unforced|willing,
reduce,reduce,NOUN,1,reduc,,NA
meat,meat,NOUN,1,meat,center|centre|core|essence|gist|heart|heart and soul|inwardness|kernel|marrow|meat|nitty-gritty|nub|pith|substance|sum,food|solid food|plant part|plant structure|content|cognitive content|mental object
consumption,consumption,NOUN,1,consumpt,consumption|economic consumption|expenditure|ingestion|intake|phthisis|pulmonary tuberculosis|uptake|usance|use|use of goods and services|using up|wasting disease|white plague,bodily process|body process|bodily function|activity|tuberculosis|TB|T.B.|demand|depletion
adopt,adopt,NOUN,1,adopt,,NA
plant,plant,NOUN,1,plant,flora|industrial plant|plant|plant life|works,building complex|complex|organism|being|actor|histrion|player|thespian|role player|contrivance|stratagem|dodge
based,base,VERB,1,base,base|establish|found|free-base|ground,situate|locate|drug|do drugs
alternatives,alternative,NOUN,1,altern,alternative|choice|option,decision making|deciding
diet,diet,NOUN,1,diet,diet|dieting,fare|legislature|legislative assembly|legislative body|general assembly|law-makers|fast|fasting
trend,trend,NOUN,2,trend,course|drift|movement|style|tendency|trend|vogue,direction|way|inclination|disposition|tendency|taste|appreciation|discernment|perceptiveness
has,have,VERB,2,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
described,describe,VERB,2,describ,account|delineate|depict|describe|discover|distinguish|draw|identify|key|key out|line|name|report|trace,set forth|expound|exposit|inform|mark
as,as,ADV,2,a,as|equally|every bit,
flexitarian,flexitarian,ADJ,2,flexitarian,,NA
diet,diet,NOUN,2,diet,diet|dieting,fare|legislature|legislative assembly|legislative body|general assembly|law-makers|fast|fasting
driven,drive,VERB,2,drive,aim|beat back|drive|force|force back|get|labor|labour|motor|push|push back|ram|repel|repulse|ride|take|tug,operate|control|travel|go|move|locomote|transport|carry|displace|thrust|coerce|hale|squeeze|pressure|force|push|make|propel|impel|throw|fight|struggle|mean|intend|work|do work|drive|traverse|track|cover|cross|pass over|get over|get across|cut through|cut across|hit|excavate|dig|hollow|power|hunt|run|hunt down|track down
diversity,diversity,NOUN,2,divers,diverseness|diversity|multifariousness|variety,heterogeneity|heterogeneousness|condition|status
factors,factor,NOUN,2,factor,agent|broker|cistron|component|constituent|divisor|element|factor|gene|ingredient,cause|part|section|division|integer|whole number|businessperson|bourgeois|number|independent variable|experimental variable|sequence
visschers,visscher,NOUN,2,visscher,,NA
siegrist,siegrist,NOUN,2,siegrist,,NA
trend,trend,NOUN,3,trend,course|drift|movement|style|tendency|trend|vogue,direction|way|inclination|disposition|tendency|taste|appreciation|discernment|perceptiveness
closely,closely,ADV,3,close,close|closely|intimately|nearly|tight,
