token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
other,other,ADJ,24,other,early(a)|former(a)|other|other(a),NA,S0020025508004520,S0020025508004520_24
networks,network,NOUN,24,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_24
reveal,reveal,ADJ,24,reveal,NA,NA,S0020025508004520,S0020025508004520_24
relatively,relatively,ADV,24,rel,comparatively|relatively,NA,S0020025508004520,S0020025508004520_24
small,small,ADJ,24,small,belittled|diminished|humble|little|low|lowly|minor|minuscule|modest|pocket-size|pocket-sized|small|small-scale|small(a),NA,S0020025508004520,S0020025508004520_24
distance,distance,NOUN,24,distanc,aloofness|distance|length|space,spacing|spatial arrangement|region|part|size|indifference|time interval|interval|point|point in time,S0020025508004520,S0020025508004520_24
pair,pair,NOUN,24,pair,brace|couple|couplet|distich|duad|duet|duo|dyad|pair|span|twain|twosome|yoke,set|two|2|II|deuce|gathering|assemblage|poker hand,S0020025508004520,S0020025508004520_24
nodes,node,NOUN,24,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_24
average,average,NOUN,24,averag,average|norm,statistic|ratio|scale value,S0020025508004520,S0020025508004520_24
number,number,NOUN,24,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product,S0020025508004520,S0020025508004520_24
separates,separate,NOUN,24,separ,offprint|reprint|separate,article|garment,S0020025508004520,S0020025508004520_24
salton,salton,NOUN,43,salton,NA,NA,S0020025508004520,S0020025508004520_43
instance,instance,NOUN,43,instanc,case|example|illustration|instance|representative,happening|occurrence|occurrent|natural event|information,S0020025508004520,S0020025508004520_43
denote,denote,NOUN,43,denot,NA,NA,S0020025508004520,S0020025508004520_43
paragraphs,paragraph,NOUN,43,paragraph,paragraph,writing|written material|piece of writing,S0020025508004520,S0020025508004520_43
as,as,ADV,43,a,as|equally|every bit,NA,S0020025508004520,S0020025508004520_43
nodes,node,NOUN,43,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_43
interconnected,interconnect,ADJ,43,interconnect,NA,NA,S0020025508004520,S0020025508004520_43
according,accord,VERB,43,accord,accord|agree|allot|concord|consort|fit in|grant|harmonise|harmonize,match|fit|correspond|check|jibe|gibe|tally|agree|give,S0020025508004520,S0020025508004520_43
similarity,similarity,NOUN,43,similar,law of similarity|similarity,sameness|Gestalt law of organization|Gestalt principle of organization,S0020025508004520,S0020025508004520_43
measure,measure,NOUN,43,measur,amount|bar|beat|bill|cadence|criterion|measure|measurement|measuring|measuring rod|measuring stick|mensuration|meter|metre|quantity|standard|step|touchstone,maneuver|manoeuvre|tactical maneuver|tactical manoeuvre|abstraction|abstract entity|legal document|legal instrument|official document|instrument|activity|system of measurement|metric|poetic rhythm|rhythmic pattern|prosody|musical notation|measuring instrument|measuring system|measuring device|container,S0020025508004520,S0020025508004520_43
based,base,VERB,43,base,base|establish|found|free-base|ground,situate|locate|drug|do drugs,S0020025508004520,S0020025508004520_43
number,number,NOUN,43,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product,S0020025508004520,S0020025508004520_43
words,word,NOUN,43,word,Bible|Book|Christian Bible|countersign|discussion|give-and-take|Good Book|Holy Scripture|Holy Writ|intelligence|Logos|news|parole|password|Scripture|Son|tidings|watchword|word|Word|Word of God|word of honor,language unit|linguistic unit|statement|information|info|order|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|promise|computer memory unit|positive identification|secret|arcanum|sacred text|sacred writing|religious writing|religious text,S0020025508004520,S0020025508004520_43
share,share,NOUN,43,share,contribution|parcel|part|percentage|ploughshare|plowshare|portion|share,assets|stock certificate|stock|allotment|apportionment|apportioning|allocation|parceling|parcelling|assignation|attempt|effort|endeavor|endeavour|try|wedge,S0020025508004520,S0020025508004520_43
technique,technique,NOUN,66,techniqu,proficiency|technique,method|skillfulness,S0020025508004520,S0020025508004520_66
presented,present,VERB,66,present,acquaint|award|confront|deliver|demo|demonstrate|exhibit|face|gift|give|introduce|lay out|portray|pose|present|represent|salute|show|stage|submit,show|state|say|tell|re-create|give|constitute|represent|make up|comprise|be|allocate|apportion|talk|speak|utter|mouth|verbalize|verbalise|inform|interpret|introduce|present|acquaint|greet|recognize|recognise,S0020025508004520,S0020025508004520_66
here,here,ADV,66,here,here|hither,NA,S0020025508004520,S0020025508004520_66
automatically,automatically,ADV,66,automat,automatically|mechanically,NA,S0020025508004520,S0020025508004520_66
generating,generate,NOUN,66,gener,NA,NA,S0020025508004520,S0020025508004520_66
extracts,extract,NOUN,66,extract,excerpt|excerption|extract|infusion|selection,solution|passage,S0020025508004520,S0020025508004520_66
based,base,VERB,66,base,base|establish|found|free-base|ground,situate|locate|drug|do drugs,S0020025508004520,S0020025508004520_66
set,set,VERB,66,set,adjust|arrange|coif|coiffe|coiffure|congeal|correct|countersink|define|determine|do|dress|fix|fructify|gear up|go down|go under|jell|lay|lay out|limit|localise|localize|mark|place|plant|pose|position|prepare|put|ready|rig|set|set up|sic|specify|typeset,move|displace|choose|take|select|pick out|lay down|establish|make|change|alter|modify|arrange|set up|adjust|set|correct|stage|present|represent|descend|fall|go down|come down|compose|write|put|place|pose|position|lay|originate|initiate|start|solidify|print|impress|bury|sink|hone|assail|assault|set on|attack|estimate|gauge|approximate|guess|judge|equip|fit|fit out|outfit|fix|prepare|ready|gear up|reproduce|procreate|multiply|groom|neaten,S0020025508004520,S0020025508004520_66
network,network,NOUN,66,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_66
measurements,measurement,NOUN,66,measur,measure|measurement|measuring|mensuration,activity,S0020025508004520,S0020025508004520_66
typically,typically,ADV,66,typic,typically,NA,S0020025508004520,S0020025508004520_66
applied,apply,VERB,66,appli,apply|employ|enforce|give|go for|hold|implement|lend oneself|practice|put on|use|utilise|utilize,refer|pertain|relate|concern|come to|bear on|touch|touch on|have to do with|request|ask for|bespeak|call for|quest|cover|distribute|administer|mete out|deal|parcel out|lot|dispense|shell out|deal out|dish out|allot|dole out|compel|oblige|obligate|denote|give|dedicate|consecrate|commit|devote,S0020025508004520,S0020025508004520_66
characterize,characterize,NOUN,66,character,NA,NA,S0020025508004520,S0020025508004520_66
complex,complex,NOUN,66,complex,building complex|complex|composite|coordination compound,whole|compound|chemical compound|feeling|structure|construction,S0020025508004520,S0020025508004520_66
networks,network,NOUN,66,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_66
subgraph,subgraph,NOUN,116,subgraph,NA,NA,S0020025508004520,S0020025508004520_116
graph,graph,NOUN,116,graph,character|chart|graph|grapheme|graphic symbol|graphical record|graphical recording,visual communication|written symbol|printed symbol,S0020025508004520,S0020025508004520_116
k,k,PROPN,116,k,NA,NA,S0020025508004520,S0020025508004520_116
core,core,NOUN,116,core,burden|center|centre|Congress of Racial Equality|core|CORE|core group|effect|essence|gist|heart|heart and soul|inwardness|kernel|magnetic core|marrow|meat|nitty-gritty|nub|nucleus|pith|substance|sum,set|center|centre|midpoint|content|cognitive content|mental object|sample|nongovernmental organization|NGO|meaning|significance|signification|import|torus|toroid|chamber|bar,S0020025508004520,S0020025508004520_116
node,node,NOUN,116,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_116
