token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
when,when,ADV,238,when,NA,NA,S0020025508004520,S0020025508004520_238
considering,consider,VERB,238,consid,believe|conceive|consider|count|deal|debate|deliberate|look at|moot|reckon|regard|see|study|take|think|turn over|view|weigh,think|believe|consider|conceive|chew over|think over|meditate|ponder|excogitate|contemplate|muse|reflect|mull|mull over|ruminate|speculate|think about|hash out|discuss|talk over|evaluate|pass judgment|judge|look|analyze|analyse|study|examine|canvass|see|reckon|view|regard,S0020025508004520,S0020025508004520_238
new,new,ADJ,238,new,fresh|Modern|new|New|new(a)|novel|raw|unexampled|young,NA,S0020025508004520,S0020025508004520_238
compression,compression,NOUN,238,compress,compaction|compressing|compression|concretion|condensation|contraction|densification,concentration|shrinking|shrinkage|encoding|encryption|press|pressure|pressing,S0020025508004520,S0020025508004520_238
rate,rate,NOUN,238,rate,charge per unit|pace|rate,magnitude relation|quantitative relation|charge|temporal property|proportion,S0020025508004520,S0020025508004520_238
twozero,twozero,NOUN,238,twozero,NA,NA,S0020025508004520,S0020025508004520_238
notice,notice,NOUN,238,notic,bill|card|notice|notification|observance|observation|placard|poster|posting,announcement|promulgation|attention|attending|request|asking|telling|apprisal|notification|sign|review|critique|critical review|review article,S0020025508004520,S0020025508004520_238
cn,cn,NOUN,238,cn,NA,NA,S0020025508004520,S0020025508004520_238
voting,voting,NOUN,238,vote,ballot|balloting|vote|voting,choice|selection|option|pick,S0020025508004520,S0020025508004520_238
continues,continue,VERB,238,continu,bear on|carry on|continue|cover|extend|go along|go forward|go on|keep|keep on|persist in|preserve|proceed|remain|retain|stay|stay on|uphold,act|move|talk|speak|keep|maintain|hold|travel|go|locomote|prolong|sustain|keep up|be,S0020025508004520,S0020025508004520_238
highest,highest,ADJ,238,highest,NA,NA,S0020025508004520,S0020025508004520_238
scoring,scoring,NOUN,238,score,grading|marking|scoring,evaluation|rating,S0020025508004520,S0020025508004520_238
system,system,NOUN,238,system,arrangement|organisation|organization|scheme|system|system of rules,instrumentality|instrumentation|group|grouping|matter|method|structure|body part|plan of action|live body|orderliness|methodicalness,S0020025508004520,S0020025508004520_238
f,f,NOUN,238,f,atomic number 9|degree Fahrenheit|f|F|farad|fluorine,degree|chemical element|element|gas|halogen|capacitance unit|letter|letter of the alphabet|alphabetic character,S0020025508004520,S0020025508004520_238
measure,measure,NOUN,238,measur,amount|bar|beat|bill|cadence|criterion|measure|measurement|measuring|measuring rod|measuring stick|mensuration|meter|metre|quantity|standard|step|touchstone,maneuver|manoeuvre|tactical maneuver|tactical manoeuvre|abstraction|abstract entity|legal document|legal instrument|official document|instrument|activity|system of measurement|metric|poetic rhythm|rhythmic pattern|prosody|musical notation|measuring instrument|measuring system|measuring device|container,S0020025508004520,S0020025508004520_238
equal,equal,ADJ,238,equal,adequate|equal,NA,S0020025508004520,S0020025508004520_238
nodes,node,NOUN,24,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025514004137,S0020025514004137_24
net,net,NOUN,24,net,cyberspace|earnings|internet|lucre|mesh|meshing|meshwork|net|net income|net profit|network|profit|profits,computer network|trap|income|goal|game equipment|fabric|cloth|material|textile,S0020025514004137,S0020025514004137_24
persons,person,NOUN,24,person,individual|mortal|person|somebody|someone|soul,organism|being|causal agent|cause|causal agency|human body|physical body|material body|soma|build|figure|physique|anatomy|shape|bod|chassis|frame|form|flesh|grammatical category|syntactic category,S0020025514004137,S0020025514004137_24
