token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
dilation,dilation,NOUN,109,dilat,dilatation|dilation,discussion|treatment|discourse|expansion|enlargement,S0020025508004520,S0020025508004520_109
δ,δ,NOUN,109,δ,NA,NA,S0020025508004520,S0020025508004520_109
thus,thus,ADV,187,thu,hence|so|thence|therefore|thus|thusly,NA,S0020025508004520,S0020025508004520_187
low,low,ADJ,187,low,abject|blue|broken|crushed|depleted|depressed|dispirited|down in the mouth|down(p)|downcast|downhearted|gloomy|grim|humble|humbled|humiliated|low|low-down|low-pitched|low-spirited|low-toned|lowly|miserable|modest|scummy|scurvy|small,NA,S0020025508004520,S0020025508004520_187
p,p,NOUN,187,p,atomic number 15|p|P|phosphorus,chemical element|element|letter|letter of the alphabet|alphabetic character,S0020025508004520,S0020025508004520_187
value,value,NOUN,187,valu,economic value|note value|time value|value,numerical quantity|worth|measure|quantity|amount|color property|duration|continuance|ideal,S0020025508004520,S0020025508004520_187
near,near,ADV,187,near,about|almost|close|most|near|nearly|nigh|virtually|well-nigh,NA,S0020025508004520,S0020025508004520_187
zero,zero,NOUN,187,zero,0|aught|cipher|cypher|goose egg|nada|naught|nil|nix|nothing|nought|null|zero|zero point|zilch|zip|zippo,relative quantity|digit|figure|numerical quantity|sight setting,S0020025508004520,S0020025508004520_187
since,since,ADV,187,sinc,NA,NA,S0020025508004520,S0020025508004520_187
zerop,zerop,NOUN,187,zerop,NA,NA,S0020025508004520,S0020025508004520_187
valueone,valueone,NOUN,187,valueon,NA,NA,S0020025508004520,S0020025508004520_187
thus,thus,ADV,251,thu,hence|so|thence|therefore|thus|thusly,NA,S0020025508004520,S0020025508004520_251
now,now,ADV,251,now,at once|at present|directly|forthwith|immediately|instantly|like a shot|now|nowadays|right away|straight off|straightaway|today,NA,S0020025508004520,S0020025508004520_251
reduce,reduce,NOUN,251,reduc,NA,NA,S0020025508004520,S0020025508004520_251
size,size,NOUN,251,size,size|size of it|sizing,magnitude|property|filler|situation|state of affairs,S0020025508004520,S0020025508004520_251
extracts,extract,NOUN,251,extract,excerpt|excerption|extract|infusion|selection,solution|passage,S0020025508004520,S0020025508004520_251
twozero,twozero,NOUN,251,twozero,NA,NA,S0020025508004520,S0020025508004520_251
reference,reference,NOUN,251,refer,acknowledgment|address|book of facts|character|character reference|citation|cite|computer address|consultation|credit|denotation|extension|mention|point of reference|quotation|reference|reference book|reference point|reference work|source,remark|comment|input|note|annotation|notation|indicator|book|recommendation|testimonial|good word|meaning|substance|action|publication|code|computer code,S0020025508004520,S0020025508004520_251
summary,summary,NOUN,251,summari,sum-up|summary,statement,S0020025508004520,S0020025508004520_251
as,as,ADV,251,a,as|equally|every bit,NA,S0020025508004520,S0020025508004520_251
opposed,oppose,ADJ,251,oppos,NA,NA,S0020025508004520,S0020025508004520_251
same,same,ADJ,251,same,like|same|same(p),NA,S0020025508004520,S0020025508004520_251
sizes,size,VERB,251,size,size,coat|surface|classify|class|sort|assort|sort out|separate|change magnitude,S0020025508004520,S0020025508004520_251
employed,employ,VERB,251,emploi,apply|employ|engage|hire|use|utilise|utilize,NA,S0020025508004520,S0020025508004520_251
earlier,earlier,ADV,251,earlier,before|earlier|in the beginning|in the first place|originally|sooner|to begin with,NA,S0020025508004520,S0020025508004520_251
