token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
natural,natural,ADJ,30,natur,biological|born(p)|innate(p)|instinctive|lifelike|natural|raw(a)|rude(a),NA,S0020025508004520,S0020025508004520_30
language,language,NOUN,30,languag,language|linguistic communication|linguistic process|lyric|nomenclature|oral communication|speech|speech communication|spoken communication|spoken language|terminology|voice communication|words,communication|auditory communication|text|textual matter|higher cognitive process|faculty|mental faculty|module|word,S0020025508004520,S0020025508004520_30
processing,processe,NOUN,30,process,NA,NA,S0020025508004520,S0020025508004520_30
has,have,VERB,30,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA,S0020025508004520,S0020025508004520_30
also,also,ADV,30,also,also|as well|besides|likewise|too,NA,S0020025508004520,S0020025508004520_30
benefited,benefit,VERB,30,benefit,benefit|do good|gain|profit,get|acquire|help|aid,S0020025508004520,S0020025508004520_30
complex,complex,NOUN,30,complex,building complex|complex|composite|coordination compound,whole|compound|chemical compound|feeling|structure|construction,S0020025508004520,S0020025508004520_30
networks,network,NOUN,30,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_30
including,include,VERB,30,includ,admit|include|let in,see|consider|reckon|view|regard|add|permit|allow|let|countenance,S0020025508004520,S0020025508004520_30
authorship,authorship,NOUN,30,authorship,authorship|composition|paternity|penning|writing,verbal creation|initiation|founding|foundation|institution|origination|creation|innovation|introduction|instauration,S0020025508004520,S0020025508004520_30
analysis,analysis,NOUN,30,analysi,analysis|analytic thinking|depth psychology|psychoanalysis,investigation|investigating|reasoning|logical thinking|abstract thought|criticism|literary criticism|expressive style|style|calculus|infinitesimal calculus|psychotherapy,S0020025508004520,S0020025508004520_30
quality,quality,NOUN,30,qualiti,caliber|calibre|character|lineament|quality|timber|timbre|tone,attribute|degree|grade|level|property|dimension|sound property|social station|social status|social rank|rank,S0020025508004520,S0020025508004520_30
assessment,assessment,NOUN,30,assess,appraisal|assessment|judgement|judgment,classification|categorization|categorisation|sorting|charge|monetary value|price|cost|act|deed|human action|human activity,S0020025508004520,S0020025508004520_30
school,school,NOUN,30,school,school|school day|schoolhouse|schooling|schooltime|shoal,educational institution|building|edifice|education|body|time period|period of time|period|animal group,S0020025508004520,S0020025508004520_30
essays,essays,NOUN,30,essai,NA,NA,S0020025508004520,S0020025508004520_30
summaries,summary,NOUN,30,summari,sum-up|summary,statement,S0020025508004520,S0020025508004520_30
translations,translation,NOUN,30,translat,displacement|interlingual rendition|rendering|transformation|translation|version,written record|written account|change of location|travel|change of integrity|transformation|organic process|biological process|paraphrase|paraphrasis|motion|movement|move,S0020025508004520,S0020025508004520_30
section,section,NOUN,40,section,department|discussion section|division|incision|part|plane section|section|segment|subdivision|surgical incision,writing|written material|piece of writing|music|slice|area|country|part|portion|team|squad|concept|conception|construct|square mile|expanse|surface area|class|form|grade|course|musical organization|musical organisation|musical group|army unit|division|segment|cut|cutting,S0020025508004520,S0020025508004520_40
complements,complement,NOUN,40,complement,accompaniment|complement|full complement,construction|grammatical construction|expression|count|work force|workforce|manpower|hands|men|adjunct|enzyme|counterpart|opposite number|vis-a-vis,S0020025508004520,S0020025508004520_40
evaluation,evaluation,NOUN,40,evalu,evaluation|rating|valuation,judgment|judgement|assessment|appraisal,S0020025508004520,S0020025508004520_40
correlation,correlation,NOUN,40,correl,coefficient of correlation|correlation|correlation coefficient|correlational statistics|correlativity,reciprocality|reciprocity|parametric statistic|statistics,S0020025508004520,S0020025508004520_40
analysis,analysis,NOUN,40,analysi,analysis|analytic thinking|depth psychology|psychoanalysis,investigation|investigating|reasoning|logical thinking|abstract thought|criticism|literary criticism|expressive style|style|calculus|infinitesimal calculus|psychotherapy,S0020025508004520,S0020025508004520_40
