token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
networks,network,NOUN,56,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_56
forward,forward,ADV,56,forward,ahead|fore|forrad|forrader|forrard|forth|forward|forwards|frontward|frontwards|onward|onwards,NA,S0020025508004520,S0020025508004520_56
backward,backward,ADV,56,backward,back|backward|backwards|rearward|rearwards,NA,S0020025508004520,S0020025508004520_56
edges,edge,NOUN,56,edg,border|bound|boundary|edge|sharpness,boundary|bound|bounds|line|side|urgency|superiority|favorable position|favourable position|limit|demarcation|demarcation line,S0020025508004520,S0020025508004520_56
hits,hit,NOUN,56,hit,bang|collision|hit|hitting|smash|smasher|strike|striking,feat|effort|exploit|touch|touching|success|contact|impinging|striking|dose|dosage|murder|slaying|execution|joining|connection|connexion,S0020025508004520,S0020025508004520_56
algorithms,algorithm,NOUN,56,algorithm,algorithm|algorithmic program|algorithmic rule,rule|formula,S0020025508004520,S0020025508004520_56
superior,superior,ADJ,56,superior,higher-ranking|ranking(a)|superior|superior(p)|superscript,NA,S0020025508004520,S0020025508004520_56
scoring,scoring,NOUN,56,score,grading|marking|scoring,evaluation|rating,S0020025508004520,S0020025508004520_56
system,system,NOUN,56,system,arrangement|organisation|organization|scheme|system|system of rules,instrumentality|instrumentation|group|grouping|matter|method|structure|body part|plan of action|live body|orderliness|methodicalness,S0020025508004520,S0020025508004520_56
duc,duc,NOUN,56,duc,NA,NA,S0020025508004520,S0020025508004520_56
pagerank,pagerank,NOUN,56,pagerank,NA,NA,S0020025508004520,S0020025508004520_56
performed,perform,VERB,56,perform,do|execute|perform,act|move|re-create|carry through|accomplish|execute|carry out|action|fulfill|fulfil,S0020025508004520,S0020025508004520_56
little,little,ADJ,56,littl,fiddling|footling|lilliputian|little|little(a)|minuscule|niggling|petty|picayune|piddling|piffling|short|slight|small|trivial,NA,S0020025508004520,S0020025508004520_56
worse,worse,ADJ,56,wors,worse|worsened,NA,S0020025508004520,S0020025508004520_56
systems,systems,NOUN,56,system,NA,NA,S0020025508004520,S0020025508004520_56
sentences,sentences,NOUN,95,sentenc,NA,NA,S0020025508004520,S0020025508004520_95
highest,highest,ADJ,95,highest,NA,NA,S0020025508004520,S0020025508004520_95
ki,ki,NOUN,95,ki,ch'i|chi|ki|Ki|qi,energy|vim|vitality,S0020025508004520,S0020025508004520_95
compose,compose,VERB,95,compos,compile|compose|draw up|frame|indite|pen|write,constitute|represent|make up|comprise|be|make|create|create verbally|calm|calm down|quiet|tranquilize|tranquillize|tranquillise|quieten|lull|still|plan,S0020025508004520,S0020025508004520_95
extract,extract,NOUN,95,extract,excerpt|excerption|extract|infusion|selection,solution|passage,S0020025508004520,S0020025508004520_95
identification,identification,NOUN,49,identif,designation|identification|recognition,determination|finding|evidence|condition|status|memory|remembering|identity|personal identity|individuality,S0020025516310283,S0020025516310283_49
