token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
nodes,node,NOUN,100,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_100
distance,distance,NOUN,100,distanc,aloofness|distance|length|space,spacing|spatial arrangement|region|part|size|indifference|time interval|interval|point|point in time,S0020025508004520,S0020025508004520_100
higher,higher,ADJ,100,higher,higher(a),NA,S0020025508004520,S0020025508004520_100
node,node,NOUN,100,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_100
information,information,NOUN,100,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure,S0020025508004520,S0020025508004520_100
important,important,ADJ,100,import,authoritative|crucial|important|of import|significant,NA,S0020025508004520,S0020025508004520_100
identify,identify,VERB,100,identifi,describe|discover|distinguish|identify|key|key out|name|place,determine|set|denote|refer|see|consider|reckon|view|regard|associate|tie in|relate|link|colligate|link up|connect|recognize|recognise,S0020025508004520,S0020025508004520_100
indirect,indirect,ADJ,100,indirect,collateral|indirect,NA,S0020025508004520,S0020025508004520_100
cohesive,cohesive,ADJ,100,cohes,cohesive,NA,S0020025508004520,S0020025508004520_100
relations,relation,NOUN,100,relat,carnal knowledge|coition|coitus|copulation|intercourse|recounting|relation|relation back|relative|sex act|sexual congress|sexual intercourse|sexual relation|telling,abstraction|abstract entity|sexual activity|sexual practice|sex|sex activity|person|individual|someone|somebody|mortal|soul|narration|recital|yarn|legal principle|judicial principle|judicial doctrine|dealings|traffic,S0020025508004520,S0020025508004520_100
more,more,ADJ,242,more,more than|more(a),NA,S0020025508004520,S0020025508004520_242
restrictive,restrictive,ADJ,242,restrict,restrictive,NA,S0020025508004520,S0020025508004520_242
compression,compression,NOUN,242,compress,compaction|compressing|compression|concretion|condensation|contraction|densification,concentration|shrinking|shrinkage|encoding|encryption|press|pressure|pressing,S0020025508004520,S0020025508004520_242
rates,rate,NOUN,242,rate,charge per unit|pace|rate,magnitude relation|quantitative relation|charge|temporal property|proportion,S0020025508004520,S0020025508004520_242
continue,continue,VERB,242,continu,bear on|carry on|continue|cover|extend|go along|go forward|go on|keep|keep on|persist in|preserve|proceed|remain|retain|stay|stay on|uphold,act|move|talk|speak|keep|maintain|hold|travel|go|locomote|prolong|sustain|keep up|be,S0020025508004520,S0020025508004520_242
increase,increase,NOUN,242,increas,addition|gain|growth|increase|increment|step-up,indefinite quantity|change|alteration|modification|process|physical process|amount|change of magnitude,S0020025508004520,S0020025508004520_242
performance,performance,NOUN,242,perform,carrying into action|carrying out|execution|functioning|operation|performance|public presentation,show|presentation|presentment|demonstration|action|accomplishment|achievement|process|physical process,S0020025508004520,S0020025508004520_242
top,top,ADJ,242,top,top(a),NA,S0020025508004520,S0020025508004520_242
baseline,baseline,NOUN,242,baselin,baseline|service line,standard|criterion|measure|touchstone|line,S0020025508004520,S0020025508004520_242
conclude,conclude,VERB,258,conclud,close|conclude|reason|reason out|resolve,think|cogitate|cerebrate|end|terminate|agree|hold|concur|concord|stop|finish|cease,S0020025508004520,S0020025508004520_258
evaluation,evaluation,NOUN,258,evalu,evaluation|rating|valuation,judgment|judgement|assessment|appraisal,S0020025508004520,S0020025508004520_258
cn,cn,NOUN,258,cn,NA,NA,S0020025508004520,S0020025508004520_258
summ,summ,NOUN,258,summ,NA,NA,S0020025508004520,S0020025508004520_258
analysis,analysis,NOUN,258,analysi,analysis|analytic thinking|depth psychology|psychoanalysis,investigation|investigating|reasoning|logical thinking|abstract thought|criticism|literary criticism|expressive style|style|calculus|infinitesimal calculus|psychotherapy,S0020025508004520,S0020025508004520_258
correlation,correlation,NOUN,258,correl,coefficient of correlation|correlation|correlation coefficient|correlational statistics|correlativity,reciprocality|reciprocity|parametric statistic|statistics,S0020025508004520,S0020025508004520_258
different,different,ADJ,258,differ,different,NA,S0020025508004520,S0020025508004520_258
strategies,strategy,NOUN,258,strategi,scheme|strategy,plan of action|military science,S0020025508004520,S0020025508004520_258
therefore,therefore,ADV,269,therefor,consequently|hence|so|thence|therefore|thus,NA,S0020025508004520,S0020025508004520_269
based,base,VERB,269,base,base|establish|found|free-base|ground,situate|locate|drug|do drugs,S0020025508004520,S0020025508004520_269
different,different,ADJ,269,differ,different,NA,S0020025508004520,S0020025508004520_269
network,network,NOUN,269,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_269
features,feature,NOUN,269,featur,characteristic|feature|feature article|feature film|feature of speech|lineament,property|attribute|dimension|body part|movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick|article|merchandise|ware|product,S0020025508004520,S0020025508004520_269
shared,share,VERB,269,share,apportion|deal|divvy up|partake|partake in|portion out|share,overlap|use|utilize|utilise|apply|employ|get|acquire|distribute|give out|hand out|pass out|communicate|intercommunicate,S0020025508004520,S0020025508004520_269
common,common,ADJ,269,common,coarse|common|mutual|plebeian|rough-cut|uncouth|unwashed|usual|vernacular|vulgar,NA,S0020025508004520,S0020025508004520_269
