token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
proximity,proximity,NOUN,142,proxim,law of proximity|propinquity|proximity,nearness|closeness|vicinity|locality|neighborhood|neighbourhood|neck of the woods|Gestalt law of organization|Gestalt principle of organization,S0020025508004520,S0020025508004520_142
quantified,quantify,ADJ,142,quantifi,NA,NA,S0020025508004520,S0020025508004520_142
cosine,cosine,NOUN,142,cosin,cos|cosine,trigonometric function|circular function,S0020025508004520,S0020025508004520_142
similarity,similarity,NOUN,142,similar,law of similarity|similarity,sameness|Gestalt law of organization|Gestalt principle of organization,S0020025508004520,S0020025508004520_142
measurement,measurement,NOUN,142,measur,measure|measurement|measuring|mensuration,activity,S0020025508004520,S0020025508004520_142
computed,compute,VERB,142,comput,calculate|cipher|compute|cypher|figure|reckon|work out,reason,S0020025508004520,S0020025508004520_142
word,word,NOUN,142,word,Bible|Book|Christian Bible|countersign|discussion|give-and-take|Good Book|Holy Scripture|Holy Writ|intelligence|Logos|news|parole|password|Scripture|Son|tidings|watchword|word|Word|Word of God|word of honor,language unit|linguistic unit|statement|information|info|order|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|promise|computer memory unit|positive identification|secret|arcanum|sacred text|sacred writing|religious writing|religious text,S0020025508004520,S0020025508004520_142
frequency,frequency,NOUN,142,frequenc,absolute frequency|frequence|frequency|oftenness|relative frequency,rate|ratio|cardinal number|cardinal,S0020025508004520,S0020025508004520_142
vectors,vector,NOUN,142,vector,transmitter|vector,variable|variable quantity|straight line|agent|virus,S0020025508004520,S0020025508004520_142
therefore,therefore,ADV,21,therefor,consequently|hence|so|thence|therefore|thus,NA,S0020025514004137,S0020025514004137_21
based,base,VERB,21,base,base|establish|found|free-base|ground,situate|locate|drug|do drugs,S0020025514004137,S0020025514004137_21
knowledge,knowledge,NOUN,21,knowledg,cognition|knowledge|noesis,psychological feature,S0020025514004137,S0020025514004137_21
performance,performance,NOUN,21,perform,carrying into action|carrying out|execution|functioning|operation|performance|public presentation,show|presentation|presentment|demonstration|action|accomplishment|achievement|process|physical process,S0020025514004137,S0020025514004137_21
system,system,NOUN,21,system,arrangement|organisation|organization|scheme|system|system of rules,instrumentality|instrumentation|group|grouping|matter|method|structure|body part|plan of action|live body|orderliness|methodicalness,S0020025514004137,S0020025514004137_21
analyzed,analyze,VERB,21,analyz,analyse|analyze|break down|canvass|dissect|examine|psychoanalyse|psychoanalyze|study|take apart,treat|care for,S0020025514004137,S0020025514004137_21
evaluated,evaluate,VERB,21,evalu,appraise|assess|evaluate|judge|measure|pass judgment|valuate|value,evaluate|pass judgment|judge|think|cogitate|cerebrate,S0020025514004137,S0020025514004137_21
effectively,effectively,ADV,21,effect,effectively|efficaciously|in effect,NA,S0020025514004137,S0020025514004137_21
assessing,assess,VERB,21,assess,appraise|assess|evaluate|measure|tax|valuate|value,evaluate|pass judgment|judge|charge|bill|determine|set|estimate|gauge|approximate|guess,S0020025514004137,S0020025514004137_21
capability,capability,NOUN,21,capabl,capability|capableness|capacity|potentiality,ability|susceptibility|susceptibleness|aptitude,S0020025514004137,S0020025514004137_21
end,end,NOUN,21,end,close|closing|conclusion|death|destruction|end|ending|goal|last|oddment|remainder|remnant|terminal,extremity|point|point in time|ending|conclusion|finish|content|cognitive content|mental object|part|section|division|state|surface|lineman|boundary|bound|bounds|topographic point|place|spot|contribution|share|subdivision|piece of cloth|piece of material,S0020025514004137,S0020025514004137_21
users,user,NOUN,21,user,drug user|exploiter|substance abuser|user,person|individual|someone|somebody|mortal|soul|selfish person,S0020025514004137,S0020025514004137_21
about,about,ADV,21,about,about|almost|approximately|around|close to|just about|more or less|most|near|nearly|nigh|or so|roughly|some|virtually|well-nigh,NA,S0020025514004137,S0020025514004137_21
underlined,underlin,ADJ,21,underlin,NA,NA,S0020025514004137,S0020025514004137_21
suppose,suppose,VERB,121,suppos,conjecture|guess|hypothecate|hypothesise|hypothesize|imagine|opine|presuppose|reckon|say|speculate|suppose|theorise|theorize|think,speculate|expect|anticipate|assume|presume|take for granted|imply,S0020025514009608,S0020025514009608_121
have,have,VERB,121,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA,S0020025514009608,S0020025514009608_121
calculated,calculate,VERB,121,calcul,account|aim|bank|bet|calculate|cipher|compute|count|count on|cypher|depend|direct|estimate|figure|forecast|look|reckon|rely|swear|work out,reason|evaluate|pass judgment|judge|predict|foretell|prognosticate|call|forebode|anticipate|promise|intend|destine|designate|specify|trust,S0020025514009608,S0020025514009608_121
transient,transient,NOUN,121,transient,transient,traveler|traveller|oscillation|vibration,S0020025514009608,S0020025514009608_121
length,length,NOUN,121,length,distance|duration|length,fundamental quantity|fundamental measure|physical property|dimension|temporal property|extent|size|section|segment,S0020025514009608,S0020025514009608_121
