token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
network,network,NOUN,14,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_14
nodes,node,NOUN,14,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_14
vertices,vertice,NOUN,14,vertic,NA,NA,S0020025508004520,S0020025508004520_14
represent,represent,VERB,14,repres,act|be|comprise|constitute|correspond|defend|exemplify|interpret|lay out|make up|map|play|present|represent|stage|stand for|symbolise|symbolize|typify,equal|be|mean|intend|serve|express|verbalize|verbalise|utter|give tongue to|embody|personify|re-create|describe|depict|draw|remonstrate|point out|state|say|tell|permute|commute|transpose,S0020025508004520,S0020025508004520_14
words,word,NOUN,14,word,Bible|Book|Christian Bible|countersign|discussion|give-and-take|Good Book|Holy Scripture|Holy Writ|intelligence|Logos|news|parole|password|Scripture|Son|tidings|watchword|word|Word|Word of God|word of honor,language unit|linguistic unit|statement|information|info|order|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|promise|computer memory unit|positive identification|secret|arcanum|sacred text|sacred writing|religious writing|religious text,S0020025508004520,S0020025508004520_14
sentences,sentences,NOUN,14,sentenc,NA,NA,S0020025508004520,S0020025508004520_14
paragraphs,paragraph,NOUN,14,paragraph,paragraph,writing|written material|piece of writing,S0020025508004520,S0020025508004520_14
origins,origin,NOUN,20,origin,ancestry|beginning|blood|blood line|bloodline|descent|extraction|inception|line|line of descent|lineage|origin|origination|parentage|pedigree|root|rootage|source|stemma|stock,point|ancestry|lineage|derivation|filiation|beginning|intersection|source|genealogy|family tree,S0020025508004520,S0020025508004520_20
field,field,NOUN,20,field,airfield|area|arena|athletic field|bailiwick|battlefield|battleground|champaign|discipline|domain|field|field of battle|field of force|field of honor|field of operation|field of operations|field of study|field of view|flying field|force field|landing field|line of business|orbit|plain|playing area|playing field|sphere|study|subject|subject area|subject field|theater|theater of operations|theatre|theatre of operations,tract|piece of land|piece of ground|parcel of land|parcel|region|knowledge domain|knowledge base|domain|physical phenomenon|commercial enterprise|business enterprise|business|environment|land|dry land|earth|ground|solid ground|terra firma|set|geographical area|geographic area|geographical region|geographic region|visual percept|visual image|facility|installation,S0020025508004520,S0020025508004520_20
traced,trace,VERB,20,trace,decipher|delineate|describe|draw|follow|hound|hunt|line|retrace|trace,analyze|analyse|study|examine|canvass|mark|return|chase|chase after|trail|tail|tag|give chase|dog|go after|track|detect|observe|find|discover|notice|proceed|go forward|continue|copy|re-create|read,S0020025508004520,S0020025508004520_20
back,back,ADV,20,back,back|backward|backwards|rearward|rearwards,NA,S0020025508004520,S0020025508004520_20
beginning,begin,VERB,20,begin,begin|commence|get|get down|lead off|set about|set out|start|start out,talk|speak|utter|mouth|verbalize|verbalise|be|act|move|achieve|accomplish|attain|reach,S0020025508004520,S0020025508004520_20
graph,graph,NOUN,20,graph,character|chart|graph|grapheme|graphic symbol|graphical record|graphical recording,visual communication|written symbol|printed symbol,S0020025508004520,S0020025508004520_20
theory,theory,NOUN,20,theori,hypothesis|possibility|theory,explanation|concept|conception|construct|belief,S0020025508004520,S0020025508004520_20
passing,pass,NOUN,20,pass,base on balls|bye|crack|fling|flip|go|head|laissez passer|liberty chit|mountain pass|notch|offer|pass|passing|passing game|passing play|passport|qualifying|strait|straits|toss|walk|whirl,accomplishment|achievement|leave|leave of absence|football play|location|permission|flight|flying|situation|juncture|occasion|cycle|oscillation|concession|conceding|yielding|license|licence|permit|ticket|attempt|effort|endeavor|endeavour|try|throw|success,S0020025508004520,S0020025508004520_20
development,development,NOUN,20,develop,developing|development|evolution|exploitation|growing|growth|maturation|ontogenesis|ontogeny,improvement|process|physical process|organic process|biological process|change|alteration|modification|use|usage|utilization|utilisation|employment|exercise|district|territory|territorial dominion|dominion|melioration|processing|section|subdivision,S0020025508004520,S0020025508004520_20
analysis,analysis,NOUN,20,analysi,analysis|analytic thinking|depth psychology|psychoanalysis,investigation|investigating|reasoning|logical thinking|abstract thought|criticism|literary criticism|expressive style|style|calculus|infinitesimal calculus|psychotherapy,S0020025508004520,S0020025508004520_20
sociological,sociological,ADJ,20,sociolog,sociological,NA,S0020025508004520,S0020025508004520_20
experiments,experiment,NOUN,20,experi,experiment|experimentation,scientific research|research project|inquiry|enquiry|research|venture,S0020025508004520,S0020025508004520_20
using,use,VERB,20,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move,S0020025508004520,S0020025508004520_20
graphs,graph,NOUN,20,graph,character|chart|graph|grapheme|graphic symbol|graphical record|graphical recording,visual communication|written symbol|printed symbol,S0020025508004520,S0020025508004520_20
section,section,NOUN,38,section,department|discussion section|division|incision|part|plane section|section|segment|subdivision|surgical incision,writing|written material|piece of writing|music|slice|area|country|part|portion|team|squad|concept|conception|construct|square mile|expanse|surface area|class|form|grade|course|musical organization|musical organisation|musical group|army unit|division|segment|cut|cutting,S0020025508004520,S0020025508004520_38
introduces,introduce,NOUN,38,introduc,NA,NA,S0020025508004520,S0020025508004520_38
network,network,NOUN,38,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_38
representation,representation,NOUN,38,represent,agency|delegacy|histrionics|internal representation|mental representation|representation|theatrical|theatrical performance,content|cognitive content|mental object|creation|cooperation|state|body|statement|performance|public presentation|right|activity,S0020025508004520,S0020025508004520_38
source,source,NOUN,38,sourc,author|beginning|generator|germ|informant|origin|reference|reservoir|root|rootage|seed|source,point|document|written document|papers|inspiration|facility|installation|communicator|maker|shaper|natural process|natural action|action|activity|thing|publication,S0020025508004520,S0020025508004520_38
text,text,NOUN,38,text,school text|schoolbook|text|text edition|textbook|textual matter,matter|passage|book,S0020025508004520,S0020025508004520_38
as,as,ADV,38,a,as|equally|every bit,NA,S0020025508004520,S0020025508004520_38
graph,graph,NOUN,38,graph,character|chart|graph|grapheme|graphic symbol|graphical record|graphical recording,visual communication|written symbol|printed symbol,S0020025508004520,S0020025508004520_38
measurements,measurement,NOUN,38,measur,measure|measurement|measuring|mensuration,activity,S0020025508004520,S0020025508004520_38
chosen,chosen,NOUN,38,chosen,chosen|Chosen|elect,darling|favorite|favourite|pet|dearie|deary|ducky|elite|elite group,S0020025508004520,S0020025508004520_38
generate,generate,VERB,38,gener,beget|bring forth|engender|father|generate|get|give|mother|render|return|sire|yield,make|create|produce,S0020025508004520,S0020025508004520_38
extracts,extract,NOUN,38,extract,excerpt|excerption|extract|infusion|selection,solution|passage,S0020025508004520,S0020025508004520_38
furthermore,furthermore,ADV,70,furthermor,furthermore|moreover|what is more,NA,S0020025508004520,S0020025508004520_70
only,only,ADV,70,onli,alone|but|entirely|exclusively|just|merely|only|only if|only when|simply|solely,NA,S0020025508004520,S0020025508004520_70
lemmatized,lemmatize,VERB,70,lemmat,NA,NA,S0020025508004520,S0020025508004520_70
nouns,noun,NOUN,70,noun,noun,content word|open-class word|substantive|major form class,S0020025508004520,S0020025508004520_70
considered,consider,VERB,70,consid,believe|conceive|consider|count|deal|debate|deliberate|look at|moot|reckon|regard|see|study|take|think|turn over|view|weigh,think|believe|consider|conceive|chew over|think over|meditate|ponder|excogitate|contemplate|muse|reflect|mull|mull over|ruminate|speculate|think about|hash out|discuss|talk over|evaluate|pass judgment|judge|look|analyze|analyse|study|examine|canvass|see|reckon|view|regard,S0020025508004520,S0020025508004520_70
thus,thus,ADV,70,thu,hence|so|thence|therefore|thus|thusly,NA,S0020025508004520,S0020025508004520_70
restricting,restrict,VERB,70,restrict,bound|confine|control|curb|curtail|cut back|limit|restrict|throttle|trammel,limit|circumscribe|confine to|restrict|curtail|curb|cut back|prevent|keep,S0020025508004520,S0020025508004520_70
number,number,NOUN,70,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product,S0020025508004520,S0020025508004520_70
edges,edge,NOUN,70,edg,border|bound|boundary|edge|sharpness,boundary|bound|bounds|line|side|urgency|superiority|favorable position|favourable position|limit|demarcation|demarcation line,S0020025508004520,S0020025508004520_70
network,network,NOUN,70,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_70
highly,highly,ADV,70,highli,extremely|highly,NA,S0020025508004520,S0020025508004520_70
increased,increase,VERB,70,increas,increase,change magnitude|change|alter|modify,S0020025508004520,S0020025508004520_70
other,other,ADJ,70,other,early(a)|former(a)|other|other(a),NA,S0020025508004520,S0020025508004520_70
words,word,NOUN,70,word,Bible|Book|Christian Bible|countersign|discussion|give-and-take|Good Book|Holy Scripture|Holy Writ|intelligence|Logos|news|parole|password|Scripture|Son|tidings|watchword|word|Word|Word of God|word of honor,language unit|linguistic unit|statement|information|info|order|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|promise|computer memory unit|positive identification|secret|arcanum|sacred text|sacred writing|religious writing|religious text,S0020025508004520,S0020025508004520_70
make,make,VERB,70,make,arrive at|attain|bring in|build|ca-ca|cause|clear|constitute|construct|cook|crap|create|defecate|do|draw|earn|establish|fix|form|gain|get|get to|give|have|hit|hold|induce|lay down|make|make believe|make up|make water|micturate|name|nominate|pass water|pee|pee-pee|piddle|piss|prepare|pretend|produce|progress to|puddle|pull in|reach|ready|realise|realize|relieve oneself|score|seduce|shit|spend a penny|stimulate|stool|take|take a crap|take a leak|take a shit|take in|throw|urinate|wee|wee-wee|work,change|alter|modify|make|create|create by mental act|create mentally|cause|do|get|acquire|constitute|represent|make up|comprise|be|achieve|accomplish|attain|reach|become|create from raw material|create from raw stuff|perform|execute|act|behave|appoint|charge|score|hit|tally|rack up|perpetrate|commit|pull|assemble|gather|get together|direct|tidy|tidy up|clean up|neaten|straighten|straighten out|square away|head|excrete|egest|eliminate|pass|total|number|add up|come|amount|look|appear|seem|arrive at|gain|persuade|guarantee|ensure|insure|assure|secure|play|see|consider|reckon|view|regard|estimate|gauge|approximate|guess|judge|develop|grow,S0020025508004520,S0020025508004520_70
more,more,ADJ,70,more,more than|more(a),NA,S0020025508004520,S0020025508004520_70
difficult,difficult,ADJ,70,difficult,difficult|hard|unmanageable,NA,S0020025508004520,S0020025508004520_70
select,select,VERB,70,select,choose|pick out|select|take,decide|make up one's mind|determine,S0020025508004520,S0020025508004520_70
group,group,NOUN,70,group,chemical group|group|grouping|mathematical group|radical,abstraction|abstract entity|unit|building block|set,S0020025508004520,S0020025508004520_70
sentences,sentences,NOUN,70,sentenc,NA,NA,S0020025508004520,S0020025508004520_70
matrices,matrice,NOUN,84,matric,NA,NA,S0020025508004520,S0020025508004520_84
respectively,respectivly,ADV,84,respectivli,NA,NA,S0020025508004520,S0020025508004520_84
called,call,VERB,84,call,address|anticipate|be known as|bid|call|call in|call off|call up|cry|forebode|foretell|holler|hollo|know as|name|phone|predict|prognosticate|promise|ring|scream|send for|shout|shout out|squall|telephone|visit|yell,label|telecommunicate|utter|emit|let out|let loose|order|tell|enjoin|say|meet|get together|request|ask for|bespeak|call for|quest|read|postpone|prorogue|hold over|put over|table|shelve|set back|defer|remit|put off|address|turn to|stop|stop over|demand|exact|play|indicate|guess|venture|pretend|hazard|ask|require|expect|challenge|dispute|gainsay|declare|adjudge|hold|entice|lure|tempt|see|consider|reckon|view|regard|awaken|wake|waken|rouse|wake up|arouse,S0020025508004520,S0020025508004520_84
used,use,VERB,84,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move,S0020025508004520,S0020025508004520_84
