token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
first,first,ADV,91,first,first|first of all|first off|firstly|foremost,NA,S0020025508004520,S0020025508004520_91
summarization,summarization,NOUN,91,summar,summarisation|summarization,report|account,S0020025508004520,S0020025508004520_91
strategy,strategy,NOUN,91,strategi,scheme|strategy,plan of action|military science,S0020025508004520,S0020025508004520_91
try,try,VERB,91,try,adjudicate|assay|attempt|essay|examine|hear|judge|prove|render|sample|seek|strain|stress|taste|test|try|try on|try out,act|move|evaluate|pass judgment|judge|decide|make up one's mind|determine|consume|ingest|take in|take|have|probe|examine|pain|anguish|hurt|afflict|melt|run|melt down|wear|put on|get into|don|assume,S0020025508004520,S0020025508004520_91
identify,identify,VERB,91,identifi,describe|discover|distinguish|identify|key|key out|name|place,determine|set|denote|refer|see|consider|reckon|view|regard|associate|tie in|relate|link|colligate|link up|connect|recognize|recognise,S0020025508004520,S0020025508004520_91
informative,informative,ADJ,91,inform,enlightening|illuminating|informative|informatory|instructive,NA,S0020025508004520,S0020025508004520_91
nodes,node,NOUN,91,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_91
using,use,VERB,91,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move,S0020025508004520,S0020025508004520_91
number,number,NOUN,91,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product,S0020025508004520,S0020025508004520_91
sentences,sentences,NOUN,91,sentenc,NA,NA,S0020025508004520,S0020025508004520_91
node,node,NOUN,91,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_91
connected,connect,VERB,91,connect,associate|colligate|connect|get in touch|join|link|link up|plug in|plug into|relate|tie|tie in|touch base|unite,think|cogitate|cerebrate|join|hit|strike|impinge on|run into|collide with|be|relate|interact|insert|infix|enter|introduce,S0020025508004520,S0020025508004520_91
degree,degree,NOUN,91,degre,academic degree|arcdegree|degree|grade|level|point|stage,property|state|award|accolade|honor|honour|laurels|angular unit|exponent|power|index|temperature unit|magnitude,S0020025508004520,S0020025508004520_91
d,would,PROPN,108,would,NA,NA,S0020025508004520,S0020025508004520_108
ring,ring,NOUN,108,ring,anchor ring|annulus|band|closed chain|doughnut|gang|halo|hoop|mob|pack|ring|ringing|tintinnabulation,sound|toroid|band|chain|chemical chain|association|platform|jewelry|jewellery|strip|slip,S0020025508004520,S0020025508004520_108
subgraph,subgraph,NOUN,108,subgraph,NA,NA,S0020025508004520,S0020025508004520_108
generated,generate,VERB,108,gener,beget|bring forth|engender|father|generate|get|give|mother|render|return|sire|yield,make|create|produce,S0020025508004520,S0020025508004520_108
morphological,morphological,ADJ,108,morpholog,geomorphologic|geomorphological|morphologic|morphological|structural,NA,S0020025508004520,S0020025508004520_108
operation,operation,NOUN,108,oper,cognitive operation|cognitive process|functioning|mathematical operation|mathematical process|mental process|military operation|operation|performance|procedure|process|surgery|surgical operation|surgical procedure|surgical process,action|activity|activeness|business activity|commercial activity|data processing|medical procedure|work|process|physical process|cognition|knowledge|noesis|calculation|computation|computing,S0020025508004520,S0020025508004520_108
dilation,dilation,NOUN,108,dilat,dilatation|dilation,discussion|treatment|discourse|expansion|enlargement,S0020025508004520,S0020025508004520_108
first,first,ADV,111,first,first|first of all|first off|firstly|foremost,NA,S0020025508004520,S0020025508004520_111
level,level,NOUN,111,level,degree|floor|grade|horizontal surface|layer|level|point|spirit level|stage|storey|story|stratum|tier,property|rank|state|altitude|height|indicator|surface|place|structure|construction,S0020025508004520,S0020025508004520_111
neighborhood,neighborhood,NOUN,111,neighborhood,locality|neck of the woods|neighborhood|neighbourhood|region|vicinity,section|community|indefinite quantity|area|country,S0020025508004520,S0020025508004520_111
node,node,NOUN,111,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_111
ki,ki,NOUN,111,ki,ch'i|chi|ki|Ki|qi,energy|vim|vitality,S0020025508004520,S0020025508004520_111
only,only,ADV,111,onli,alone|but|entirely|exclusively|just|merely|only|only if|only when|simply|solely,NA,S0020025508004520,S0020025508004520_111
nodes,node,NOUN,111,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_111
