token,lemma,upos,clique,stem,synonyms,hypernyms
last,last,ADJ,1,last,concluding|final|last|last-place|last(a)|lowest|net|terminal|utmost,
decades,decade,NOUN,1,decad,10|decade|decennary|decennium|ten|tenner|X,time period|period of time|period|large integer
emergence,emergence,NOUN,1,emerg,egress|egression|emergence|emersion|growth|issue|outgrowth,beginning|appearance|act|deed|human action|human activity
different,different,ADJ,1,differ,different,
types,type,NOUN,1,type,case|character|eccentric|type,kind|sort|form|variety|adult|grownup|taxonomic group|taxonomic category|taxon|character|graph|grapheme|graphic symbol|symbol|block
models,models,NOUN,1,model,,NA
networks,network,NOUN,1,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
modeling,modeling,NOUN,1,model,clay sculpture|model|modeling|modelling|mold|molding|mould|moulding,sculpture|carving|representation
interactions,interaction,NOUN,1,interact,fundamental interaction|interaction,action|physical phenomenon
parts,part,NOUN,1,part,character|component|component part|constituent|contribution|division|function|office|part|parting|percentage|persona|piece|portion|region|role|section|share|theatrical role|voice,relation|object|physical object|thing|concern|location|duty|portrayal|characterization|enactment|personation|assets|concept|conception|construct|line|tune|melody|air|strain|melodic line|melodic phrase|attempt|effort|endeavor|endeavour|try|item
complex,complex,NOUN,1,complex,building complex|complex|composite|coordination compound,whole|compound|chemical compound|feeling|structure|construction
system,system,NOUN,1,system,arrangement|organisation|organization|scheme|system|system of rules,instrumentality|instrumentation|group|grouping|matter|method|structure|body part|plan of action|live body|orderliness|methodicalness
popular,popular,ADJ,1,popular,democratic|pop|popular,
known,know,VERB,1,know,acknowledge|bang|be intimate|bed|bonk|cognise|cognize|do it|eff|experience|fuck|get it on|get laid|have a go at it|have intercourse|have it away|have it off|have sex|hump|jazz|know|lie with|live|love|make love|make out|recognise|recognize|roll in the hay|screw|sleep together|sleep with,experience|see|go through|accept|copulate|mate|pair|couple|recognize|recognise|realize|realise|agnize|agnise|distinguish|separate|differentiate|secern|secernate|severalize|severalise|tell|tell apart|remember|retrieve|recall|call back|call up|recollect|think
fact,fact,NOUN,1,fact,fact,information|info|reality|realness|realism|concept|conception|construct
virtually,virtually,ADV,1,virtual,about|almost|most|near|nearly|nigh|virtually|well-nigh,NA
areas,area,NOUN,1,area,area|arena|country|domain|expanse|field|orbit|region|sphere|surface area,region|topic|subject|issue|matter|body part|environment|structure|construction|extent
knowledge,knowledge,NOUN,1,knowledg,cognition|knowledge|noesis,psychological feature
have,have,VERB,1,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
benefited,benefit,VERB,1,benefit,benefit|do good|gain|profit,get|acquire|help|aid
advances,advance,NOUN,1,advanc,advance|advancement|approach|betterment|cash advance|feeler|forward motion|improvement|onward motion|overture|procession|progress|progression|rise,change of location|travel|transformation|transmutation|shift|suggestion|proposition|proffer|motion|movement|move|sum|sum of money|amount|amount of money|increase|step-up
study,study,NOUN,1,studi,bailiwick|cogitation|discipline|field|field of study|report|sketch|study|subject|subject area|subject field|survey|work|written report,examination|scrutiny|learning|acquisition|document|written document|papers|concentration|engrossment|absorption|immersion|room|knowledge domain|knowledge base|domain|drawing|contemplation|reflection|reflexion|rumination|musing|thoughtfulness|memorizer|memoriser|musical composition|opus|composition|piece|piece of music
complex,complex,NOUN,2,complex,building complex|complex|composite|coordination compound,whole|compound|chemical compound|feeling|structure|construction
networks,network,NOUN,2,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
have,have,VERB,2,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
emerged,emerge,VERB,2,emerg,come forth|come out|egress|emerge|go forth|issue,appear|surface|come up|rise up|rise|originate|arise|develop|uprise|spring up|grow
as,as,ADV,2,a,as|equally|every bit,
indispensable,indispensable,ADJ,2,indispens,essential|indispensable,
tool,tool,NOUN,2,tool,cock|creature|dick|instrument|pecker|prick|puppet|putz|shaft|tool,implement|means|agency|way|slave|penis|phallus|member
simulating,simulat,VERB,2,simulat,,NA
interactions,interaction,NOUN,2,interact,fundamental interaction|interaction,action|physical phenomenon
relationships,relationship,NOUN,2,relationship,family relationship|human relationship|kinship|relationship,relation|state
components,component,NOUN,2,compon,component|component part|constituent|element|factor|ingredient|part|portion,part|section|division|relation|portion
