token,lemma,upos,clique,stem,synonyms,hypernyms
driven,drive,VERB,1,drive,aim|beat back|drive|force|force back|get|labor|labour|motor|push|push back|ram|repel|repulse|ride|take|tug,operate|control|travel|go|move|locomote|transport|carry|displace|thrust|coerce|hale|squeeze|pressure|force|push|make|propel|impel|throw|fight|struggle|mean|intend|work|do work|drive|traverse|track|cover|cross|pass over|get over|get across|cut through|cut across|hit|excavate|dig|hollow|power|hunt|run|hunt down|track down
rapid,rapid,ADJ,1,rapid,rapid|speedy,
development,development,NOUN,1,develop,developing|development|evolution|exploitation|growing|growth|maturation|ontogenesis|ontogeny,improvement|process|physical process|organic process|biological process|change|alteration|modification|use|usage|utilization|utilisation|employment|exercise|district|territory|territorial dominion|dominion|melioration|processing|section|subdivision
earth,earth,NOUN,1,earth,dry land|earth|Earth|earthly concern|globe|ground|land|solid ground|terra firma|world|worldly concern,material|stuff|object|physical object|location|element|concern|connection|connexion|connector|connecter|connective
observation,observation,NOUN,1,observ,notice|observance|observation|reflection|reflexion|watching,measurement|measuring|measure|mensuration|look|looking|looking at|remark|comment|input|fact|attention|attending
technology,technology,NOUN,1,technologi,applied science|engineering|engineering science|technology,application|practical application|discipline|subject|subject area|subject field|field|field of study|study|bailiwick|machinery|equipment
massive,massive,ADJ,1,massiv,massive|monolithic|monumental,
numbers,number,NOUN,1,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product
remotely,remotely,ADV,1,remot,remotely,NA
sensed,sense,VERB,1,sens,feel|sense|smell|smell out,perceive|comprehend|detect|observe|find|discover|notice|understand
images,image,NOUN,1,imag,double|effigy|epitome|figure|figure of speech|icon|ikon|image|look-alike|mental image|paradigm|persona|picture|prototype|range|range of a function|simulacrum|trope,representation|mental representation|internal representation|appearance|visual aspect|model|example|rhetorical device|person|individual|someone|somebody|mortal|soul|set|impression|effect
fine,fine,ADJ,1,fine,all right|cool|fine|hunky-dory|o.k.|ok|okay,
