token,lemma,upos,clique,stem,synonyms,hypernyms
intensification,intensification,NOUN,1,intensif,intensification,increase|step-up|increase|step-up
research,research,NOUN,1,research,enquiry|inquiry|research,investigation|investigating|problem solving
development,development,NOUN,1,develop,developing|development|evolution|exploitation|growing|growth|maturation|ontogenesis|ontogeny,improvement|process|physical process|organic process|biological process|change|alteration|modification|use|usage|utilization|utilisation|employment|exercise|district|territory|territorial dominion|dominion|melioration|processing|section|subdivision
activities,activity,NOUN,1,activ,action|activeness|activity|bodily function|bodily process|body process|natural action|natural process,act|deed|human action|human activity|state|organic process|biological process|capability|capacity|process|physical process|trait
as,as,ADV,1,a,as|equally|every bit,
consequence,consequence,NOUN,1,consequ,aftermath|consequence|effect|event|import|issue|moment|outcome|result|upshot,phenomenon|result|resultant|final result|outcome|termination|significance
knowledge,knowledge,NOUN,1,knowledg,cognition|knowledge|noesis,psychological feature
explosion,explosion,NOUN,1,explos,blowup|burst|detonation|explosion|plosion,discharge|change of integrity|increase|noise|release|tone ending|effusion|gush|outburst|blowup|ebullition|golf stroke|golf shot|swing
demands,demand,NOUN,1,demand,demand|need|requirement,request|petition|postulation|economic process|duty|responsibility|obligation|activity|condition|status
professionalization,professionalization,NOUN,1,profession,professionalisation|professionalization,social process
most,most,ADJ,1,most,most(a),
aspects,aspect,NOUN,1,aspect,aspect|expression|face|facet|facial expression|look|panorama|prospect|scene|view|vista,feature|characteristic|visual percept|visual image|grammatical relation|countenance|visage
related,relate,ADJ,1,relat,,NA
such,such,ADJ,1,such,such(a),
knowledge,knowledge,NOUN,2,knowledg,cognition|knowledge|noesis,psychological feature
explosion,explosion,NOUN,2,explos,blowup|burst|detonation|explosion|plosion,discharge|change of integrity|increase|noise|release|tone ending|effusion|gush|outburst|blowup|ebullition|golf stroke|golf shot|swing
also,also,ADV,2,also,also|as well|besides|likewise|too,NA
ensued,ensue,VERB,2,ensu,ensue|result,prove|turn out|turn up
rise,rise,NOUN,2,rise,acclivity|advance|ascending|ascension|ascent|boost|climb|cost increase|emanation|hike|lift|procession|raise|rise|rising|rising slope|salary increase|upgrade|wage hike|wage increase,emergence|outgrowth|growth|motion|movement|move|slope|incline|side|change of location|travel|increase|increment|grade|wave|moving ridge|origin|origination|inception|step-up
many,many,ADJ,2,mani,many,
research,research,NOUN,2,research,enquiry|inquiry|research,investigation|investigating|problem solving
fields,field,NOUN,2,field,airfield|area|arena|athletic field|bailiwick|battlefield|battleground|champaign|discipline|domain|field|field of battle|field of force|field of honor|field of operation|field of operations|field of study|field of view|flying field|force field|landing field|line of business|orbit|plain|playing area|playing field|sphere|study|subject|subject area|subject field|theater|theater of operations|theatre|theatre of operations,tract|piece of land|piece of ground|parcel of land|parcel|region|knowledge domain|knowledge base|domain|physical phenomenon|commercial enterprise|business enterprise|business|environment|land|dry land|earth|ground|solid ground|terra firma|set|geographical area|geographic area|geographical region|geographic region|visual percept|visual image|facility|installation
including,include,VERB,2,includ,admit|include|let in,see|consider|reckon|view|regard|add|permit|allow|let|countenance
several,several,ADJ,2,sever,respective(a)|several(a)|several(p)|various(a),
