token,lemma,upos,clique,stem,synonyms,hypernyms
underground,underground,ADJ,1,underground,belowground|clandestine|cloak-and-dagger|hole-and-corner(a)|hugger-mugger|hush-hush|secret|surreptitious|undercover|underground,
coal,coal,NOUN,1,coal,coal|ember,fossil fuel|vegetable matter|fragment
mining,mining,NOUN,1,mine,excavation|minelaying|mining,production|defense|defence|defensive measure
considered,consider,VERB,1,consid,believe|conceive|consider|count|deal|debate|deliberate|look at|moot|reckon|regard|see|study|take|think|turn over|view|weigh,think|believe|consider|conceive|chew over|think over|meditate|ponder|excogitate|contemplate|muse|reflect|mull|mull over|ruminate|speculate|think about|hash out|discuss|talk over|evaluate|pass judgment|judge|look|analyze|analyse|study|examine|canvass|see|reckon|view|regard
most,most,ADJ,1,most,most(a),
dangerous,dangerous,ADJ,1,danger,dangerous|grave|grievous|life-threatening|serious|severe|unsafe,
operations,operation,NOUN,1,oper,cognitive operation|cognitive process|functioning|mathematical operation|mathematical process|mental process|military operation|operation|performance|procedure|process|surgery|surgical operation|surgical procedure|surgical process,action|activity|activeness|business activity|commercial activity|data processing|medical procedure|work|process|physical process|cognition|knowledge|noesis|calculation|computation|computing
worldwide,worldwide,ADV,1,worldwid,,NA
liu,liu,NOUN,1,liu,,NA
c,class,NOUN,1,class,category|class|course|course of instruction|course of study|division|family|form|grade|social class|socio-economic class|stratum|year,collection|aggregation|accumulation|assemblage|gathering|people|education|instruction|teaching|pedagogy|didactics|educational activity|league|conference|taxonomic group|taxonomic category|taxon|elegance
nieto,nietoo,NOUN,1,nietoo,,NA
china,china,NOUN,2,china,Cathay|china|China|chinaware|Communist China|mainland China|Nationalist China|People's Republic of China|PRC|Red China|Republic of China|Taiwan,porcelain|crockery|dishware
particular,particular,ADJ,2,particular,especial(a)|exceptional|finical|finicky|fussy|particular|particular(a)|peculiar(a)|picky|special|special(a),
there,there,ADV,2,there,there|thither,NA
appalling,appall,VERB,2,appal,alarm|appal|appall|dismay|horrify|offend|outrage|scandalise|scandalize|shock,disgust|revolt|nauseate|sicken|churn up|frighten|fright|scare|affright
record,record,NOUN,2,record,book|criminal record|disc|disk|phonograph record|phonograph recording|platter|record|record book|track record,evidence|sound recording|audio recording|audio|number|accomplishment|achievement|fact|attainment|document|list|listing
fatalities,fatality,NOUN,2,fatal,fatality|human death,death|decease|expiry|deadliness|lethality
coal,coal,NOUN,2,coal,coal|ember,fossil fuel|vegetable matter|fragment
mining,mining,NOUN,2,mine,excavation|minelaying|mining,production|defense|defence|defensive measure
industry,industry,NOUN,2,industri,diligence|industriousness|industry|manufacture,commercial enterprise|business enterprise|business|determination|purpose
ranking,rank,NOUN,2,rank,membership|rank|rank and file|social rank|social station|social status,line|status|position|force|personnel|body
as,as,ADV,2,a,as|equally|every bit,
third,third,ADJ,2,third,3rd|tertiary|third,
worst,worst,ADJ,2,worst,worst,
producer,producer,NOUN,2,produc,manufacturer|producer,maker|shaper|creator|cause
regarding,regard,VERB,2,regard,affect|consider|involve|reckon|regard|see|view,think|believe|consider|conceive|look|refer|pertain|relate|concern|come to|bear on|touch|touch on|have to do with
underperformance,underperformance,NOUN,2,underperform,,NA
safety,safety,NOUN,2,safeti,base hit|condom|guard|prophylactic|refuge|rubber|safe|safety|safety device,condition|status|area|country|device|hit|contraceptive|preventive|preventative|contraceptive device|prophylactic device|birth control device|score
liu,liu,NOUN,2,liu,,NA
number,number,NOUN,3,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product
coal,coal,NOUN,3,coal,coal|ember,fossil fuel|vegetable matter|fragment
