token,lemma,upos,clique,stem,synonyms,hypernyms
many,many,ADJ,1,mani,many,
systems,systems,NOUN,1,system,,NA
studied,study,VERB,1,studi,analyse|analyze|canvass|consider|contemplate|examine|hit the books|learn|meditate|read|study|take,chew over|think over|meditate|ponder|excogitate|contemplate|muse|reflect|mull|mull over|ruminate|speculate|learn|larn|acquire|think|cogitate|cerebrate
contemporary,contemporary,ADJ,1,contemporari,contemporaneous|contemporary|modern-day|present-day(a),
science,science,NOUN,1,scienc,science|scientific discipline|skill,discipline|subject|subject area|subject field|field|field of study|study|bailiwick|ability|power
standpoint,standpoint,NOUN,1,standpoint,point of view|stand|standpoint|viewpoint,position|stance|posture
structure,structure,NOUN,1,structur,anatomical structure|bodily structure|body structure|complex body part|construction|social organisation|social organization|social structure|social system|structure,artifact|artefact|constitution|composition|physical composition|makeup|make-up|cognition|knowledge|noesis|body part|system|scheme
viewed,viewed,VERB,1,view,,NA
as,as,ADV,1,a,as|equally|every bit,
ensembles,ensemble,NOUN,1,ensembl,corps de ballet|ensemble|supporting players|tout ensemble,musical organization|musical organisation|musical group|cast|cast of characters|dramatis personae|chorus|chorus line|collection|aggregation|accumulation|assemblage|outfit|getup|rig|turnout
large,large,ADJ,1,larg,big|big(p)|bombastic|declamatory|enceinte|expectant|gravid|great(p)|heavy(p)|large|large(p)|magnanimous|orotund|prominent|tumid|turgid|with child(p),
number,number,NOUN,1,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product
elements,element,NOUN,1,element,chemical element|component|constituent|element|factor|ingredient,part|section|division|portion|substance|environment|environs|surroundings|surround|situation|state of affairs|straight line
interacting,interact,VERB,1,interact,interact,act|move
other,other,ADJ,1,other,early(a)|former(a)|other|other(a),
such,such,ADJ,2,such,such(a),
systems,systems,NOUN,2,system,,NA
often,often,ADV,2,often,a great deal|frequently|much|oft|often|oftentimes|ofttimes,NA
conveniently,conveniently,ADV,2,conveni,conveniently|handily,
represented,represent,VERB,2,repres,act|be|comprise|constitute|correspond|defend|exemplify|interpret|lay out|make up|map|play|present|represent|stage|stand for|symbolise|symbolize|typify,equal|be|mean|intend|serve|express|verbalize|verbalise|utter|give tongue to|embody|personify|re-create|describe|depict|draw|remonstrate|point out|state|say|tell|permute|commute|transpose
networks,network,NOUN,2,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
consisting,consist,VERB,2,consist,comprise|consist|dwell|lie|lie in,exist|be|match|fit|correspond|check|jibe|gibe|tally|agree
nodes,node,NOUN,2,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system
links,link,NOUN,2,link,connectedness|connection|connexion|contact|data link|inter-group communication|liaison|link|linkup|nexus|radio link|tie|tie-in,linkage|fastener|fastening|holdfast|fixing|union|unification|shape|form|linear unit|linear measure|instruction|command|statement|program line|channel|communication channel|line|communication system|circuit|electrical circuit|electric circuit
as,as,ADV,3,a,as|equally|every bit,
