token,lemma,upos,clique,stem,synonyms,hypernyms
chemical,chemical,ADJ,1,chemic,chemic|chemical,
biochemical,biochemical,ADJ,1,biochem,biochemical,
systems,systems,NOUN,1,system,,NA
typically,typically,ADV,1,typic,typically,
composed,compose,VERB,1,compos,compile|compose|draw up|frame|indite|pen|write,constitute|represent|make up|comprise|be|make|create|create verbally|calm|calm down|quiet|tranquilize|tranquillize|tranquillise|quieten|lull|still|plan
large,large,ADJ,1,larg,big|big(p)|bombastic|declamatory|enceinte|expectant|gravid|great(p)|heavy(p)|large|large(p)|magnanimous|orotund|prominent|tumid|turgid|with child(p),
number,number,NOUN,1,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product
several,several,ADJ,1,sever,respective(a)|several(a)|several(p)|various(a),
hundreds,hundred,NOUN,1,hundr,100|C|century|hundred|one C,large integer
thousands,thousand,NOUN,1,thousand,1000|chiliad|G|grand|K|M|one thousand|thou|thousand|yard,large integer
species,species,NOUN,1,speci,species,taxonomic group|taxonomic category|taxon|kind|sort|form|variety
interrelated,interrelate,ADJ,1,interrel,,NA
complex,complex,NOUN,1,complex,building complex|complex|composite|coordination compound,whole|compound|chemical compound|feeling|structure|construction
network,network,NOUN,1,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
reactions,reaction,NOUN,1,reaction,chemical reaction|reaction|response,chemical process|chemical change|chemical action|idea|thought|bodily process|body process|bodily function|activity|force|response|conservatism|conservativism|resistance|opposition
computational,computational,ADJ,2,comput,computational,
tools,tool,NOUN,2,tool,cock|creature|dick|instrument|pecker|prick|puppet|putz|shaft|tool,implement|means|agency|way|slave|penis|phallus|member
techniques,techniques,NOUN,2,techniqu,,NA
therefore,therefore,ADV,2,therefor,consequently|hence|so|thence|therefore|thus,NA
necessary,necessary,ADJ,2,necessari,necessary,
construct,construct,NOUN,2,construct,concept|conception|construct,idea|thought
model,model,NOUN,2,model,example|exemplar|fashion model|framework|good example|manakin|manikin|mannequin|mannikin|model|modeling|modelling|poser|role model|simulation|theoretical account,hypothesis|possibility|theory|kind|sort|form|variety|assistant|helper|help|supporter|representation|ideal|leader|mental representation|internal representation
elucidate,elucidate,NOUN,2,elucid,,NA
transformations,transformation,NOUN,2,transform,shift|transformation|translation|transmutation,change|alteration|modification|function|mathematical function|single-valued function|map|mapping|grammatical rule|rule of grammar|change of integrity
occurring,occur,VERB,2,occur,come|come about|fall out|go on|hap|happen|occur|pass|pass off|take place,become|appear|come along
such,such,ADJ,2,such,such(a),
networks,network,NOUN,2,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
broadbelt,broadbelt,NOUN,2,broadbelt,,NA
pfaendtner,pfaendtner,NOUN,2,pfaendtner,,NA
end,end,NOUN,3,end,close|closing|conclusion|death|destruction|end|ending|goal|last|oddment|remainder|remnant|terminal,extremity|point|point in time|ending|conclusion|finish|content|cognitive content|mental object|part|section|division|state|surface|lineman|boundary|bound|bounds|topographic point|place|spot|contribution|share|subdivision|piece of cloth|piece of material
automated,automate,ADJ,3,autom,,NA
network,network,NOUN,3,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
generators,generator,NOUN,3,gener,author|generator|source,apparatus|setup|engine|maker|shaper|electronic device
have,have,VERB,3,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
commonly,commonly,ADV,3,commonli,commonly|normally|ordinarily|unremarkably|usually,
applied,apply,VERB,3,appli,apply|employ|enforce|give|go for|hold|implement|lend oneself|practice|put on|use|utilise|utilize,refer|pertain|relate|concern|come to|bear on|touch|touch on|have to do with|request|ask for|bespeak|call for|quest|cover|distribute|administer|mete out|deal|parcel out|lot|dispense|shell out|deal out|dish out|allot|dole out|compel|oblige|obligate|denote|give|dedicate|consecrate|commit|devote
construction,construction,NOUN,3,construct,building|construction|expression|grammatical construction|mental synthesis|structure|twist,creating from raw materials|constituent|grammatical constituent|thinking|thought|thought process|cerebration|intellection|mentation|artifact|artefact|mathematical process|mathematical operation|operation|interpretation|commercial enterprise|business enterprise|business
subsequent,subsequent,ADJ,3,subsequ,subsequent,
