token,lemma,upos,clique,stem,synonyms,hypernyms
decades,decade,NOUN,1,decad,10|decade|decennary|decennium|ten|tenner|X,time period|period of time|period|large integer
adopting,adopt,VERB,1,adopt,acquire|adopt|assume|borrow|dramatise|dramatize|embrace|espouse|follow|sweep up|take|take in|take on|take over|take up,choose|take|select|pick out|accept|have|take office|change|write|compose|pen|indite
enterprise,enterprise,NOUN,1,enterpris,endeavor|endeavour|enterprise|enterprisingness|go-ahead|initiative,undertaking|project|task|labor|organization|organisation|drive
resource,resource,NOUN,1,resourc,imagination|resource|resourcefulness,assets|asset|plus|inventiveness|ingeniousness|ingenuity|cleverness
planning,plan,NOUN,1,plan,architectural plan|design|plan|program|programme,idea|thought|arrangement|organization|organisation|system|drawing
system,system,NOUN,1,system,arrangement|organisation|organization|scheme|system|system of rules,instrumentality|instrumentation|group|grouping|matter|method|structure|body part|plan of action|live body|orderliness|methodicalness
has,have,VERB,1,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
promised,promise,VERB,1,promis,anticipate|assure|call|forebode|foretell|predict|prognosticate|promise,declare|guess|venture|pretend|hazard|be
way,way,NOUN,1,wai,agency|direction|elbow room|fashion|manner|means|mode|path|room|style|way|way of life,property|implementation|effectuation|path|route|itinerary|condition|status|course|course of action|artifact|artefact|journey|journeying|position|spatial relation|distance|choice|pick|selection|category|share|portion|part|percentage
corporation,corporation,NOUN,1,corpor,bay window|corp|corporation|pot|potbelly|tummy,firm|house|business firm|belly|paunch
gain,gain,VERB,1,gain,acquire|advance|arrive at|attain|benefit|bring in|clear|derive|earn|gain|gain ground|gather|get ahead|hit|make|make headway|profit|pull ahead|pull in|put on|reach|realise|realize|take in|win,obtain|get|acquire|wax|mount|climb|rise|increase|change state|turn
competition,competition,NOUN,1,competit,challenger|competition|competitor|contender|contention|contest|rival|rivalry,business relation|social event|group action|contestant
advantages,advantages,NOUN,1,advantag,,NA
world,world,NOUN,1,world,cosmos|creation|domain|earth|Earth|earthly concern|existence|globe|human beings|human race|humanity|humankind|humans|macrocosm|man|mankind|populace|public|reality|universe|world|worldly concern,natural object|class|stratum|social class|socio-economic class|experience|people|part|piece|concern|homo|man|human being|human|group|grouping
however,however,ADV,2,howev,all the same|at the same time|even so|however|nevertheless|nonetheless|notwithstanding|still|withal|yet,NA
performance,performance,NOUN,2,perform,carrying into action|carrying out|execution|functioning|operation|performance|public presentation,show|presentation|presentment|demonstration|action|accomplishment|achievement|process|physical process
system,system,NOUN,2,system,arrangement|organisation|organization|scheme|system|system of rules,instrumentality|instrumentation|group|grouping|matter|method|structure|body part|plan of action|live body|orderliness|methodicalness
easily,easily,ADV,2,easili,easily|easy|well,NA
identified,identify,VERB,2,identifi,describe|discover|distinguish|identify|key|key out|name|place,determine|set|denote|refer|see|consider|reckon|view|regard|associate|tie in|relate|link|colligate|link up|connect|recognize|recognise
volatility,volatility,NOUN,3,volatil,excitability|excitableness|unpredictability|volatility,chemical property|irresoluteness|irresolution|emotionality|emotionalism
internal,internal,ADJ,3,intern,home(a)|inner|interior|interior(a)|internal|intimate|intragroup|national,
factors,factor,NOUN,3,factor,agent|broker|cistron|component|constituent|divisor|element|factor|gene|ingredient,cause|part|section|division|integer|whole number|businessperson|bourgeois|number|independent variable|experimental variable|sequence
external,external,ADJ,3,extern,external|extraneous|international|outside|outside(a),
environment,environment,NOUN,3,environ,environment|environs|surround|surroundings,situation|state of affairs|geographical area|geographic area|geographical region|geographic region
other,other,ADJ,4,other,early(a)|former(a)|other|other(a),
hand,hand,NOUN,4,hand,bridge player|deal|hand|handwriting|helping hand|hired hand|hired man|manus|mitt|paw|script,extremity|laborer|manual laborer|labourer|jack|writing|ability|power|side|collection|aggregation|accumulation|assemblage|pointer|handbreadth|handsbreadth|sailor|crewman|card player|applause|hand clapping|clapping|forepaw|aid|assist|assistance|help
major,major,ADJ,4,major,major|major(ip),
