token,lemma,upos,clique,stem,synonyms,hypernyms
automatic,automatic,ADJ,1,automat,automatic|automatonlike|machinelike|reflex(a)|reflexive|robotic|robotlike,
text,text,NOUN,1,text,school text|schoolbook|text|text edition|textbook|textual matter,matter|passage|book
summarization,summarization,NOUN,1,summar,summarisation|summarization,report|account
established,establish,VERB,1,establish,base|build|constitute|demonstrate|establish|found|give|ground|instal|install|institute|launch|lay down|make|plant|prove|set up|shew|show,open|open up|initiate|pioneer|confirm|corroborate|sustain|substantiate|support|affirm|make|create
subfield,subfield,NOUN,1,subfield,,NA
natural,natural,ADJ,1,natur,biological|born(p)|innate(p)|instinctive|lifelike|natural|raw(a)|rude(a),
language,language,NOUN,1,languag,language|linguistic communication|linguistic process|lyric|nomenclature|oral communication|speech|speech communication|spoken communication|spoken language|terminology|voice communication|words,communication|auditory communication|text|textual matter|higher cognitive process|faculty|mental faculty|module|word
processing,processe,NOUN,1,process,,NA
relevant,relevant,ADJ,1,relev,relevant,
number,number,NOUN,1,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product
scenarios,scenario,NOUN,1,scenario,scenario,script|book|playscript|setting|scene|premise|premiss|assumption
summary,summary,NOUN,2,summari,sum-up|summary,statement
seen,see,VERB,2,see,ascertain|assure|attend|catch|check|come across|consider|construe|control|date|determine|discover|encounter|ensure|envision|escort|examine|experience|fancy|figure|find|find out|get a line|get wind|get word|go out|go steady|go through|hear|image|insure|interpret|learn|look|meet|pick up|picture|project|realise|realize|reckon|regard|run across|run into|see|see to it|take care|take in|understand|view|visit|visualise|visualize|watch|witness,perceive|comprehend|experience|see|go through|imagine|conceive of|ideate|envisage|think|believe|consider|conceive|watch|verify|visit|call in|call|tour|care|give care|receive|take in|invite|consort|associate|affiliate|assort|debate|moot|turn over|deliberate|detect|observe|find|discover|notice|undergo|accompany|bet|wager|play|understand
as,as,ADV,2,a,as|equally|every bit,
condensed,condense,VERB,2,condens,concentrate|condense|contract|digest|distil|distill,liquefy|flux|liquify|abridge|foreshorten|abbreviate|shorten|cut|contract|reduce|remove|take|take away|withdraw|change integrity|intensify|deepen|arise|come up|change|alter|modify
representation,representation,NOUN,2,represent,agency|delegacy|histrionics|internal representation|mental representation|representation|theatrical|theatrical performance,content|cognitive content|mental object|creation|cooperation|state|body|statement|performance|public presentation|right|activity
source,source,NOUN,2,sourc,author|beginning|generator|germ|informant|origin|reference|reservoir|root|rootage|seed|source,point|document|written document|papers|inspiration|facility|installation|communicator|maker|shaper|natural process|natural action|action|activity|thing|publication
text,text,NOUN,2,text,school text|schoolbook|text|text edition|textbook|textual matter,matter|passage|book
maintains,maintain,VERB,2,maintain,assert|asseverate|conserve|defend|exert|hold|keep|keep up|maintain|observe|preserve|sustain|uphold|wield,keep|have|have got|hold|insist|take a firm stand|record|enter|put down|affirm|confirm|reassert
important,important,ADJ,2,import,authoritative|crucial|important|of import|significant,
information,information,NOUN,2,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure
original,original,ADJ,2,origin,original,
counterpart,counterpart,NOUN,2,counterpart,counterpart|opposite number|similitude|twin|vis-a-vis,equivalent|duplicate|duplication
when,when,ADV,3,when,,NA
summary,summary,NOUN,3,summari,sum-up|summary,statement
constructed,construct,VERB,3,construct,build|construct|fabricate|make|manufacture|reconstruct|retrace,make|create|trace|draw|line|describe|delineate|create by mental act|create mentally|speculate|theorize|theorise|conjecture|hypothesize|hypothesise|hypothecate|suppose
selecting,select,VERB,3,select,choose|pick out|select|take,decide|make up one's mind|determine
juxtaposing,juxtapose,VERB,3,juxtapos,juxtapose,put|set|place|pose|position|lay
source,source,NOUN,3,sourc,author|beginning|generator|germ|informant|origin|reference|reservoir|root|rootage|seed|source,point|document|written document|papers|inspiration|facility|installation|communicator|maker|shaper|natural process|natural action|action|activity|thing|publication
pieces,piece,NOUN,3,piec,art object|bit|composition|firearm|man|musical composition|objet d'art|opus|part|patch|piece|piece of music|slice|small-arm|spell|while,part|portion|item|thing|music|case|instance|example|creation|gun|helping|serving|distance|work of art|time|share|percentage|game equipment
such,such,ADJ,3,such,such(a),
as,as,ADV,3,a,as|equally|every bit,
sentences,sentences,NOUN,3,sentenc,,NA
called,call,VERB,3,call,address|anticipate|be known as|bid|call|call in|call off|call up|cry|forebode|foretell|holler|hollo|know as|name|phone|predict|prognosticate|promise|ring|scream|send for|shout|shout out|squall|telephone|visit|yell,label|telecommunicate|utter|emit|let out|let loose|order|tell|enjoin|say|meet|get together|request|ask for|bespeak|call for|quest|read|postpone|prorogue|hold over|put over|table|shelve|set back|defer|remit|put off|address|turn to|stop|stop over|demand|exact|play|indicate|guess|venture|pretend|hazard|ask|require|expect|challenge|dispute|gainsay|declare|adjudge|hold|entice|lure|tempt|see|consider|reckon|view|regard|awaken|wake|waken|rouse|wake up|arouse
extract,extract,NOUN,3,extract,excerpt|excerption|extract|infusion|selection,solution|passage
summary,summary,NOUN,4,summari,sum-up|summary,statement
produced,produce,VERB,4,produc,acquire|bring about|bring forth|bring on|bring out|create|develop|farm|get|give rise|grow|make|produce|raise,make|create|expose|exhibit|display|cultivate|change
changes,change,NOUN,4,chang,alteration|change|modification|variety,happening|occurrence|occurrent|natural event|relation|action|consequence|effect|outcome|result|event|issue|upshot|cash|hard cash|hard currency|thing|clothing|article of clothing|vesture|wear|wearable|habiliment|coin|difference
surface,surface,NOUN,4,surfac,aerofoil|airfoil|control surface|Earth's surface|open|surface,artifact|artefact|boundary|bound|bounds|layer|aspect|facet|public knowledge|general knowledge|device
form,form,NOUN,4,form,anatomy|bod|build|cast|chassis|class|configuration|conformation|contour|course|descriptor|figure|flesh|form|frame|grade|human body|kind|manakin|manikin|mannequin|mannikin|material body|pattern|phase|physical body|physique|shape|signifier|soma|sort|strain|var.|variant|variety|word form,word|category|structure|spatial property|spatiality|body|organic structure|attribute|appearance|visual aspect|document|written document|papers|taxonomic group|taxonomic category|taxon|writing style|literary genre|genre|manner|mode|style|way|fashion|state of matter|state|gathering|assemblage|ability|dummy|mold|mould|cast
source,source,NOUN,4,sourc,author|beginning|generator|germ|informant|origin|reference|reservoir|root|rootage|seed|source,point|document|written document|papers|inspiration|facility|installation|communicator|maker|shaper|natural process|natural action|action|activity|thing|publication
text,text,NOUN,4,text,school text|schoolbook|text|text edition|textbook|textual matter,matter|passage|book
resulting,result,VERB,4,result,ensue|lead|leave|result,prove|turn out|turn up|produce|bring about|give rise|happen|hap|go on|pass off|occur|pass|fall out|come about|take place
generalizations,generalization,NOUN,4,gener,abstraction|generalisation|generality|generalization|induction|inductive reasoning|stimulus generalisation|stimulus generalization,colligation|idea|thought|theorization|theorisation|transfer|transfer of training|carry-over
paraphrases,paraphrase,NOUN,4,paraphras,paraphrase|paraphrasis,rewording|recasting|rephrasing
referred,refer,VERB,4,refer,advert|bear on|bring up|cite|come to|concern|consult|denote|have to do with|look up|mention|name|pertain|refer|relate|touch|touch on,think of|have in mind|mean|classify|class|sort|assort|sort out|separate|send|direct|research|intend|signify|stand for|name|call|know as|be known as
as,as,ADV,4,a,as|equally|every bit,
abstract,abstract,NOUN,4,abstract,abstract|abstraction|outline|precis|synopsis,concept|conception|construct|summary|sum-up
therefore,therefore,ADV,5,therefor,consequently|hence|so|thence|therefore|thus,NA
humans,human,NOUN,5,human,homo|human|human being|man,hominid
usually,usually,ADV,5,usual,commonly|normally|ordinarily|unremarkably|usually,
produce,produce,VERB,5,produc,acquire|bring about|bring forth|bring on|bring out|create|develop|farm|get|give rise|grow|make|produce|raise,make|create|expose|exhibit|display|cultivate|change
abstracts,abstract,NOUN,5,abstract,abstract|abstraction|outline|precis|synopsis,concept|conception|construct|summary|sum-up
systems,systems,NOUN,6,system,,NA
generating,generate,NOUN,6,gener,,NA
abstracts,abstract,NOUN,6,abstract,abstract|abstraction|outline|precis|synopsis,concept|conception|construct|summary|sum-up
require,require,VERB,6,requir,ask|call for|command|demand|expect|involve|necessitate|need|postulate|require|take|want,demand|order|tell|enjoin|say|be
sophisticated,sophisticate,ADJ,6,sophist,,NA
resources,resource,NOUN,6,resourc,imagination|resource|resourcefulness,assets|asset|plus|inventiveness|ingeniousness|ingenuity|cleverness
such,such,ADJ,6,such,such(a),
as,as,ADV,6,a,as|equally|every bit,
discourse,discourse,NOUN,6,discours,discourse|discussion|preaching|sermon|treatment,language unit|linguistic unit|address|speech|communication|communicating
semantic,semantic,ADJ,6,semant,semantic,
analyzers,analyzer,NOUN,6,analyz,analyser|analyzer,instrument
infer,infer,NOUN,6,infer,,NA
meaning,mean,VERB,6,mean,entail|have in mind|imply|intend|mean|signify|stand for|think|think of,NA
source,source,NOUN,6,sourc,author|beginning|generator|germ|informant|origin|reference|reservoir|root|rootage|seed|source,point|document|written document|papers|inspiration|facility|installation|communicator|maker|shaper|natural process|natural action|action|activity|thing|publication
text,text,NOUN,6,text,school text|schoolbook|text|text edition|textbook|textual matter,matter|passage|book
