token,lemma,upos,clique,stem,synonyms,hypernyms
last,last,ADJ,1,last,concluding|final|last|last-place|last(a)|lowest|net|terminal|utmost,
onefive,onefive,ADJ,1,onef,,NA
years,year,NOUN,1,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
evolution,evolution,NOUN,1,evolut,development|evolution|organic evolution|phylogenesis|phylogeny,process|physical process|organic process|biological process
digital,digital,ADJ,1,digit,digital,
technology,technology,NOUN,1,technologi,applied science|engineering|engineering science|technology,application|practical application|discipline|subject|subject area|subject field|field|field of study|study|bailiwick|machinery|equipment
internet,internet,NOUN,1,internet,cyberspace|internet|net,computer network
have,have,VERB,1,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
made,make,VERB,1,make,arrive at|attain|bring in|build|ca-ca|cause|clear|constitute|construct|cook|crap|create|defecate|do|draw|earn|establish|fix|form|gain|get|get to|give|have|hit|hold|induce|lay down|make|make believe|make up|make water|micturate|name|nominate|pass water|pee|pee-pee|piddle|piss|prepare|pretend|produce|progress to|puddle|pull in|reach|ready|realise|realize|relieve oneself|score|seduce|shit|spend a penny|stimulate|stool|take|take a crap|take a leak|take a shit|take in|throw|urinate|wee|wee-wee|work,change|alter|modify|make|create|create by mental act|create mentally|cause|do|get|acquire|constitute|represent|make up|comprise|be|achieve|accomplish|attain|reach|become|create from raw material|create from raw stuff|perform|execute|act|behave|appoint|charge|score|hit|tally|rack up|perpetrate|commit|pull|assemble|gather|get together|direct|tidy|tidy up|clean up|neaten|straighten|straighten out|square away|head|excrete|egest|eliminate|pass|total|number|add up|come|amount|look|appear|seem|arrive at|gain|persuade|guarantee|ensure|insure|assure|secure|play|see|consider|reckon|view|regard|estimate|gauge|approximate|guess|judge|develop|grow
several,several,ADJ,1,sever,respective(a)|several(a)|several(p)|various(a),
symbolic,symbolic,ADJ,1,symbol,emblematic|emblematical|symbolic|symbolical,
goods,goods,NOUN,1,good,,NA
more,more,ADJ,1,more,more than|more(a),
accessible,accessible,ADJ,1,access,accessible|approachable,
public,public,ADJ,1,public,public,
digitization,digitization,NOUN,1,digit,digitisation|digitization,conversion
file,file,NOUN,1,file,data file|file|file cabinet|filing cabinet|Indian file|single file,record|line|office furniture|hand tool
sharing,share,VERB,1,share,apportion|deal|divvy up|partake|partake in|portion out|share,overlap|use|utilize|utilise|apply|employ|get|acquire|distribute|give out|hand out|pass out|communicate|intercommunicate
thus,thus,ADV,1,thu,hence|so|thence|therefore|thus|thusly,NA
transforming,transform,VERB,1,transform,metamorphose|transform|translate|transmute|transubstantiate,change|alter|modify
ways,way,NOUN,1,wai,agency|direction|elbow room|fashion|manner|means|mode|path|room|style|way|way of life,property|implementation|effectuation|path|route|itinerary|condition|status|course|course of action|artifact|artefact|journey|journeying|position|spatial relation|distance|choice|pick|selection|category|share|portion|part|percentage
costs,cost,VERB,1,cost,be|cost,be|necessitate|ask|postulate|need|require|take|involve|call for|demand
production,production,NOUN,1,product,output|product|production|yield,act|deed|human action|human activity|presentation|creation|exhibition|indefinite quantity|display|industry|manufacture|creative activity
undoubtedly,undoubtedly,ADV,2,undoubtedli,doubtless|doubtlessly|undoubtedly,NA
information,information,NOUN,2,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure
communication,communication,NOUN,2,commun,communicating|communication,act|deed|human action|human activity|abstraction|abstract entity|connection|connexion|connectedness
