token,lemma,upos,clique,stem,synonyms,hypernyms
computer,computer,NOUN,1,comput,calculator|computer|computing device|computing machine|data processor|electronic computer|estimator|figurer|information processing system|reckoner,machine|expert
network,network,NOUN,1,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile
contains,contain,VERB,1,contain,arrest|bear|carry|check|comprise|contain|control|curb|hold|hold back|hold in|incorporate|moderate|stop|take|turn back,include|restrain|keep|keep back|hold back|be|defend
more,more,ADJ,1,more,more than|more(a),
computers,computers,NOUN,1,comput,,NA
connected,connect,VERB,1,connect,associate|colligate|connect|get in touch|join|link|link up|plug in|plug into|relate|tie|tie in|touch base|unite,think|cogitate|cerebrate|join|hit|strike|impinge on|run into|collide with|be|relate|interact|insert|infix|enter|introduce
together,together,ADV,1,togeth,in concert|together|unitedly,NA
information,information,NOUN,1,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure
sharing,share,VERB,1,share,apportion|deal|divvy up|partake|partake in|portion out|share,overlap|use|utilize|utilise|apply|employ|get|acquire|distribute|give out|hand out|pass out|communicate|intercommunicate
communication,communication,NOUN,1,commun,communicating|communication,act|deed|human action|human activity|abstraction|abstract entity|connection|connexion|connectedness
last,last,ADJ,2,last,concluding|final|last|last-place|last(a)|lowest|net|terminal|utmost,
few,few,ADJ,2,few,few,
decades,decade,NOUN,2,decad,10|decade|decennary|decennium|ten|tenner|X,time period|period of time|period|large integer
researchers,researcher,NOUN,2,research,investigator|research worker|researcher,scientist
have,have,VERB,2,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
proposed,propose,VERB,2,propos,advise|aim|declare oneself|nominate|offer|pop the question|project|propose|purport|purpose|suggest,declare|plan|intend|mean|think|choose|take|select|pick out|request
many,many,ADJ,2,mani,many,
efficient,efficient,ADJ,2,effici,effective|efficient,
methods,method,NOUN,2,method,method|method acting,know-how|acting|playing|playacting|performing
