token,lemma,upos,clique,stem,synonyms,hypernyms
architecture,architecture,NOUN,1,architectur,architecture|computer architecture,building|edifice|discipline|subject|subject area|subject field|field|field of study|study|bailiwick|fine arts|beaux arts|profession|structure
engineering,engineer,NOUN,1,engin,applied scientist|engine driver|engineer|locomotive engineer|railroad engineer|technologist,person|individual|someone|somebody|mortal|soul|operator|manipulator
construction,construction,NOUN,1,construct,building|construction|expression|grammatical construction|mental synthesis|structure|twist,creating from raw materials|constituent|grammatical constituent|thinking|thought|thought process|cerebration|intellection|mentation|artifact|artefact|mathematical process|mathematical operation|operation|interpretation|commercial enterprise|business enterprise|business
industry,industry,NOUN,1,industri,diligence|industriousness|industry|manufacture,commercial enterprise|business enterprise|business|determination|purpose
fragmented,fragment,VERB,1,fragment,break up|fragment|fragmentise|fragmentize,break|separate|split up|fall apart|come apart
information,information,NOUN,1,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure
spread,spread,NOUN,1,spread,banquet|bed cover|bed covering|bedcover|bedspread|cattle farm|cattle ranch|counterpane|facing pages|feast|gap|paste|ranch|scatter|spread|spread head|spreadhead|spreading,change of location|travel|disparity|farm|distribution|dispersion|condiment|meal|repast|page|girth|bedclothes|bed clothing|bedding|extension
numerous,numerous,ADJ,1,numer,legion(p)|numerous,
changing,change,VERB,1,chang,alter|change|commute|convert|deepen|exchange|interchange|modify|shift|switch|transfer|vary,dress|get dressed|replace|transfer|travel|go|move|locomote|change
stakeholders,stakeholder,NOUN,1,stakehold,stakeholder,neutral
including,include,VERB,1,includ,admit|include|let in,see|consider|reckon|view|regard|add|permit|allow|let|countenance
architects,architect,NOUN,1,architect,architect|designer,creator
engineers,engineer,NOUN,1,engin,applied scientist|engine driver|engineer|locomotive engineer|railroad engineer|technologist,person|individual|someone|somebody|mortal|soul|operator|manipulator
contractors,contractor,NOUN,1,contractor,contractile organ|contractor|declarer,builder|constructor|bridge player|hand|party|organ
subcontractors,subcontractor,NOUN,1,subcontractor,subcontractor,contractor
owners,owner,NOUN,1,owner,owner|possessor|proprietor,businessman|man of affairs|person|individual|someone|somebody|mortal|soul
so,so,ADV,1,so,and so|hence|indeed|so|then|thence|therefore|thus|thusly,NA
forth,forth,ADV,1,forth,away|forth|forward|off|onward,NA
reasons,reason,NOUN,2,reason,cause|ground|grounds|intellect|rationality|reason|reasonableness|understanding,rational motive|explanation|account|faculty|mental faculty|module|sanity|saneness|justification|fact
why,why,ADV,2,why,,NA
bertelsen,bertelsen,ADV,2,bertelsen,,NA
describes,describe,NOUN,2,describ,,NA
as,as,ADV,2,a,as|equally|every bit,
complex,complex,NOUN,2,complex,building complex|complex|composite|coordination compound,whole|compound|chemical compound|feeling|structure|construction
industry,industry,NOUN,2,industri,diligence|industriousness|industry|manufacture,commercial enterprise|business enterprise|business|determination|purpose
stakeholders,stakeholder,NOUN,3,stakehold,stakeholder,neutral
have,have,VERB,3,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
varying,varie,VERB,3,vari,,NA
levels,levels,NOUN,3,level,,NA
proficiency,proficiency,NOUN,3,profici,proficiency|technique,competence|competency|skillfulness
digital,digital,ADJ,3,digit,digital,
technologies,technology,NOUN,3,technologi,applied science|engineering|engineering science|technology,application|practical application|discipline|subject|subject area|subject field|field|field of study|study|bailiwick|machinery|equipment
advent,advent,NOUN,4,advent,advent|Advent|coming|Parousia|Second Advent|Second Coming|Second Coming of Christ,arrival|reaching|season
building,building,NOUN,4,build,building|construction|edifice,structure|construction|creating from raw materials|commercial enterprise|business enterprise|business|gathering|assemblage
information,information,NOUN,4,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure
modeling,modeling,NOUN,4,model,clay sculpture|model|modeling|modelling|mold|molding|mould|moulding,sculpture|carving|representation
bim,bim,NOUN,4,bim,,NA
tools,tool,NOUN,4,tool,cock|creature|dick|instrument|pecker|prick|puppet|putz|shaft|tool,implement|means|agency|way|slave|penis|phallus|member
varying,varie,VERB,4,vari,,NA
levels,levels,NOUN,4,level,,NA
proficiency,proficiency,NOUN,4,profici,proficiency|technique,competence|competency|skillfulness
have,have,VERB,4,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
become,become,VERB,4,becom,become|get|go|suit|turn,change state|turn|transform|transmute|metamorphose|fancify|beautify|embellish|prettify
more,more,ADJ,4,more,more than|more(a),
apparent,apparent,ADJ,4,appar,apparent|apparent(a)|evident|manifest|ostensible|palpable|patent|plain|seeming(a)|unmistakable,
often,often,ADV,5,often,a great deal|frequently|much|oft|often|oftentimes|ofttimes,NA
referred,refer,VERB,5,refer,advert|bear on|bring up|cite|come to|concern|consult|denote|have to do with|look up|mention|name|pertain|refer|relate|touch|touch on,think of|have in mind|mean|classify|class|sort|assort|sort out|separate|send|direct|research|intend|signify|stand for|name|call|know as|be known as
as,as,ADV,5,a,as|equally|every bit,
levels,levels,NOUN,5,level,,NA
maturity,maturity,NOUN,5,matur,adulthood|due date|matureness|maturity|maturity date,time of life|state|date|day of the month
bim,bim,NOUN,5,bim,,NA
adoption,adoption,NOUN,5,adopt,acceptance|acceptation|adoption|borrowing|espousal,blessing|approval|approving|proceeding|legal proceeding|proceedings|appropriation
