token,lemma,upos,clique,stem,synonyms,hypernyms
new,new,ADJ,1,new,fresh|Modern|new|New|new(a)|novel|raw|unexampled|young,
competitive,competitive,ADJ,1,competit,competitive|competitory|free-enterprise(a)|militant|private-enterprise(a),
dynamic,dynamic,NOUN,1,dynam,dynamic|moral force,incentive|inducement|motivator
global,global,ADJ,1,global,ball-shaped|global|globose|globular|orbicular|planetary|spheric|spherical|world-wide|world(a)|worldwide,
market,market,NOUN,1,market,food market|grocery|grocery store|market|market place|marketplace|mart|securities industry,activity|class|stratum|social class|socio-economic class|marketplace|market place|mart|market|industry|mercantile establishment|retail store|sales outlet|outlet
industrial,industrial,ADJ,1,industri,industrial,
enterprises,enterprise,NOUN,1,enterpris,endeavor|endeavour|enterprise|enterprisingness|go-ahead|initiative,undertaking|project|task|labor|organization|organisation|drive
establishing,establish,VERB,1,establish,base|build|constitute|demonstrate|establish|found|give|ground|instal|install|institute|launch|lay down|make|plant|prove|set up|shew|show,open|open up|initiate|pioneer|confirm|corroborate|sustain|substantiate|support|affirm|make|create
partnerships,partnership,NOUN,1,partnership,partnership,business|concern|business concern|business organization|business organisation|relationship|human relationship|contract
creating,create,VERB,1,creat,create|make|produce,act|move|appoint|charge|make|create
business,business,NOUN,1,busi,business|business concern|business enterprise|business organisation|business organization|business sector|byplay|clientele|commercial enterprise|concern|job|line|line of work|occupation|patronage|stage business,enterprise|commerce|commercialism|mercantilism|activity|concern|worry|headache|vexation|aim|object|objective|target|business activity|commercial activity|sector|people|acting|playing|playacting|performing
models,models,NOUN,1,model,,NA
using,use,VERB,1,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
internet,internet,NOUN,1,internet,cyberspace|internet|net,computer network
technologies,technology,NOUN,1,technologi,applied science|engineering|engineering science|technology,application|practical application|discipline|subject|subject area|subject field|field|field of study|study|bailiwick|machinery|equipment
standards,standard,NOUN,1,standard,banner|criterion|measure|monetary standard|standard|touchstone,system of measurement|metric|ideal|volume unit|capacity unit|capacity measure|cubage unit|cubic measure|cubic content unit|displacement unit|cubature unit|value|post|flag
as,as,ADV,1,a,as|equally|every bit,
tools,tool,NOUN,1,tool,cock|creature|dick|instrument|pecker|prick|puppet|putz|shaft|tool,implement|means|agency|way|slave|penis|phallus|member
