token,lemma,upos,clique,stem,synonyms,hypernyms
social,social,ADJ,1,social,social|societal,
sensing,sense,VERB,1,sens,feel|sense|smell|smell out,perceive|comprehend|detect|observe|find|discover|notice|understand
unsolicited,unsolicited,ADJ,1,unsolicit,unasked-for|unsolicited,
form,form,NOUN,1,form,anatomy|bod|build|cast|chassis|class|configuration|conformation|contour|course|descriptor|figure|flesh|form|frame|grade|human body|kind|manakin|manikin|mannequin|mannikin|material body|pattern|phase|physical body|physique|shape|signifier|soma|sort|strain|var.|variant|variety|word form,word|category|structure|spatial property|spatiality|body|organic structure|attribute|appearance|visual aspect|document|written document|papers|taxonomic group|taxonomic category|taxon|writing style|literary genre|genre|manner|mode|style|way|fashion|state of matter|state|gathering|assemblage|ability|dummy|mold|mould|cast
crowdsourcing,crowdsource,NOUN,1,crowdsourc,,NA
refers,refer,VERB,1,refer,advert|bear on|bring up|cite|come to|concern|consult|denote|have to do with|look up|mention|name|pertain|refer|relate|touch|touch on,think of|have in mind|mean|classify|class|sort|assort|sort out|separate|send|direct|research|intend|signify|stand for|name|call|know as|be known as
primarily,primarily,ADV,1,primarili,chiefly|in the first place|in the main|mainly|primarily|principally,
spatiotemporally,spatiotemporally,ADV,1,spatiotempor,,NA
tagged,tagg,VERB,1,tagg,,NA
big,big,ADJ,1,big,adult|bad|big|big(a)|big(p)|bighearted|boastful|bounteous|bountiful|braggart(a)|bragging(a)|braggy|cock-a-hoop|crowing|enceinte|expectant|freehanded|full-grown|fully grown|giving|gravid|great(p)|grown|grownup|handsome|heavy(a)|heavy(p)|large|large(p)|liberal|magnanimous|openhanded|prominent|self-aggrandising|self-aggrandizing|swelled|vainglorious|with child(p),
data,data,NOUN,1,data,data|information,collection|aggregation|accumulation|assemblage
methods,method,NOUN,1,method,method|method acting,know-how|acting|playing|playacting|performing
applications,application,NOUN,1,applic,application|application program|applications programme|coating|covering|diligence|lotion|practical application,use|usage|utilization|utilisation|employment|exercise|request|petition|postulation|manual labor|manual labour|program|programme|computer program|computer programme|remedy|curative|cure|therapeutic|effort|elbow grease|exertion|travail|sweat|action
based,base,VERB,1,base,base|establish|found|free-base|ground,situate|locate|drug|do drugs
such,such,ADJ,1,such,such(a),
social,social,ADJ,2,social,social|societal,
sensing,sense,VERB,2,sens,feel|sense|smell|smell out,perceive|comprehend|detect|observe|find|discover|notice|understand
allows,allow,NOUN,2,allow,,NA
observation,observation,NOUN,2,observ,notice|observance|observation|reflection|reflexion|watching,measurement|measuring|measure|mensuration|look|looking|looking at|remark|comment|input|fact|attention|attending
human,human,ADJ,2,human,human,
behaviour,behaviour,NOUN,2,behaviour,behavior|behaviour|conduct|demeanor|demeanour|deportment|doings,action|activity|activeness|trait
observations,observation,NOUN,3,observ,notice|observance|observation|reflection|reflexion|watching,measurement|measuring|measure|mensuration|look|looking|looking at|remark|comment|input|fact|attention|attending
relevant,relevant,ADJ,3,relev,relevant,
useful,useful,ADJ,3,us,useful|utile|utilitarian,
research,research,NOUN,3,research,enquiry|inquiry|research,investigation|investigating|problem solving
produced,produce,VERB,3,produc,acquire|bring about|bring forth|bring on|bring out|create|develop|farm|get|give rise|grow|make|produce|raise,make|create|expose|exhibit|display|cultivate|change
purpose,purpose,VERB,3,purpos,aim|propose|purport|purpose|resolve,intend|mean|think|decide|make up one's mind|determine
unlikely,unlikely,ADJ,3,unlik,improbable|unbelievable|unconvincing|unlikely,
follow,follow,VERB,3,follow,abide by|accompany|adopt|be|come|come after|comply|conform to|espouse|fall out|follow|keep abreast|keep an eye on|keep up|observe|play along|postdate|pursue|stick to|stick with|succeed|surveil|survey|take after|trace|travel along|watch|watch over,travel|go|move|locomote|result|ensue|obey|imitate|copy|simulate|be|choose|take|select|pick out|analyze|analyse|study|examine|canvass|check|check up on|look into|check out|suss out|check over|go over|check into|play|originate|arise|rise|develop|uprise|spring up|grow|act|behave|do|practice|apply|use|understand|persevere|persist|hang in|hang on|hold on
consistent,consistent,ADJ,3,consist,coherent|consistent|logical|ordered|reproducible|uniform,
reporting,report,VERB,3,report,account|cover|describe|report,inform|announce|denote|complain|kick|plain|sound off|quetch|kvetch
structure,structure,NOUN,3,structur,anatomical structure|bodily structure|body structure|complex body part|construction|social organisation|social organization|social structure|social system|structure,artifact|artefact|constitution|composition|physical composition|makeup|make-up|cognition|knowledge|noesis|body part|system|scheme
cowie,cowie,NOUN,3,cowi,,NA
arthur,arthur,NOUN,3,arthur,Arthur|Chester A. Arthur|Chester Alan Arthur|King Arthur|President Arthur,
williams,william,NOUN,3,william,,NA
liu,liu,NOUN,3,liu,,NA
social,social,ADJ,4,social,social|societal,
sensing,sense,VERB,4,sens,feel|sense|smell|smell out,perceive|comprehend|detect|observe|find|discover|notice|understand
extract,extract,NOUN,4,extract,excerpt|excerption|extract|infusion|selection,solution|passage
characteristics,characteristic,NOUN,4,characterist,characteristic|device characteristic|feature,property|attribute|dimension|quality|integer|whole number
dynamics,dynamics,NOUN,4,dynam,dynamics|kinetics,mechanics
economy,economy,NOUN,4,economi,economic system|economy|saving|thriftiness,system|scheme|efficiency|frugality|frugalness|action
culture,culture,NOUN,4,cultur,acculturation|civilisation|civilization|cultivation|culture|finish|polish|refinement,society|taste|appreciation|discernment|perceptiveness|content|cognitive content|mental object|growth|growing|maturation|development|ontogeny|ontogenesis|perfection|flawlessness|ne plus ultra|attitude|mental attitude|cultivation
life,life,NOUN,4,life,aliveness|animation|biography|life|life history|life sentence|life story|life-time|lifespan|lifetime|liveliness|living|spirit|sprightliness,being|beingness|existence|face of the earth|experience|time period|period of time|period|person|individual|someone|somebody|mortal|soul|animation|spiritedness|invigoration|brio|vivification|living thing|animate thing|organic phenomenon|history|account|chronicle|story|motivation|motive|need|prison term|sentence|time
other,other,ADJ,4,other,early(a)|former(a)|other|other(a),
aspects,aspect,NOUN,4,aspect,aspect|expression|face|facet|facial expression|look|panorama|prospect|scene|view|vista,feature|characteristic|visual percept|visual image|grammatical relation|countenance|visage
large,large,ADJ,4,larg,big|big(p)|bombastic|declamatory|enceinte|expectant|gravid|great(p)|heavy(p)|large|large(p)|magnanimous|orotund|prominent|tumid|turgid|with child(p),
geospatial,geospatial,ADJ,4,geospati,,NA
data,data,NOUN,4,data,data|information,collection|aggregation|accumulation|assemblage
liu,liu,NOUN,4,liu,,NA
individual,individual,ADJ,5,individu,case-by-case|individual|individual(a)|item-by-item|private|single|single(a),
society,society,NOUN,5,societi,beau monde|bon ton|club|companionship|company|fellowship|gild|guild|high society|lodge|order|smart set|social club|society,social group|association|friendship|friendly relationship|elite|elite group
role,role,NOUN,5,role,character|function|office|part|persona|purpose|role|theatrical role|use,duty|portrayal|characterization|enactment|personation|utility|usefulness|activity
sensor,sensor,NOUN,5,sensor,detector|sensing element|sensor,device
providing,provide,VERB,5,provid,allow|allow for|bring home the bacon|cater|furnish|leave|offer|ply|provide|put up|render|supply,give|stipulate|qualify|condition|specify|engage|wage|yield|afford|support|fix|prepare|set up|ready|gear up|set
real,real,ADJ,5,real,actual|existent|genuine|literal|material|real|real(a)|substantial|tangible|veridical,
time,time,NOUN,5,time,clip|clock time|fourth dimension|meter|metre|prison term|sentence|time,case|instance|example|time period|period of time|period|moment|minute|second|instant|attribute|experience|reading|meter reading|indication|dimension|rhythmicity|term
feedback,feedback,NOUN,5,feedback,feedback,natural process|natural action|action|activity|answer|reply|response
surrounding,surround,VERB,5,surround,beleaguer|besiege|border|circumvent|environ|fence|fence in|hem in|palisade|ring|skirt|smother|surround|wall,touch|adjoin|meet|contact|cover|attack|assail|protect
environment,environment,NOUN,5,environ,environment|environs|surround|surroundings,situation|state of affairs|geographical area|geographic area|geographical region|geographic region
popularity,popularity,NOUN,6,popular,popularity,quality
intelligent,intelligent,NOUN,6,intellig,,NA
devices,device,NOUN,6,devic,device|gimmick|twist,instrumentality|instrumentation|expressive style|style|maneuver|manoeuvre|tactical maneuver|tactical manoeuvre|design|pattern|figure|emblem
development,development,NOUN,6,develop,developing|development|evolution|exploitation|growing|growth|maturation|ontogenesis|ontogeny,improvement|process|physical process|organic process|biological process|change|alteration|modification|use|usage|utilization|utilisation|employment|exercise|district|territory|territorial dominion|dominion|melioration|processing|section|subdivision
technology,technology,NOUN,6,technologi,applied science|engineering|engineering science|technology,application|practical application|discipline|subject|subject area|subject field|field|field of study|study|bailiwick|machinery|equipment
promote,promote,VERB,6,promot,advance|advertise|advertize|boost|elevate|encourage|further|kick upstairs|promote|push|raise|upgrade,support|back up|delegate|designate|depute|assign|praise|change|play
acquisition,acquisition,NOUN,6,acquisit,accomplishment|acquirement|acquisition|attainment|learning|skill,acquiring|getting|transferred property|transferred possession|basic cognitive process|ability|power
social,social,ADJ,6,social,social|societal,
sensing,sense,VERB,6,sens,feel|sense|smell|smell out,perceive|comprehend|detect|observe|find|discover|notice|understand
data,data,NOUN,6,data,data|information,collection|aggregation|accumulation|assemblage
compared,compare,VERB,7,compar,compare|equate|liken,analyze|analyse|study|examine|canvass|be|consider|inflect
traditional,traditional,ADJ,7,tradit,traditional,
data,data,NOUN,7,data,data|information,collection|aggregation|accumulation|assemblage
collection,collection,NOUN,7,collect,accumulation|aggregation|appeal|assemblage|assembling|collecting|collection|compendium|ingathering|solicitation,group|grouping|publication|request|petition|postulation
methods,method,NOUN,7,method,method|method acting,know-how|acting|playing|playacting|performing
online,online,ADV,7,onlin,,NA
crowd,crowd,NOUN,7,crowd,bunch|crew|crowd|gang,gathering|assemblage|gathering|assemblage
sourcing,source,NOUN,7,sourc,author|beginning|generator|germ|informant|origin|reference|reservoir|root|rootage|seed|source,point|document|written document|papers|inspiration|facility|installation|communicator|maker|shaper|natural process|natural action|action|activity|thing|publication
provided,provide,VERB,7,provid,allow|allow for|bring home the bacon|cater|furnish|leave|offer|ply|provide|put up|render|supply,give|stipulate|qualify|condition|specify|engage|wage|yield|afford|support|fix|prepare|set up|ready|gear up|set
intelligent,intelligent,NOUN,7,intellig,,NA
devices,device,NOUN,7,devic,device|gimmick|twist,instrumentality|instrumentation|expressive style|style|maneuver|manoeuvre|tactical maneuver|tactical manoeuvre|design|pattern|figure|emblem
large,large,ADJ,7,larg,big|big(p)|bombastic|declamatory|enceinte|expectant|gravid|great(p)|heavy(p)|large|large(p)|magnanimous|orotund|prominent|tumid|turgid|with child(p),
volume,volume,NOUN,7,volum,book|bulk|intensity|loudness|mass|volume,measure|quantity|amount|magnitude|product|production|publication|sound property
real,real,ADJ,7,real,actual|existent|genuine|literal|material|real|real(a)|substantial|tangible|veridical,
time,time,NOUN,7,time,clip|clock time|fourth dimension|meter|metre|prison term|sentence|time,case|instance|example|time period|period of time|period|moment|minute|second|instant|attribute|experience|reading|meter reading|indication|dimension|rhythmicity|term
velocity,velocity,NOUN,7,veloc,speed|velocity,rate
wide,wide,ADV,7,wide,astray|wide|widely,NA
coverage,coverage,NOUN,7,coverag,coverage|insurance coverage|reportage|reporting,sum|sum of money|amount|amount of money|extent|news
social,social,ADJ,8,social,social|societal,
sensing,sense,VERB,8,sens,feel|sense|smell|smell out,perceive|comprehend|detect|observe|find|discover|notice|understand
show,show,VERB,8,show,bear witness|demo|demonstrate|depict|designate|establish|evidence|evince|exhibit|express|indicate|picture|point|present|prove|read|record|register|render|shew|show|show up|testify|usher,show|confirm|corroborate|sustain|substantiate|support|affirm|inform|represent|interpret|convey|appear|indicate|read|register|record|lead|take|direct|conduct|guide|race|run
certain,certain,ADJ,8,certain,certain|certain(a)|certain(p)|sealed|sure,
aspects,aspect,NOUN,8,aspect,aspect|expression|face|facet|facial expression|look|panorama|prospect|scene|view|vista,feature|characteristic|visual percept|visual image|grammatical relation|countenance|visage
characteristics,characteristic,NOUN,8,characterist,characteristic|device characteristic|feature,property|attribute|dimension|quality|integer|whole number
capturing,capture,VERB,8,captur,appropriate|becharm|beguile|bewitch|captivate|capture|catch|charm|conquer|enamor|enamour|enchant|entrance|fascinate|get|seize|trance,represent|interpret|attract|appeal|seize|prehend|clutch|change|alter|modify|assume|usurp|take over|arrogate|get|acquire
spatial,spatial,ADJ,8,spatial,spacial|spatial,
