token,lemma,upos,clique,stem,synonyms,hypernyms
natural,natural,ADJ,1,natur,biological|born(p)|innate(p)|instinctive|lifelike|natural|raw(a)|rude(a),
language,language,NOUN,1,languag,language|linguistic communication|linguistic process|lyric|nomenclature|oral communication|speech|speech communication|spoken communication|spoken language|terminology|voice communication|words,communication|auditory communication|text|textual matter|higher cognitive process|faculty|mental faculty|module|word
most,most,ADJ,1,most,most(a),
vivid,vivid,ADJ,1,vivid,bright|brilliant|graphic|intense|lifelike|pictorial|vivid,
examples,example,NOUN,1,exampl,case|deterrent example|example|exemplar|exercise|good example|illustration|instance|lesson|model|object lesson|representative,information|representation|mental representation|internal representation|ideal|admonition|monition|warning|word of advice|happening|occurrence|occurrent|natural event|lesson
complex,complex,NOUN,1,complex,building complex|complex|composite|coordination compound,whole|compound|chemical compound|feeling|structure|construction
systems,systems,NOUN,1,system,,NA
where,where,ADV,1,where,,NA
term,term,NOUN,1,term,condition|full term|strings|term|terminal figure|terminus,word|time period|period of time|period|statement|quantity|constituent|grammatical constituent|point|point in time|statue
more,more,ADJ,1,more,more than|more(a),
different,different,ADJ,1,differ,different,
other,other,ADJ,1,other,early(a)|former(a)|other|other(a),
succinctly,succinctly,ADV,1,succinctli,compactly|succinctly,
defines,define,VERB,1,defin,define|delimit|delimitate|delineate|determine|fix|limit|set|specify,be|specify|set|determine|define|fix|limit|characterize|characterise|show|choose|take|select|pick out
features,feature,NOUN,1,featur,characteristic|feature|feature article|feature film|feature of speech|lineament,property|attribute|dimension|body part|movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick|article|merchandise|ware|product
indeed,indeed,ADV,2,inde,indeed|so,NA
relatively,relatively,ADV,2,rel,comparatively|relatively,
small,small,ADJ,2,small,belittled|diminished|humble|little|low|lowly|minor|minuscule|modest|pocket-size|pocket-sized|small|small-scale|small(a),
number,number,NOUN,2,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product
