token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
graph,graph,NOUN,13,graph,character|chart|graph|grapheme|graphic symbol|graphical record|graphical recording,visual communication|written symbol|printed symbol,S0020025508004520,S0020025508004520_13
network,network,NOUN,13,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_13
representation,representation,NOUN,13,represent,agency|delegacy|histrionics|internal representation|mental representation|representation|theatrical|theatrical performance,content|cognitive content|mental object|creation|cooperation|state|body|statement|performance|public presentation|right|activity,S0020025508004520,S0020025508004520_13
capture,capture,VERB,13,captur,appropriate|becharm|beguile|bewitch|captivate|capture|catch|charm|conquer|enamor|enamour|enchant|entrance|fascinate|get|seize|trance,represent|interpret|attract|appeal|seize|prehend|clutch|change|alter|modify|assume|usurp|take over|arrogate|get|acquire,S0020025508004520,S0020025508004520_13
text,text,NOUN,13,text,school text|schoolbook|text|text edition|textbook|textual matter,matter|passage|book,S0020025508004520,S0020025508004520_13
structure,structure,NOUN,13,structur,anatomical structure|bodily structure|body structure|complex body part|construction|social organisation|social organization|social structure|social system|structure,artifact|artefact|constitution|composition|physical composition|makeup|make-up|cognition|knowledge|noesis|body part|system|scheme,S0020025508004520,S0020025508004520_13
various,various,ADJ,13,variou,assorted|diverse|respective(a)|several(a)|various|various(a)|versatile,NA,S0020025508004520,S0020025508004520_13
ways,way,NOUN,13,wai,agency|direction|elbow room|fashion|manner|means|mode|path|room|style|way|way of life,property|implementation|effectuation|path|route|itinerary|condition|status|course|course of action|artifact|artefact|journey|journeying|position|spatial relation|distance|choice|pick|selection|category|share|portion|part|percentage,S0020025508004520,S0020025508004520_13
therefore,therefore,ADV,13,therefor,consequently|hence|so|thence|therefore|thus,NA,S0020025508004520,S0020025508004520_13
suitable,suitable,ADJ,13,suitabl,desirable|suitable|suited|worthy,NA,S0020025508004520,S0020025508004520_13
extractive,extractive,ADJ,13,extract,NA,NA,S0020025508004520,S0020025508004520_13
summarization,summarization,NOUN,13,summar,summarisation|summarization,report|account,S0020025508004520,S0020025508004520_13
k,k,PROPN,119,k,NA,NA,S0020025508004520,S0020025508004520_119
core,core,NOUN,119,core,burden|center|centre|Congress of Racial Equality|core|CORE|core group|effect|essence|gist|heart|heart and soul|inwardness|kernel|magnetic core|marrow|meat|nitty-gritty|nub|nucleus|pith|substance|sum,set|center|centre|midpoint|content|cognitive content|mental object|sample|nongovernmental organization|NGO|meaning|significance|signification|import|torus|toroid|chamber|bar,S0020025508004520,S0020025508004520_119
used,use,VERB,119,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move,S0020025508004520,S0020025508004520_119
find,find,VERB,119,find,ascertain|bump|chance|come up|detect|determine|discover|encounter|feel|find|find oneself|find out|get|get hold|happen|incur|line up|notice|observe|obtain|receive|recover|regain|retrieve|rule|see|witness,spy|sight|get|acquire|reason|reason out|conclude|experience|see|go through|gestate|conceive|conceptualize|conceptualise|learn|hear|get word|get wind|pick up|find out|get a line|discover|pronounce|label|judge|change|perceive|comprehend|reach|make|attain|hit|arrive at|gain|mature|maturate|grow,S0020025508004520,S0020025508004520_119
nuclear,nuclear,ADJ,119,nuclear,atomic|nuclear,NA,S0020025508004520,S0020025508004520_119
groups,group,NOUN,119,group,chemical group|group|grouping|mathematical group|radical,abstraction|abstract entity|unit|building block|set,S0020025508004520,S0020025508004520_119
nodes,node,NOUN,119,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_119
using,use,VERB,119,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move,S0020025508004520,S0020025508004520_119
only,only,ADV,119,onli,alone|but|entirely|exclusively|just|merely|only|only if|only when|simply|solely,NA,S0020025508004520,S0020025508004520_119
node,node,NOUN,119,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_119
degrees,degrees,NOUN,119,degre,NA,NA,S0020025508004520,S0020025508004520_119
cut,cut,VERB,119,cut,abbreviate|abridge|bring down|burn|contract|curve|cut|cut back|cut down|cut off|dilute|disregard|edit|edit out|foreshorten|geld|hack|ignore|issue|make out|prune|rationalise|rationalize|reduce|sheer|shorten|skip|slew|slue|snub|swerve|switch off|tailor|thin|thin out|trend|trim|trim back|trim down|turn off|turn out|veer|write out,separate|disunite|divide|part|decrease|lessen|minify|turn|free|discharge|make|create|design|hit|write|change|alter|modify|miss|cope|get by|make out|make do|contend|grapple|deal|manage|look|appear|seem|move|pass|transit|pass through|move through|pass across|pass over|switch|shift|stop|record|tape|produce|perform|execute|do|function|work|operate|go|run|be|shuffle|ruffle|mix|throw|flip|reap|harvest|glean|fell|drop|strike down|cut down|penetrate|perforate|treat|handle|do by|shorten|extinguish|eliminate|get rid of|do away with|dissolve|resolve|break up|interrupt|disrupt|cut off|weaken|grow|develop|get|acquire|emasculate|castrate|demasculinize|demasculinise,S0020025508004520,S0020025508004520_119
defined,define,VERB,119,defin,define|delimit|delimitate|delineate|determine|fix|limit|set|specify,be|specify|set|determine|define|fix|limit|characterize|characterise|show|choose|take|select|pick out,S0020025508004520,S0020025508004520_119
identify,identify,VERB,119,identifi,describe|discover|distinguish|identify|key|key out|name|place,determine|set|denote|refer|see|consider|reckon|view|regard|associate|tie in|relate|link|colligate|link up|connect|recognize|recognise,S0020025508004520,S0020025508004520_119
closely,closely,ADV,119,close,close|closely|intimately|nearly|tight,NA,S0020025508004520,S0020025508004520_119
related,relate,ADJ,119,relat,NA,NA,S0020025508004520,S0020025508004520_119
edge,edge,NOUN,119,edg,border|bound|boundary|edge|sharpness,boundary|bound|bounds|line|side|urgency|superiority|favorable position|favourable position|limit|demarcation|demarcation line,S0020025508004520,S0020025508004520_119
weights,weight,NOUN,119,weight,exercising weight|free weight|system of weights|weight|weight unit|weightiness|weighting,physical property|sports equipment|importance|artifact|artefact|oppression|oppressiveness|system of measurement|metric|unit of measurement|unit|coefficient,S0020025508004520,S0020025508004520_119
text,text,NOUN,140,text,school text|schoolbook|text|text edition|textbook|textual matter,matter|passage|book,S0020025508004520,S0020025508004520_140
there,there,ADV,140,there,there|thither,NA,S0020025508004520,S0020025508004520_140
pair,pair,NOUN,140,pair,brace|couple|couplet|distich|duad|duet|duo|dyad|pair|span|twain|twosome|yoke,set|two|2|II|deuce|gathering|assemblage|poker hand,S0020025508004520,S0020025508004520_140
reference,reference,NOUN,140,refer,acknowledgment|address|book of facts|character|character reference|citation|cite|computer address|consultation|credit|denotation|extension|mention|point of reference|quotation|reference|reference book|reference point|reference work|source,remark|comment|input|note|annotation|notation|indicator|book|recommendation|testimonial|good word|meaning|substance|action|publication|code|computer code,S0020025508004520,S0020025508004520_140
summaries,summary,NOUN,140,summari,sum-up|summary,statement,S0020025508004520,S0020025508004520_140
abstract,abstract,NOUN,140,abstract,abstract|abstraction|outline|precis|synopsis,concept|conception|construct|summary|sum-up,S0020025508004520,S0020025508004520_140
written,write,VERB,140,write,compose|drop a line|indite|pen|save|spell|write,create verbally|communicate|intercommunicate|correspond|make|create|trace|draw|line|describe|delineate|record|tape|create by mental act|create mentally,S0020025508004520,S0020025508004520_140
human,human,ADJ,140,human,human,NA,S0020025508004520,S0020025508004520_140
automatically,automatically,ADV,140,automat,automatically|mechanically,NA,S0020025508004520,S0020025508004520_140
generated,generate,VERB,140,gener,beget|bring forth|engender|father|generate|get|give|mother|render|return|sire|yield,make|create|produce,S0020025508004520,S0020025508004520_140
extract,extract,NOUN,140,extract,excerpt|excerption|extract|infusion|selection,solution|passage,S0020025508004520,S0020025508004520_140
created,create,VERB,140,creat,create|make|produce,act|move|appoint|charge|make|create,S0020025508004520,S0020025508004520_140
tool,tool,NOUN,140,tool,cock|creature|dick|instrument|pecker|prick|puppet|putz|shaft|tool,implement|means|agency|way|slave|penis|phallus|member,S0020025508004520,S0020025508004520_140
cn,cn,NOUN,175,cn,NA,NA,S0020025508004520,S0020025508004520_175
spwc,spwc,NOUN,175,spwc,NA,NA,S0020025508004520,S0020025508004520_175
perhaps,perhaps,ADV,177,perhap,maybe|mayhap|peradventure|perchance|perhaps|possibly,NA,S0020025508004520,S0020025508004520_177
reason,reason,NOUN,177,reason,cause|ground|grounds|intellect|rationality|reason|reasonableness|understanding,rational motive|explanation|account|faculty|mental faculty|module|sanity|saneness|justification|fact,S0020025508004520,S0020025508004520_177
lower,lower,ADJ,177,lower,NA,NA,S0020025508004520,S0020025508004520_177
performance,performance,NOUN,177,perform,carrying into action|carrying out|execution|functioning|operation|performance|public presentation,show|presentation|presentment|demonstration|action|accomplishment|achievement|process|physical process,S0020025508004520,S0020025508004520_177
modest,modest,ADJ,177,modest,humble|low|lowly|meek|mild|minor|modest|pocket-size|pocket-sized|small|small-scale,NA,S0020025508004520,S0020025508004520_177
modularity,modularity,NOUN,177,modular,NA,NA,S0020025508004520,S0020025508004520_177
networks,network,NOUN,177,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_177
q,q,NOUN,177,q,q|Q,letter|letter of the alphabet|alphabetic character,S0020025508004520,S0020025508004520_177
defined,define,VERB,177,defin,define|delimit|delimitate|delineate|determine|fix|limit|set|specify,be|specify|set|determine|define|fix|limit|characterize|characterise|show|choose|take|select|pick out,S0020025508004520,S0020025508004520_177
section,section,NOUN,177,section,department|discussion section|division|incision|part|plane section|section|segment|subdivision|surgical incision,writing|written material|piece of writing|music|slice|area|country|part|portion|team|squad|concept|conception|construct|square mile|expanse|surface area|class|form|grade|course|musical organization|musical organisation|musical group|army unit|division|segment|cut|cutting,S0020025508004520,S0020025508004520_177
average,average,NOUN,177,averag,average|norm,statistic|ratio|scale value,S0020025508004520,S0020025508004520_177
since,since,ADV,177,sinc,NA,NA,S0020025508004520,S0020025508004520_177
strategies,strategy,NOUN,177,strategi,scheme|strategy,plan of action|military science,S0020025508004520,S0020025508004520_177
rely,rely,ADV,177,reli,NA,NA,S0020025508004520,S0020025508004520_177
modular,modular,ADJ,177,modular,modular,NA,S0020025508004520,S0020025508004520_177
structure,structure,NOUN,177,structur,anatomical structure|bodily structure|body structure|complex body part|construction|social organisation|social organization|social structure|social system|structure,artifact|artefact|constitution|composition|physical composition|makeup|make-up|cognition|knowledge|noesis|body part|system|scheme,S0020025508004520,S0020025508004520_177
network,network,NOUN,177,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_177
moreover,moreover,ADV,237,moreov,furthermore|moreover|what is more,NA,S0020025508004520,S0020025508004520_237
paired,paire,VERB,237,pair,NA,NA,S0020025508004520,S0020025508004520_237
t,t,NOUN,237,t,deoxythymidine monophosphate|liothyronine|metric ton|MT|t|T|tetraiodothyronine|thymine|thyroxin|thyroxine|tonne|triiodothyronine,pyrimidine|nucleotide|base|metric weight unit|weight unit|letter|letter of the alphabet|alphabetic character|thyroid hormone,S0020025508004520,S0020025508004520_237
tests,test,NOUN,237,test,exam|examination|mental test|mental testing|psychometric test|run|test|trial|trial run|tryout,experiment|experimentation|mental measurement|communication|communicating|attempt|effort|endeavor|endeavour|try|covering|natural covering|cover,S0020025508004520,S0020025508004520_237
again,again,ADV,237,again,again|once again|once more|over again,NA,S0020025508004520,S0020025508004520_237
performed,perform,VERB,237,perform,do|execute|perform,act|move|re-create|carry through|accomplish|execute|carry out|action|fulfill|fulfil,S0020025508004520,S0020025508004520_237
average,average,NOUN,237,averag,average|norm,statistic|ratio|scale value,S0020025508004520,S0020025508004520_237
f,f,NOUN,237,f,atomic number 9|degree Fahrenheit|f|F|farad|fluorine,degree|chemical element|element|gas|halogen|capacitance unit|letter|letter of the alphabet|alphabetic character,S0020025508004520,S0020025508004520_237
