token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
last,last,ADJ,86,last,concluding|final|last|last-place|last(a)|lowest|net|terminal|utmost,NA,S0020025508004520,S0020025508004520_86
stage,stage,NOUN,86,stage,degree|leg|level|microscope stage|phase|point|stage|stagecoach,time period|period of time|period|state|platform|dramaturgy|dramatic art|dramatics|theater|theatre|coach|four-in-hand|coach-and-four|travel|traveling|travelling|scene,S0020025508004520,S0020025508004520_86
step,step,NOUN,86,step,dance step|footfall|footmark|footprint|footstep|gradation|measure|pace|stair|step|stone's throw|stride|tone|whole step|whole tone,maneuver|manoeuvre|tactical maneuver|tactical manoeuvre|indefinite quantity|locomotion|travel|support|rank|small indefinite quantity|small indefinite amount|sound|interval|musical interval|mark|print|block,S0020025508004520,S0020025508004520_86
first,first,ADV,86,first,first|first of all|first off|firstly|foremost,NA,S0020025508004520,S0020025508004520_86
nodes,node,NOUN,86,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_86
sentences,sentences,NOUN,86,sentenc,NA,NA,S0020025508004520,S0020025508004520_86
ranking,rank,NOUN,86,rank,membership|rank|rank and file|social rank|social station|social status,line|status|position|force|personnel|body,S0020025508004520,S0020025508004520_86
selected,select,VERB,86,select,choose|pick out|select|take,decide|make up one's mind|determine,S0020025508004520,S0020025508004520_86
compose,compose,VERB,86,compos,compile|compose|draw up|frame|indite|pen|write,constitute|represent|make up|comprise|be|make|create|create verbally|calm|calm down|quiet|tranquilize|tranquillize|tranquillise|quieten|lull|still|plan,S0020025508004520,S0020025508004520_86
extract,extract,NOUN,86,extract,excerpt|excerption|extract|infusion|selection,solution|passage,S0020025508004520,S0020025508004520_86
inspired,inspir,VERB,118,inspir,NA,NA,S0020025508004520,S0020025508004520_118
idea,idea,NOUN,118,idea,approximation|estimate|estimation|idea|melodic theme|mind|musical theme|theme|thought,content|cognitive content|mental object|purpose|intent|intention|aim|design|opinion|sentiment|persuasion|view|thought|calculation|computation|figuring|reckoning|tune|melody|air|strain|melodic line|line|melodic phrase,S0020025508004520,S0020025508004520_118
k,k,PROPN,118,k,NA,NA,S0020025508004520,S0020025508004520_118
cores,cor,NOUN,118,cor,NA,NA,S0020025508004520,S0020025508004520_118
defined,define,VERB,118,defin,define|delimit|delimitate|delineate|determine|fix|limit|set|specify,be|specify|set|determine|define|fix|limit|characterize|characterise|show|choose|take|select|pick out,S0020025508004520,S0020025508004520_118
type,type,NOUN,118,type,case|character|eccentric|type,kind|sort|form|variety|adult|grownup|taxonomic group|taxonomic category|taxon|character|graph|grapheme|graphic symbol|symbol|block,S0020025508004520,S0020025508004520_118
subgraph,subgraph,NOUN,118,subgraph,NA,NA,S0020025508004520,S0020025508004520_118
