token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
nevertheless,nevertheless,ADV,12,nevertheless,all the same|at the same time|even so|however|nevertheless|nonetheless|notwithstanding|still|withal|yet,NA,S0020025508004520,S0020025508004520_12
efforts,effort,NOUN,12,effort,attempt|campaign|cause|crusade|drive|effort|elbow grease|endeavor|endeavour|exertion|exploit|feat|movement|sweat|travail|try,activity|labor|labour|toil|accomplishment|achievement|venture,S0020025508004520,S0020025508004520_12
develop,develop,VERB,12,develop,acquire|arise|break|build up|develop|educate|evolve|explicate|formulate|germinate|get|grow|make grow|modernise|modernize|originate|prepare|produce|recrudesce|rise|spring up|train|uprise,create|create by mental act|create mentally|change|become|better|improve|amend|ameliorate|meliorate|speculate|theorize|theorise|conjecture|hypothesize|hypothesise|hypothecate|suppose|teach|learn|instruct|happen|hap|go on|pass off|occur|pass|fall out|come about|take place|grow|alter|modify|generate|bring forth|superimpose|superpose|lay over|play|complicate|refine|rarify|elaborate|expand,S0020025508004520,S0020025508004520_12
quality,quality,NOUN,12,qualiti,caliber|calibre|character|lineament|quality|timber|timbre|tone,attribute|degree|grade|level|property|dimension|sound property|social station|social status|social rank|rank,S0020025508004520,S0020025508004520_12
automatic,automatic,ADJ,12,automat,automatic|automatonlike|machinelike|reflex(a)|reflexive|robotic|robotlike,NA,S0020025508004520,S0020025508004520_12
summarizers,summarizer,NOUN,12,summar,NA,NA,S0020025508004520,S0020025508004520_12
improvement,improveament,NOUN,12,improvea,NA,NA,S0020025508004520,S0020025508004520_12
required,require,VERB,12,requir,ask|call for|command|demand|expect|involve|necessitate|need|postulate|require|take|want,demand|order|tell|enjoin|say|be,S0020025508004520,S0020025508004520_12
number,number,NOUN,12,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product,S0020025508004520,S0020025508004520_12
issues,issue,NOUN,12,issu,consequence|effect|egress|emergence|event|exit|government issue|issuance|issue|issuing|matter|military issue|number|offspring|outcome|outlet|payoff|proceeds|progeny|publication|result|return|subject|take|takings|topic|upshot|way out|yield,content|cognitive content|mental object|periodical|provision|supply|supplying|store|stock|fund|income|phenomenon|relative|relation|beginning|opening|printing,S0020025508004520,S0020025508004520_12
complex,complex,NOUN,19,complex,building complex|complex|composite|coordination compound,whole|compound|chemical compound|feeling|structure|construction,S0020025508004520,S0020025508004520_19
networks,network,NOUN,19,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_19
have,have,VERB,19,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA,S0020025508004520,S0020025508004520_19
attracted,attract,VERB,19,attract,appeal|attract|draw|draw in|pull|pull in,pull|draw,S0020025508004520,S0020025508004520_19
lot,lot,NOUN,19,lot,band|batch|bunch|caboodle|circle|circumstances|deal|destiny|draw|fate|flock|fortune|good deal|great deal|hatful|heap|lot|Lot|luck|mass|mess|mickle|mint|mountain|muckle|passel|peck|pile|plenty|portion|pot|quite a little|raft|set|sight|slew|spate|stack|tidy sum|wad,large indefinite quantity|large indefinite amount|tract|piece of land|piece of ground|parcel of land|parcel|social group|condition|object|physical object|collection|aggregation|accumulation|assemblage,S0020025508004520,S0020025508004520_19
attention,attention,NOUN,19,attent,aid|attending|attention|care|tending,basic cognitive process|work|attraction|attractor|attracter|attractive feature|magnet|courtesy|faculty|mental faculty|module|stance,S0020025508004520,S0020025508004520_19
since,since,ADV,19,sinc,NA,NA,S0020025508004520,S0020025508004520_19
small,small,ADJ,19,small,belittled|diminished|humble|little|low|lowly|minor|minuscule|modest|pocket-size|pocket-sized|small|small-scale|small(a),NA,S0020025508004520,S0020025508004520_19
world,world,NOUN,19,world,cosmos|creation|domain|earth|Earth|earthly concern|existence|globe|human beings|human race|humanity|humankind|humans|macrocosm|man|mankind|populace|public|reality|universe|world|worldly concern,natural object|class|stratum|social class|socio-economic class|experience|people|part|piece|concern|homo|man|human being|human|group|grouping,S0020025508004520,S0020025508004520_19
scale,scale,NOUN,19,scale,exfoliation|graduated table|musical scale|ordered series|plate|scale|scale leaf|scale of measurement|scurf|shell|weighing machine,standard|criterion|measure|touchstone|magnitude relation|quantitative relation|proportion|leaf|leafage|foliage|bit|chip|flake|fleck|scrap|musical notation|measuring instrument|measuring system|measuring device|indicator|shield|covering|natural covering|cover,S0020025508004520,S0020025508004520_19
free,free,ADJ,19,free,barren|complimentary|costless|destitute|detached|devoid|free|gratis(p)|gratuitous|innocent|liberal|loose|spare,NA,S0020025508004520,S0020025508004520_19
properties,property,NOUN,19,properti,attribute|belongings|dimension|holding|place|prop|property,possession|attribute|geographical area|geographic area|geographical region|geographic region|concept|conception|construct|object|physical object,S0020025508004520,S0020025508004520_19
identified,identify,VERB,19,identifi,describe|discover|distinguish|identify|key|key out|name|place,determine|set|denote|refer|see|consider|reckon|view|regard|associate|tie in|relate|link|colligate|link up|connect|recognize|recognise,S0020025508004520,S0020025508004520_19
many,many,ADJ,19,mani,many,NA,S0020025508004520,S0020025508004520_19
real,real,ADJ,19,real,actual|existent|genuine|literal|material|real|real(a)|substantial|tangible|veridical,NA,S0020025508004520,S0020025508004520_19
about,about,ADV,19,about,about|almost|approximately|around|close to|just about|more or less|most|near|nearly|nigh|or so|roughly|some|virtually|well-nigh,NA,S0020025508004520,S0020025508004520_19
onezero,onezero,ADV,19,onezero,NA,NA,S0020025508004520,S0020025508004520_19
years,year,NOUN,19,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage,S0020025508004520,S0020025508004520_19
ago,ago,ADV,19,ago,ago,NA,S0020025508004520,S0020025508004520_19
experimental,experimental,ADJ,62,experiment,data-based|experimental|observational,NA,S0020025508004520,S0020025508004520_62
results,result,NOUN,62,result,answer|consequence|effect|event|final result|issue|outcome|resolution|result|resultant|resultant role|solution|solvent|termination|upshot,phenomenon|statement|ending|conclusion|finish|semantic role|participant role,S0020025508004520,S0020025508004520_62
show,show,VERB,62,show,bear witness|demo|demonstrate|depict|designate|establish|evidence|evince|exhibit|express|indicate|picture|point|present|prove|read|record|register|render|shew|show|show up|testify|usher,show|confirm|corroborate|sustain|substantiate|support|affirm|inform|represent|interpret|convey|appear|indicate|read|register|record|lead|take|direct|conduct|guide|race|run,S0020025508004520,S0020025508004520_62
erkan,erkan,ADJ,62,erkan,NA,NA,S0020025508004520,S0020025508004520_62
radev,radev,NOUN,62,radev,NA,NA,S0020025508004520,S0020025508004520_62
approach,approach,NOUN,62,approach,access|advance|approach|approach path|approach shot|approaching|attack|coming|feeler|glide path|glide slope|overture|plan of attack,conceptualization|conceptualisation|formulation|motion|movement|move|way|air lane|flight path|airway|skyway|suggestion|proposition|proffer|timing|similarity|golf stroke|golf shot|swing,S0020025508004520,S0020025508004520_62
best,best,ADJ,62,best,best|best(p)|better(p),NA,S0020025508004520,S0020025508004520_62
competing,compete,VERB,62,compet,compete|contend|vie,NA,S0020025508004520,S0020025508004520_62
systems,systems,NOUN,62,system,NA,NA,S0020025508004520,S0020025508004520_62
duc,duc,NOUN,62,duc,NA,NA,S0020025508004520,S0020025508004520_62
editions,edition,NOUN,62,edit,edition|variant|variation|version,impression|printing|group|grouping|issue|number|type,S0020025508004520,S0020025508004520_62
degree,degree,NOUN,92,degre,academic degree|arcdegree|degree|grade|level|point|stage,property|state|award|accolade|honor|honour|laurels|angular unit|exponent|power|index|temperature unit|magnitude,S0020025508004520,S0020025508004520_92
ki,ki,NOUN,92,ki,ch'i|chi|ki|Ki|qi,energy|vim|vitality,S0020025508004520,S0020025508004520_92
share,share,NOUN,92,share,contribution|parcel|part|percentage|ploughshare|plowshare|portion|share,assets|stock certificate|stock|allotment|apportionment|apportioning|allocation|parceling|parcelling|assignation|attempt|effort|endeavor|endeavour|try|wedge,S0020025508004520,S0020025508004520_92
considerable,considerable,ADJ,92,consider,considerable,NA,S0020025508004520,S0020025508004520_92
number,number,NOUN,92,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product,S0020025508004520,S0020025508004520_92
connections,connections,NOUN,92,connect,NA,NA,S0020025508004520,S0020025508004520_92
other,other,ADJ,92,other,early(a)|former(a)|other|other(a),NA,S0020025508004520,S0020025508004520_92
nodes,node,NOUN,92,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_92
called,call,VERB,92,call,address|anticipate|be known as|bid|call|call in|call off|call up|cry|forebode|foretell|holler|hollo|know as|name|phone|predict|prognosticate|promise|ring|scream|send for|shout|shout out|squall|telephone|visit|yell,label|telecommunicate|utter|emit|let out|let loose|order|tell|enjoin|say|meet|get together|request|ask for|bespeak|call for|quest|read|postpone|prorogue|hold over|put over|table|shelve|set back|defer|remit|put off|address|turn to|stop|stop over|demand|exact|play|indicate|guess|venture|pretend|hazard|ask|require|expect|challenge|dispute|gainsay|declare|adjudge|hold|entice|lure|tempt|see|consider|reckon|view|regard|awaken|wake|waken|rouse|wake up|arouse,S0020025508004520,S0020025508004520_92
hubs,hub,NOUN,92,hub,hub,part|portion|center|centre|middle|heart|eye,S0020025508004520,S0020025508004520_92
neighbors,neighbor,NOUN,104,neighbor,neighbor|neighbour,person|individual|someone|somebody|mortal|soul|object|physical object,S0020025508004520,S0020025508004520_104
node,node,NOUN,104,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_104
share,share,NOUN,104,share,contribution|parcel|part|percentage|ploughshare|plowshare|portion|share,assets|stock certificate|stock|allotment|apportionment|apportioning|allocation|parceling|parcelling|assignation|attempt|effort|endeavor|endeavour|try|wedge,S0020025508004520,S0020025508004520_104
few,few,ADJ,104,few,few,NA,S0020025508004520,S0020025508004520_104
connections,connections,NOUN,104,connect,NA,NA,S0020025508004520,S0020025508004520_104
remaining,remain,VERB,104,remain,continue|persist|remain|rest|stay|stay on,be,S0020025508004520,S0020025508004520_104
nodes,node,NOUN,104,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_104
network,network,NOUN,104,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_104
have,have,VERB,104,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA,S0020025508004520,S0020025508004520_104
localized,localize,VERB,104,local,focalise|focalize|localise|localize|place|set,situate|locate|lie|restrict|control|stage|present|represent,S0020025508004520,S0020025508004520_104
connectivity,connectivity,NOUN,104,connect,connectivity,property,S0020025508004520,S0020025508004520_104
