token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
researches,researches,NOUN,7,research,NA,NA,S0020025514004137,S0020025514004137_7
classified,classify,VERB,7,classifi,assort|class|classify|relegate|separate|sort|sort out,categorize|categorise|restrict|control|assign|attribute,S0020025514004137,S0020025514004137_7
general,general,ADJ,7,gener,cosmopolitan|ecumenical|general|oecumenical|universal|world-wide|worldwide,NA,S0020025514004137,S0020025514004137_7
parts,part,NOUN,7,part,character|component|component part|constituent|contribution|division|function|office|part|parting|percentage|persona|piece|portion|region|role|section|share|theatrical role|voice,relation|object|physical object|thing|concern|location|duty|portrayal|characterization|enactment|personation|assets|concept|conception|construct|line|tune|melody|air|strain|melodic line|melodic phrase|attempt|effort|endeavor|endeavour|try|item,S0020025514004137,S0020025514004137_7
once,once,ADV,82,onc,at one time|erst|erstwhile|formerly|in one case|once|one time,NA,S0020025514009608,S0020025514009608_82
data,data,NOUN,82,data,data|information,collection|aggregation|accumulation|assemblage,S0020025514009608,S0020025514009608_82
item,item,NOUN,82,item,detail|item|particular|point|token,part|portion|component part|component|constituent|whole|unit|fact|symbol,S0020025514009608,S0020025514009608_82
inserted,insert,VERB,82,insert,enclose|enter|inclose|infix|insert|introduce|put in|slip in|sneak in|stick in|tuck,attach|put|set|place|pose|position|lay|enclose|close in|inclose|shut in|add|append|supply,S0020025514009608,S0020025514009608_82
class,class,NOUN,82,class,category|class|course|course of instruction|course of study|division|family|form|grade|social class|socio-economic class|stratum|year,collection|aggregation|accumulation|assemblage|gathering|people|education|instruction|teaching|pedagogy|didactics|educational activity|league|conference|taxonomic group|taxonomic category|taxon|elegance,S0020025514009608,S0020025514009608_82
analyzes,analyzes,NOUN,82,analyz,NA,NA,S0020025514009608,S0020025514009608_82
independent,independent,ADJ,82,independ,autonomous|independent|main(a)|self-governing|sovereign,NA,S0020025514009608,S0020025514009608_82
manner,manner,NOUN,82,manner,fashion|manner|mode|personal manner|style|way,property|demeanor|demeanour|behavior|behaviour|conduct|deportment|kind|sort|form|variety,S0020025514009608,S0020025514009608_82
structural,structural,ADJ,82,structur,geomorphologic|geomorphological|morphologic|morphological|structural,NA,S0020025514009608,S0020025514009608_82
impacts,impact,NOUN,82,impact,encroachment|impact|impingement|shock|wallop,contact|impinging|striking|consequence|effect|outcome|result|event|issue|upshot|influence|fight|fighting|combat|scrap,S0020025514009608,S0020025514009608_82
insertion,insertion,NOUN,82,insert,insertion|interpolation|introduction|intromission,message|content|subject matter|substance|movement,S0020025514009608,S0020025514009608_82
caused,cause,VERB,82,caus,cause|do|get|have|induce|make|stimulate,make|create,S0020025514009608,S0020025514009608_82
component,component,ADJ,82,compon,NA,NA,S0020025514009608,S0020025514009608_82
terms,term,NOUN,176,term,condition|full term|strings|term|terminal figure|terminus,word|time period|period of time|period|statement|quantity|constituent|grammatical constituent|point|point in time|statue,S0020025514009608,S0020025514009608_176
memory,memory,NOUN,176,memori,computer memory|computer storage|memory|memory board|remembering|retention|retentiveness|retentivity|storage|store,representation|mental representation|internal representation|basic cognitive process|faculty|mental faculty|module|memory device|storage device|hardware|computer hardware|cognitive psychology,S0020025514009608,S0020025514009608_176
cost,cost,NOUN,176,cost,cost|monetary value|price|toll,outgo|spending|expenditure|outlay|value,S0020025514009608,S0020025514009608_176
critical,critical,ADJ,176,critic,critical|decisive|vital,NA,S0020025514009608,S0020025514009608_176
step,step,NOUN,176,step,dance step|footfall|footmark|footprint|footstep|gradation|measure|pace|stair|step|stone's throw|stride|tone|whole step|whole tone,maneuver|manoeuvre|tactical maneuver|tactical manoeuvre|indefinite quantity|locomotion|travel|support|rank|small indefinite quantity|small indefinite amount|sound|interval|musical interval|mark|print|block,S0020025514009608,S0020025514009608_176
when,when,ADV,176,when,NA,NA,S0020025514009608,S0020025514009608_176
builds,build,NOUN,176,build,anatomy|bod|body-build|build|chassis|figure|flesh|form|frame|habitus|human body|material body|physical body|physique|shape|soma,bodily property|body|organic structure,S0020025514009608,S0020025514009608_176
distance,distance,NOUN,176,distanc,aloofness|distance|length|space,spacing|spatial arrangement|region|part|size|indifference|time interval|interval|point|point in time,S0020025514009608,S0020025514009608_176
matrix,matrix,NOUN,176,matrix,ground substance|intercellular substance|matrix,array|rock|stone|enclosure|natural enclosure|body substance|animal tissue|mold|mould|cast,S0020025514009608,S0020025514009608_176
raw,raw,ADJ,176,raw,bare-ass|bare-assed|bleak|crude|cutting|in the altogether|in the buff|in the raw|naked|naked as a jaybird|natural|new|peeled|raw|raw(a)|rude(a)|sensitive|sore|stark naked|tender|unsanded,NA,S0020025514009608,S0020025514009608_176
data,data,NOUN,176,data,data|information,collection|aggregation|accumulation|assemblage,S0020025514009608,S0020025514009608_176
general,general,ADJ,280,gener,cosmopolitan|ecumenical|general|oecumenical|universal|world-wide|worldwide,NA,S0020025514009608,S0020025514009608_280
proposed,propose,VERB,280,propos,advise|aim|declare oneself|nominate|offer|pop the question|project|propose|purport|purpose|suggest,declare|plan|intend|mean|think|choose|take|select|pick out|request,S0020025514009608,S0020025514009608_280
technique,technique,NOUN,280,techniqu,proficiency|technique,method|skillfulness,S0020025514009608,S0020025514009608_280
able,able,ADJ,280,abl,able|able-bodied|capable,NA,S0020025514009608,S0020025514009608_280
boost,boost,NOUN,280,boost,boost|cost increase|encouragement|hike|rise,aid|assist|assistance|help|increase|increment|push|pushing,S0020025514009608,S0020025514009608_280
accuracy,accuracy,NOUN,280,accuraci,accuracy|truth,quality,S0020025514009608,S0020025514009608_280
rates,rate,NOUN,280,rate,charge per unit|pace|rate,magnitude relation|quantitative relation|charge|temporal property|proportion,S0020025514009608,S0020025514009608_280
data,data,NOUN,280,data,data|information,collection|aggregation|accumulation|assemblage,S0020025514009608,S0020025514009608_280
