token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
cn,cn,NOUN,173,cn,NA,NA,S0020025508004520,S0020025508004520_173
summ,summ,NOUN,173,summ,NA,NA,S0020025508004520,S0020025508004520_173
versions,version,NOUN,173,version,adaptation|edition|interlingual rendition|interpretation|reading|rendering|translation|variant|variation|version,interpretation|type|writing|written material|piece of writing|written record|written account|representation|mental representation|internal representation|turn|turning,S0020025508004520,S0020025508004520_173
best,best,ADJ,173,best,best|best(p)|better(p),NA,S0020025508004520,S0020025508004520_173
systems,systems,NOUN,173,system,NA,NA,S0020025508004520,S0020025508004520_173
portuguese,portuguese,NOUN,173,portugues,Portuguese,Romance|Romance language|Latinian language|European,S0020025508004520,S0020025508004520_173
summarization,summarization,NOUN,173,summar,summarisation|summarization,report|account,S0020025508004520,S0020025508004520_173
f,f,NOUN,173,f,atomic number 9|degree Fahrenheit|f|F|farad|fluorine,degree|chemical element|element|gas|halogen|capacitance unit|letter|letter of the alphabet|alphabetic character,S0020025508004520,S0020025508004520_173
measure,measure,NOUN,173,measur,amount|bar|beat|bill|cadence|criterion|measure|measurement|measuring|measuring rod|measuring stick|mensuration|meter|metre|quantity|standard|step|touchstone,maneuver|manoeuvre|tactical maneuver|tactical manoeuvre|abstraction|abstract entity|legal document|legal instrument|official document|instrument|activity|system of measurement|metric|poetic rhythm|rhythmic pattern|prosody|musical notation|measuring instrument|measuring system|measuring device|container,S0020025508004520,S0020025508004520_173
around,around,ADV,173,around,about|approximately|around|close to|just about|more or less|or so|roughly|round|some,NA,S0020025508004520,S0020025508004520_173
results,result,NOUN,228,result,answer|consequence|effect|event|final result|issue|outcome|resolution|result|resultant|resultant role|solution|solvent|termination|upshot,phenomenon|statement|ending|conclusion|finish|semantic role|participant role,S0020025508004520,S0020025508004520_228
show,show,VERB,228,show,bear witness|demo|demonstrate|depict|designate|establish|evidence|evince|exhibit|express|indicate|picture|point|present|prove|read|record|register|render|shew|show|show up|testify|usher,show|confirm|corroborate|sustain|substantiate|support|affirm|inform|represent|interpret|convey|appear|indicate|read|register|record|lead|take|direct|conduct|guide|race|run,S0020025508004520,S0020025508004520_228
significant,significant,ADJ,228,signific,important|meaning(a)|pregnant|significant|substantial,NA,S0020025508004520,S0020025508004520_228
differences,difference,NOUN,228,differ,conflict|departure|deviation|difference|difference of opinion|dispute|divergence|remainder,quality|variation|fluctuation|disagreement|change|number,S0020025508004520,S0020025508004520_228
only,only,ADV,228,onli,alone|but|entirely|exclusively|just|merely|only|only if|only when|simply|solely,NA,S0020025508004520,S0020025508004520_228
found,find,VERB,228,find,ascertain|bump|chance|come up|detect|determine|discover|encounter|feel|find|find oneself|find out|get|get hold|happen|incur|line up|notice|observe|obtain|receive|recover|regain|retrieve|rule|see|witness,spy|sight|get|acquire|reason|reason out|conclude|experience|see|go through|gestate|conceive|conceptualize|conceptualise|learn|hear|get word|get wind|pick up|find out|get a line|discover|pronounce|label|judge|change|perceive|comprehend|reach|make|attain|hit|arrive at|gain|mature|maturate|grow,S0020025508004520,S0020025508004520_228
few,few,ADJ,228,few,few,NA,S0020025508004520,S0020025508004520_228
top,top,ADJ,228,top,top(a),NA,S0020025508004520,S0020025508004520_228
scoring,scoring,NOUN,228,score,grading|marking|scoring,evaluation|rating,S0020025508004520,S0020025508004520_228
low,low,ADJ,228,low,abject|blue|broken|crushed|depleted|depressed|dispirited|down in the mouth|down(p)|downcast|downhearted|gloomy|grim|humble|humbled|humiliated|low|low-down|low-pitched|low-spirited|low-toned|lowly|miserable|modest|scummy|scurvy|small,NA,S0020025508004520,S0020025508004520_228
systems,systems,NOUN,228,system,NA,NA,S0020025508004520,S0020025508004520_228
probably,probably,ADV,265,probabl,believably|belike|credibly|in all likelihood|in all probability|likely|plausibly|probably,NA,S0020025508004520,S0020025508004520_265
strategies,strategy,NOUN,265,strategi,scheme|strategy,plan of action|military science,S0020025508004520,S0020025508004520_265
have,have,VERB,265,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA,S0020025508004520,S0020025508004520_265
biased,biase,ADJ,265,bias,NA,NA,S0020025508004520,S0020025508004520_265
cn,cn,NOUN,265,cn,NA,NA,S0020025508004520,S0020025508004520_265
voting,voting,NOUN,265,vote,ballot|balloting|vote|voting,choice|selection|option|pick,S0020025508004520,S0020025508004520_265
as,as,ADV,265,a,as|equally|every bit,NA,S0020025508004520,S0020025508004520_265
majority,majority,NOUN,265,major,absolute majority|bulk|legal age|majority,number|figure|relative quantity|age|eld,S0020025508004520,S0020025508004520_265
summ,summ,NOUN,265,summ,NA,NA,S0020025508004520,S0020025508004520_265
vote,vote,NOUN,265,vote,ballot|balloting|right to vote|suffrage|vote|voter turnout|voting,choice|selection|option|pick|group action|franchise|enfranchisement|body|numerical quantity,S0020025508004520,S0020025508004520_265
same,same,ADJ,265,same,like|same|same(p),NA,S0020025508004520,S0020025508004520_265
sentences,sentences,NOUN,265,sentenc,NA,NA,S0020025508004520,S0020025508004520_265
included,include,VERB,265,includ,admit|include|let in,see|consider|reckon|view|regard|add|permit|allow|let|countenance,S0020025508004520,S0020025508004520_265
extract,extract,NOUN,265,extract,excerpt|excerption|extract|infusion|selection,solution|passage,S0020025508004520,S0020025508004520_265
tangible,tangible,ADJ,10,tangibl,palpable|real|tangible|touchable,NA,S0020025514004137,S0020025514004137_10
aspect,aspect,NOUN,10,aspect,aspect|expression|face|facet|facial expression|look|panorama|prospect|scene|view|vista,feature|characteristic|visual percept|visual image|grammatical relation|countenance|visage,S0020025514004137,S0020025514004137_10
analyzed,analyze,VERB,10,analyz,analyse|analyze|break down|canvass|dissect|examine|psychoanalyse|psychoanalyze|study|take apart,treat|care for,S0020025514004137,S0020025514004137_10
hochstrasser,hochstrasser,NOUN,10,hochstrass,NA,NA,S0020025514004137,S0020025514004137_10
model,model,NOUN,10,model,example|exemplar|fashion model|framework|good example|manakin|manikin|mannequin|mannikin|model|modeling|modelling|poser|role model|simulation|theoretical account,hypothesis|possibility|theory|kind|sort|form|variety|assistant|helper|help|supporter|representation|ideal|leader|mental representation|internal representation,S0020025514004137,S0020025514004137_10
intangible,intangible,ADJ,10,intang,impalpable|intangible|nonphysical,NA,S0020025514004137,S0020025514004137_10
engaged,engage,VERB,10,engag,absorb|affiance|betroth|charter|employ|engage|engross|enlist|hire|lease|lock|mesh|occupy|operate|plight|prosecute|pursue|rent|take|wage,act|move|interest|hire|engage|employ|vow|touch|contend|fight|struggle|procure|secure|get|acquire|displace,S0020025514004137,S0020025514004137_10
evaluation,evaluation,NOUN,10,evalu,evaluation|rating|valuation,judgment|judgement|assessment|appraisal,S0020025514004137,S0020025514004137_10
approach,approach,NOUN,10,approach,access|advance|approach|approach path|approach shot|approaching|attack|coming|feeler|glide path|glide slope|overture|plan of attack,conceptualization|conceptualisation|formulation|motion|movement|move|way|air lane|flight path|airway|skyway|suggestion|proposition|proffer|timing|similarity|golf stroke|golf shot|swing,S0020025514004137,S0020025514004137_10
combined,combine,VERB,10,combin,aggregate|blend|coalesce|combine|commingle|compound|conflate|flux|fuse|immix|meld|merge|mix|unite,have|feature|add|mix|mingle|commix|unify|amalgamate|contribute|give|chip in|kick in|interact|change integrity,S0020025514004137,S0020025514004137_10
value,value,NOUN,10,valu,economic value|note value|time value|value,numerical quantity|worth|measure|quantity|amount|color property|duration|continuance|ideal,S0020025514004137,S0020025514004137_10
drives,drive,NOUN,10,drive,campaign|cause|crusade|drive|driveway|driving|driving force|effort|movement|parkway|private road|ride|thrust,propulsion|actuation|mechanism|venture|road|route|trait|golf stroke|golf shot|swing|transportation|transport|transfer|transferral|conveyance|journey|journeying|physical condition|physiological state|physiological condition|device|return,S0020025514004137,S0020025514004137_10
corporation,corporation,NOUN,10,corpor,bay window|corp|corporation|pot|potbelly|tummy,firm|house|business firm|belly|paunch,S0020025514004137,S0020025514004137_10
creation,creation,NOUN,10,creation,conception|cosmos|creation|Creation|creative activity|existence|foundation|founding|initiation|innovation|instauration|institution|introduction|macrocosm|origination|universe|world,activity|artifact|artefact|beginning|start|commencement|natural object,S0020025514004137,S0020025514004137_10
processes,processis,NOUN,10,processi,NA,NA,S0020025514004137,S0020025514004137_10
techniques,techniques,NOUN,5,techniqu,NA,NA,S0020025514009608,S0020025514009608_5
predict,predict,NOUN,5,predict,NA,NA,S0020025514009608,S0020025514009608_5
class,class,NOUN,5,class,category|class|course|course of instruction|course of study|division|family|form|grade|social class|socio-economic class|stratum|year,collection|aggregation|accumulation|assemblage|gathering|people|education|instruction|teaching|pedagogy|didactics|educational activity|league|conference|taxonomic group|taxonomic category|taxon|elegance,S0020025514009608,S0020025514009608_5
labels,label,NOUN,5,label,label|recording label,description|trade name|brand name|brand|marque|radioisotope|marker|marking|mark,S0020025514009608,S0020025514009608_5
using,use,VERB,5,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move,S0020025514009608,S0020025514009608_5
only,only,ADV,5,onli,alone|but|entirely|exclusively|just|merely|only|only if|only when|simply|solely,NA,S0020025514009608,S0020025514009608_5
physical,physical,ADJ,5,physic,forcible|physical|strong-arm,NA,S0020025514009608,S0020025514009608_5
features,feature,NOUN,5,featur,characteristic|feature|feature article|feature film|feature of speech|lineament,property|attribute|dimension|body part|movie|film|picture|moving picture|moving-picture show|motion picture|motion-picture show|picture show|pic|flick|article|merchandise|ware|product,S0020025514009608,S0020025514009608_5
called,call,VERB,5,call,address|anticipate|be known as|bid|call|call in|call off|call up|cry|forebode|foretell|holler|hollo|know as|name|phone|predict|prognosticate|promise|ring|scream|send for|shout|shout out|squall|telephone|visit|yell,label|telecommunicate|utter|emit|let out|let loose|order|tell|enjoin|say|meet|get together|request|ask for|bespeak|call for|quest|read|postpone|prorogue|hold over|put over|table|shelve|set back|defer|remit|put off|address|turn to|stop|stop over|demand|exact|play|indicate|guess|venture|pretend|hazard|ask|require|expect|challenge|dispute|gainsay|declare|adjudge|hold|entice|lure|tempt|see|consider|reckon|view|regard|awaken|wake|waken|rouse|wake up|arouse,S0020025514009608,S0020025514009608_5
low,low,ADJ,5,low,abject|blue|broken|crushed|depleted|depressed|dispirited|down in the mouth|down(p)|downcast|downhearted|gloomy|grim|humble|humbled|humiliated|low|low-down|low-pitched|low-spirited|low-toned|lowly|miserable|modest|scummy|scurvy|small,NA,S0020025514009608,S0020025514009608_5
level,level,NOUN,5,level,degree|floor|grade|horizontal surface|layer|level|point|spirit level|stage|storey|story|stratum|tier,property|rank|state|altitude|height|indicator|surface|place|structure|construction,S0020025514009608,S0020025514009608_5
classification,classification,NOUN,5,classif,assortment|categorisation|categorization|classification|compartmentalisation|compartmentalization|sorting,grouping|arrangement|basic cognitive process|restriction|confinement,S0020025514009608,S0020025514009608_5
reason,reason,NOUN,18,reason,cause|ground|grounds|intellect|rationality|reason|reasonableness|understanding,rational motive|explanation|account|faculty|mental faculty|module|sanity|saneness|justification|fact,S0020025514009608,S0020025514009608_18
here,here,ADV,18,here,here|hither,NA,S0020025514009608,S0020025514009608_18
show,show,VERB,18,show,bear witness|demo|demonstrate|depict|designate|establish|evidence|evince|exhibit|express|indicate|picture|point|present|prove|read|record|register|render|shew|show|show up|testify|usher,show|confirm|corroborate|sustain|substantiate|support|affirm|inform|represent|interpret|convey|appear|indicate|read|register|record|lead|take|direct|conduct|guide|race|run,S0020025514009608,S0020025514009608_18
how,how,ADV,18,how,NA,NA,S0020025514009608,S0020025514009608_18
networks,network,NOUN,18,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025514009608,S0020025514009608_18
topological,topological,ADJ,18,topolog,topologic|topological,NA,S0020025514009608,S0020025514009608_18
properties,property,NOUN,18,properti,attribute|belongings|dimension|holding|place|prop|property,possession|attribute|geographical area|geographic area|geographical region|geographic region|concept|conception|construct|object|physical object,S0020025514009608,S0020025514009608_18
help,help,VERB,18,help,aid|assist|avail|facilitate|help|help oneself|serve,support|back up|better|improve|amend|ameliorate|meliorate|serve|refrain|forbear|provide|supply|ply|cater|promote|advance|boost|further|encourage|exploit|work,S0020025514009608,S0020025514009608_18
identifying,identify,VERB,18,identifi,describe|discover|distinguish|identify|key|key out|name|place,determine|set|denote|refer|see|consider|reckon|view|regard|associate|tie in|relate|link|colligate|link up|connect|recognize|recognise,S0020025514009608,S0020025514009608_18
pattern,pattern,NOUN,18,pattern,approach pattern|blueprint|convention|design|figure|form|formula|normal|pattern|practice|radiation diagram|radiation pattern|rule|shape|traffic pattern,structure|activity|decoration|ornament|ornamentation|practice|exemplar|example|model|good example|plan|program|programme|path|route|itinerary|graph|graphical record|graphical recording,S0020025514009608,S0020025514009608_18
formation,formation,NOUN,18,format,constitution|establishment|formation|geological formation|organisation|organization|shaping,arrangement|fabrication|manufacture|manufacturing|beginning|start|commencement|object|physical object|placement|natural process|natural action|action|activity|creating by mental acts,S0020025514009608,S0020025514009608_18
consequently,consequently,ADV,18,consequ,accordingly|consequently|therefore,NA,S0020025514009608,S0020025514009608_18
used,use,VERB,18,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move,S0020025514009608,S0020025514009608_18
general,general,ADJ,18,gener,cosmopolitan|ecumenical|general|oecumenical|universal|world-wide|worldwide,NA,S0020025514009608,S0020025514009608_18
level,level,NOUN,18,level,degree|floor|grade|horizontal surface|layer|level|point|spirit level|stage|storey|story|stratum|tier,property|rank|state|altitude|height|indicator|surface|place|structure|construction,S0020025514009608,S0020025514009608_18
classification,classification,NOUN,18,classif,assortment|categorisation|categorization|classification|compartmentalisation|compartmentalization|sorting,grouping|arrangement|basic cognitive process|restriction|confinement,S0020025514009608,S0020025514009608_18
finally,finally,ADV,141,final,at last|at long last|eventually|finally|in conclusion|in the end|last|lastly|ultimately,NA,S0020025514009608,S0020025514009608_141
didactic,didactic,ADJ,141,didact,didactic|didactical,NA,S0020025514009608,S0020025514009608_141
purposes,purpose,NOUN,141,purpos,aim|design|determination|function|intent|intention|purpose|role|use,goal|end|utility|usefulness|resoluteness|firmness|firmness of purpose|resolve|resolution,S0020025514009608,S0020025514009608_141
provide,provide,VERB,141,provid,allow|allow for|bring home the bacon|cater|furnish|leave|offer|ply|provide|put up|render|supply,give|stipulate|qualify|condition|specify|engage|wage|yield|afford|support|fix|prepare|set up|ready|gear up|set,S0020025514009608,S0020025514009608_141
exemplificative,exemplificative,ADJ,141,exemplif,NA,NA,S0020025514009608,S0020025514009608_141
algorithms,algorithm,NOUN,141,algorithm,algorithm|algorithmic program|algorithmic rule,rule|formula,S0020025514009608,S0020025514009608_141
