token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
remainder,remainder,NOUN,36,remaind,balance|difference|end|oddment|remainder|remnant|residual|residue|residuum|rest,part|portion|component part|component|constituent|number|piece of cloth|piece of material,S0020025508004520,S0020025508004520_36
paper,paper,NOUN,36,paper,composition|newspaper|newspaper publisher|paper|report|theme,material|stuff|essay|press|public press|medium|article|publisher|publishing house|publishing firm|publishing company|product|production,S0020025508004520,S0020025508004520_36
organized,organize,ADJ,36,organ,NA,NA,S0020025508004520,S0020025508004520_36
as,as,ADV,36,a,as|equally|every bit,NA,S0020025508004520,S0020025508004520_36
follows,follow,VERB,36,follow,abide by|accompany|adopt|be|come|come after|comply|conform to|espouse|fall out|follow|keep abreast|keep an eye on|keep up|observe|play along|postdate|pursue|stick to|stick with|succeed|surveil|survey|take after|trace|travel along|watch|watch over,travel|go|move|locomote|result|ensue|obey|imitate|copy|simulate|be|choose|take|select|pick out|analyze|analyse|study|examine|canvass|check|check up on|look into|check out|suss out|check over|go over|check into|play|originate|arise|rise|develop|uprise|spring up|grow|act|behave|do|practice|apply|use|understand|persevere|persist|hang in|hang on|hold on,S0020025508004520,S0020025508004520_36
evaluation,evaluation,NOUN,45,evalu,evaluation|rating|valuation,judgment|judgement|assessment|appraisal,S0020025508004520,S0020025508004520_45
corpus,corpus,NOUN,45,corpu,corpus|principal|principal sum,capital|collection|aggregation|accumulation|assemblage|part|piece,S0020025508004520,S0020025508004520_45
fivezero,fivezero,NOUN,45,fivezero,NA,NA,S0020025508004520,S0020025508004520_45
texts,texts,NOUN,45,text,NA,NA,S0020025508004520,S0020025508004520_45
english,english,NOUN,45,english,English|English language|English people|side,West Germanic|West Germanic language|nation|land|country|humanistic discipline|humanities|liberal arts|arts|spin,S0020025508004520,S0020025508004520_45
best,best,ADJ,45,best,best|best(p)|better(p),NA,S0020025508004520,S0020025508004520_45
have,have,VERB,45,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA,S0020025508004520,S0020025508004520_45
chosen,chosen,NOUN,45,chosen,chosen|Chosen|elect,darling|favorite|favourite|pet|dearie|deary|ducky|elite|elite group,S0020025508004520,S0020025508004520_45
paragraphs,paragraph,NOUN,45,paragraph,paragraph,writing|written material|piece of writing,S0020025508004520,S0020025508004520_45
selected,select,VERB,45,select,choose|pick out|select|take,decide|make up one's mind|determine,S0020025508004520,S0020025508004520_45
human,human,ADJ,45,human,human,NA,S0020025508004520,S0020025508004520_45
summarizers,summarizer,NOUN,45,summar,NA,NA,S0020025508004520,S0020025508004520_45
nevertheless,nevertheless,ADV,76,nevertheless,all the same|at the same time|even so|however|nevertheless|nonetheless|notwithstanding|still|withal|yet,NA,S0020025508004520,S0020025508004520_76
sentences,sentences,NOUN,76,sentenc,NA,NA,S0020025508004520,S0020025508004520_76
contain,contain,NOUN,76,contain,NA,NA,S0020025508004520,S0020025508004520_76
redundant,redundant,ADJ,76,redund,excess|extra|pleonastic|redundant|spare|supererogatory|superfluous|supernumerary|surplus|tautologic|tautological,NA,S0020025508004520,S0020025508004520_76
information,information,NOUN,76,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure,S0020025508004520,S0020025508004520_76
length,length,NOUN,102,length,distance|duration|length,fundamental quantity|fundamental measure|physical property|dimension|temporal property|extent|size|section|segment,S0020025508004520,S0020025508004520_102
dij,dij,PROPN,102,dij,NA,NA,S0020025508004520,S0020025508004520_102
components,component,NOUN,52,compon,component|component part|constituent|element|factor|ingredient|part|portion,part|section|division|relation|portion,S0020025514004137,S0020025514004137_52
statistically,statistically,ADV,52,statist,statistically,NA,S0020025514004137,S0020025514004137_52
independent,independent,ADJ,52,independ,autonomous|independent|main(a)|self-governing|sovereign,NA,S0020025514004137,S0020025514004137_52
other,other,ADJ,52,other,early(a)|former(a)|other|other(a),NA,S0020025514004137,S0020025514004137_52
ωmin,ωmin,NOUN,65,ωmin,NA,NA,S0020025514004137,S0020025514004137_65
set,set,VERB,65,set,adjust|arrange|coif|coiffe|coiffure|congeal|correct|countersink|define|determine|do|dress|fix|fructify|gear up|go down|go under|jell|lay|lay out|limit|localise|localize|mark|place|plant|pose|position|prepare|put|ready|rig|set|set up|sic|specify|typeset,move|displace|choose|take|select|pick out|lay down|establish|make|change|alter|modify|arrange|set up|adjust|set|correct|stage|present|represent|descend|fall|go down|come down|compose|write|put|place|pose|position|lay|originate|initiate|start|solidify|print|impress|bury|sink|hone|assail|assault|set on|attack|estimate|gauge|approximate|guess|judge|equip|fit|fit out|outfit|fix|prepare|ready|gear up|reproduce|procreate|multiply|groom|neaten,S0020025514004137,S0020025514004137_65
lower,lower,ADJ,65,lower,NA,NA,S0020025514004137,S0020025514004137_65
