token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
particularly,particularly,ADV,11,particularli,especially|in particular|particularly|peculiarly|specially,NA,S0020025508004520,S0020025508004520_11
true,true,ADJ,11,true,dead on target|dependable|genuine|honest|lawful|on-key|reliable|rightful(a)|straight|true|true(a)|true(p)|truthful|unfeigned,NA,S0020025508004520,S0020025508004520_11
when,when,ADV,11,when,NA,NA,S0020025508004520,S0020025508004520_11
extract,extract,NOUN,11,extract,excerpt|excerption|extract|infusion|selection,solution|passage,S0020025508004520,S0020025508004520_11
used,use,VERB,11,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move,S0020025508004520,S0020025508004520_11
as,as,ADV,11,a,as|equally|every bit,NA,S0020025508004520,S0020025508004520_11
component,component,ADJ,11,compon,NA,NA,S0020025508004520,S0020025508004520_11
system,system,NOUN,11,system,arrangement|organisation|organization|scheme|system|system of rules,instrumentality|instrumentation|group|grouping|matter|method|structure|body part|plan of action|live body|orderliness|methodicalness,S0020025508004520,S0020025508004520_11
information,information,NOUN,11,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure,S0020025508004520,S0020025508004520_11
retrieval,retrieval,NOUN,11,retriev,recovery|retrieval,computer operation|machine operation|memory|remembering|act|deed|human action|human activity,S0020025508004520,S0020025508004520_11
directly,directly,ADV,11,directli,at once|direct|directly|flat|forthwith|immediately|instantly|like a shot|now|right away|straight|straight off|straightaway,NA,S0020025508004520,S0020025508004520_11
humans,human,NOUN,11,human,homo|human|human being|man,hominid,S0020025508004520,S0020025508004520_11
detailed,detailead,ADJ,58,detailead,NA,NA,S0020025508004520,S0020025508004520_58
results,result,NOUN,58,result,answer|consequence|effect|event|final result|issue|outcome|resolution|result|resultant|resultant role|solution|solvent|termination|upshot,phenomenon|statement|ending|conclusion|finish|semantic role|participant role,S0020025508004520,S0020025508004520_58
reported,report,VERB,58,report,account|cover|describe|report,inform|announce|denote|complain|kick|plain|sound off|quetch|kvetch,S0020025508004520,S0020025508004520_58
section,section,NOUN,58,section,department|discussion section|division|incision|part|plane section|section|segment|subdivision|surgical incision,writing|written material|piece of writing|music|slice|area|country|part|portion|team|squad|concept|conception|construct|square mile|expanse|surface area|class|form|grade|course|musical organization|musical organisation|musical group|army unit|division|segment|cut|cutting,S0020025508004520,S0020025508004520_58
when,when,ADV,178,when,NA,NA,S0020025508004520,S0020025508004520_178
comparing,compare,VERB,178,compar,compare|equate|liken,analyze|analyse|study|examine|canvass|be|consider|inflect,S0020025508004520,S0020025508004520_178
summarization,summarization,NOUN,178,summar,summarisation|summarization,report|account,S0020025508004520,S0020025508004520_178
approach,approach,NOUN,178,approach,access|advance|approach|approach path|approach shot|approaching|attack|coming|feeler|glide path|glide slope|overture|plan of attack,conceptualization|conceptualisation|formulation|motion|movement|move|way|air lane|flight path|airway|skyway|suggestion|proposition|proffer|timing|similarity|golf stroke|golf shot|swing,S0020025508004520,S0020025508004520_178
others,other,NOUN,178,other,NA,NA,S0020025508004520,S0020025508004520_178
cn,cn,NOUN,178,cn,NA,NA,S0020025508004520,S0020025508004520_178
voting,voting,NOUN,178,vote,ballot|balloting|vote|voting,choice|selection|option|pick,S0020025508004520,S0020025508004520_178
has,have,VERB,178,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA,S0020025508004520,S0020025508004520_178
higher,higher,ADJ,178,higher,higher(a),NA,S0020025508004520,S0020025508004520_178
precision,precision,NOUN,178,precis,preciseness|precision,exactness|exactitude,S0020025508004520,S0020025508004520_178
classsumm,classsumm,NOUN,178,classsumm,NA,NA,S0020025508004520,S0020025508004520_178
supor,supor,NOUN,178,supor,NA,NA,S0020025508004520,S0020025508004520_178
recall,recall,VERB,178,recal,call back|call in|call up|come back|echo|hark back|recall|recollect|remember|retrieve|return|think|withdraw,denote|refer|resemble|call|send for|concentrate|focus|center|centre|pore|rivet|cancel|strike down|take,S0020025508004520,S0020025508004520_178
moreover,moreover,ADV,198,moreov,furthermore|moreover|what is more,NA,S0020025508004520,S0020025508004520_198
