token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
therefore,therefore,ADV,5,therefor,consequently|hence|so|thence|therefore|thus,NA,S0020025508004520,S0020025508004520_5
humans,human,NOUN,5,human,homo|human|human being|man,hominid,S0020025508004520,S0020025508004520_5
usually,usually,ADV,5,usual,commonly|normally|ordinarily|unremarkably|usually,NA,S0020025508004520,S0020025508004520_5
produce,produce,VERB,5,produc,acquire|bring about|bring forth|bring on|bring out|create|develop|farm|get|give rise|grow|make|produce|raise,make|create|expose|exhibit|display|cultivate|change,S0020025508004520,S0020025508004520_5
abstracts,abstract,NOUN,5,abstract,abstract|abstraction|outline|precis|synopsis,concept|conception|construct|summary|sum-up,S0020025508004520,S0020025508004520_5
note,note,NOUN,74,note,annotation|bank bill|bank note|banker's bill|banknote|bill|billet|distinction|eminence|Federal Reserve note|government note|greenback|line|musical note|notation|note|note of hand|preeminence|promissory note|short letter|tone,written record|written account|personal letter|musical notation|tone|tone of voice|air|aura|atmosphere|paper money|folding money|paper currency|comment|commentary|high status|debt instrument|obligation|certificate of indebtedness,S0020025508004520,S0020025508004520_74
noun,noun,ADV,74,noun,NA,NA,S0020025508004520,S0020025508004520_74
university,university,NOUN,74,univers,university,body|establishment|educational institution,S0020025508004520,S0020025508004520_74
figure,figure,VERB,74,figur,calculate|cipher|compute|count on|cypher|enter|envision|estimate|fancy|figure|forecast|image|picture|project|reckon|see|visualise|visualize|work out,evaluate|pass judgment|judge|be|imagine|conceive of|ideate|envisage|reason|grok|get the picture|comprehend|savvy|dig|grasp|compass|apprehend,S0020025508004520,S0020025508004520_74
has,have,VERB,74,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA,S0020025508004520,S0020025508004520_74
highlighted,highlight,ADJ,74,highlight,NA,NA,S0020025508004520,S0020025508004520_74
allowed,allow,VERB,74,allow,admit|allow|allow for|appropriate|countenance|earmark|give up|grant|leave|let|permit|provide|reserve|set aside|take into account|tolerate,NA,S0020025508004520,S0020025508004520_74
verify,verify,VERB,74,verifi,affirm|assert|aver|avow|control|swan|swear|verify,confirm|corroborate|sustain|substantiate|support|affirm|test|prove|try|try out|examine|essay|reassert|declare,S0020025508004520,S0020025508004520_74
there,there,ADV,74,there,there|thither,NA,S0020025508004520,S0020025508004520_74
least,least,ADV,74,least,least|to the lowest degree,NA,S0020025508004520,S0020025508004520_74
edge,edge,NOUN,74,edg,border|bound|boundary|edge|sharpness,boundary|bound|bounds|line|side|urgency|superiority|favorable position|favourable position|limit|demarcation|demarcation line,S0020025508004520,S0020025508004520_74
pair,pair,NOUN,74,pair,brace|couple|couplet|distich|duad|duet|duo|dyad|pair|span|twain|twosome|yoke,set|two|2|II|deuce|gathering|assemblage|poker hand,S0020025508004520,S0020025508004520_74
nodes,node,NOUN,74,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_74
corresponding,correspond,NOUN,74,correspond,NA,NA,S0020025508004520,S0020025508004520_74
network,network,NOUN,74,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_74
sentences,sentences,NOUN,74,sentenc,NA,NA,S0020025508004520,S0020025508004520_74
