token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
when,when,ADV,3,when,NA,NA,S0020025508004520,S0020025508004520_3
summary,summary,NOUN,3,summari,sum-up|summary,statement,S0020025508004520,S0020025508004520_3
constructed,construct,VERB,3,construct,build|construct|fabricate|make|manufacture|reconstruct|retrace,make|create|trace|draw|line|describe|delineate|create by mental act|create mentally|speculate|theorize|theorise|conjecture|hypothesize|hypothesise|hypothecate|suppose,S0020025508004520,S0020025508004520_3
selecting,select,VERB,3,select,choose|pick out|select|take,decide|make up one's mind|determine,S0020025508004520,S0020025508004520_3
juxtaposing,juxtapose,VERB,3,juxtapos,juxtapose,put|set|place|pose|position|lay,S0020025508004520,S0020025508004520_3
source,source,NOUN,3,sourc,author|beginning|generator|germ|informant|origin|reference|reservoir|root|rootage|seed|source,point|document|written document|papers|inspiration|facility|installation|communicator|maker|shaper|natural process|natural action|action|activity|thing|publication,S0020025508004520,S0020025508004520_3
pieces,piece,NOUN,3,piec,art object|bit|composition|firearm|man|musical composition|objet d'art|opus|part|patch|piece|piece of music|slice|small-arm|spell|while,part|portion|item|thing|music|case|instance|example|creation|gun|helping|serving|distance|work of art|time|share|percentage|game equipment,S0020025508004520,S0020025508004520_3
such,such,ADJ,3,such,such(a),NA,S0020025508004520,S0020025508004520_3
as,as,ADV,3,a,as|equally|every bit,NA,S0020025508004520,S0020025508004520_3
sentences,sentences,NOUN,3,sentenc,NA,NA,S0020025508004520,S0020025508004520_3
called,call,VERB,3,call,address|anticipate|be known as|bid|call|call in|call off|call up|cry|forebode|foretell|holler|hollo|know as|name|phone|predict|prognosticate|promise|ring|scream|send for|shout|shout out|squall|telephone|visit|yell,label|telecommunicate|utter|emit|let out|let loose|order|tell|enjoin|say|meet|get together|request|ask for|bespeak|call for|quest|read|postpone|prorogue|hold over|put over|table|shelve|set back|defer|remit|put off|address|turn to|stop|stop over|demand|exact|play|indicate|guess|venture|pretend|hazard|ask|require|expect|challenge|dispute|gainsay|declare|adjudge|hold|entice|lure|tempt|see|consider|reckon|view|regard|awaken|wake|waken|rouse|wake up|arouse,S0020025508004520,S0020025508004520_3
extract,extract,NOUN,3,extract,excerpt|excerption|extract|infusion|selection,solution|passage,S0020025508004520,S0020025508004520_3
approach,approach,NOUN,47,approach,access|advance|approach|approach path|approach shot|approaching|attack|coming|feeler|glide path|glide slope|overture|plan of attack,conceptualization|conceptualisation|formulation|motion|movement|move|way|air lane|flight path|airway|skyway|suggestion|proposition|proffer|timing|similarity|golf stroke|golf shot|swing,S0020025508004520,S0020025508004520_47
bloedorn,bloedorn,NOUN,47,bloedorn,NA,NA,S0020025508004520,S0020025508004520_47
represent,represent,VERB,47,repres,act|be|comprise|constitute|correspond|defend|exemplify|interpret|lay out|make up|map|play|present|represent|stage|stand for|symbolise|symbolize|typify,equal|be|mean|intend|serve|express|verbalize|verbalise|utter|give tongue to|embody|personify|re-create|describe|depict|draw|remonstrate|point out|state|say|tell|permute|commute|transpose,S0020025508004520,S0020025508004520_47
instances,instance,NOUN,47,instanc,case|example|illustration|instance|representative,happening|occurrence|occurrent|natural event|information,S0020025508004520,S0020025508004520_47
terms,term,NOUN,47,term,condition|full term|strings|term|terminal figure|terminus,word|time period|period of time|period|statement|quantity|constituent|grammatical constituent|point|point in time|statue,S0020025508004520,S0020025508004520_47
as,as,ADV,47,a,as|equally|every bit,NA,S0020025508004520,S0020025508004520_47
