token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
network,network,NOUN,15,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_15
edges,edge,NOUN,15,edg,border|bound|boundary|edge|sharpness,boundary|bound|bounds|line|side|urgency|superiority|favorable position|favourable position|limit|demarcation|demarcation line,S0020025508004520,S0020025508004520_15
links,link,NOUN,15,link,connectedness|connection|connexion|contact|data link|inter-group communication|liaison|link|linkup|nexus|radio link|tie|tie-in,linkage|fastener|fastening|holdfast|fixing|union|unification|shape|form|linear unit|linear measure|instruction|command|statement|program line|channel|communication channel|line|communication system|circuit|electrical circuit|electric circuit,S0020025508004520,S0020025508004520_15
connect,connect,NOUN,15,connect,NA,NA,S0020025508004520,S0020025508004520_15
nodes,node,NOUN,15,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_15
according,accord,VERB,15,accord,accord|agree|allot|concord|consort|fit in|grant|harmonise|harmonize,match|fit|correspond|check|jibe|gibe|tally|agree|give,S0020025508004520,S0020025508004520_15
task,task,NOUN,15,task,chore|job|labor|project|task|undertaking,work|duty,S0020025508004520,S0020025508004520_15
dependent,dependent,ADJ,15,depend,dependant|dependent|drug-addicted|hooked|pendant|pendent|qualified|strung-out|subject|subordinate,NA,S0020025508004520,S0020025508004520_15
criteria,criterion,NOUN,15,criterion,criterion|measure|standard|touchstone,system of measurement|metric|ideal,S0020025508004520,S0020025508004520_15
selects,select,NOUN,132,select,NA,NA,S0020025508004520,S0020025508004520_132
number,number,NOUN,132,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product,S0020025508004520,S0020025508004520_132
sentences,sentences,NOUN,132,sentenc,NA,NA,S0020025508004520,S0020025508004520_132
community,community,NOUN,132,commun,biotic community|community|community of interests|residential area|residential district,gathering|assemblage|people|ownership|world organization|world organisation|international organization|international organisation|global organization|agreement|accord|district|territory|territorial dominion|dominion|group|grouping,S0020025508004520,S0020025508004520_132
proportional,proportional,ADJ,132,proport,proportional|relative,NA,S0020025508004520,S0020025508004520_132
size,size,NOUN,132,size,size|size of it|sizing,magnitude|property|filler|situation|state of affairs,S0020025508004520,S0020025508004520_132
satisfy,satisfy,VERB,132,satisfi,conform to|fill|fit|fulfil|fulfill|gratify|live up to|meet|satisfy,fit|conform to|meet|satisfy|fill|fulfill|fulfil|provide|supply|ply|cater,S0020025508004520,S0020025508004520_132
compression,compression,NOUN,132,compress,compaction|compressing|compression|concretion|condensation|contraction|densification,concentration|shrinking|shrinkage|encoding|encryption|press|pressure|pressing,S0020025508004520,S0020025508004520_132
