token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
methods,method,NOUN,63,method,method|method acting,know-how|acting|playing|playacting|performing,S0020025508004520,S0020025508004520_63
outlined,outline,ADJ,63,outlin,NA,NA,S0020025508004520,S0020025508004520_63
section,section,NOUN,63,section,department|discussion section|division|incision|part|plane section|section|segment|subdivision|surgical incision,writing|written material|piece of writing|music|slice|area|country|part|portion|team|squad|concept|conception|construct|square mile|expanse|surface area|class|form|grade|course|musical organization|musical organisation|musical group|army unit|division|segment|cut|cutting,S0020025508004520,S0020025508004520_63
use,use,VERB,63,us,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move,S0020025508004520,S0020025508004520_63
different,different,ADJ,63,differ,different,NA,S0020025508004520,S0020025508004520_63
linguistic,linguistic,ADJ,63,linguist,lingual|linguistic,NA,S0020025508004520,S0020025508004520_63
knowledge,knowledge,NOUN,63,knowledg,cognition|knowledge|noesis,psychological feature,S0020025508004520,S0020025508004520_63
establish,establish,NOUN,63,establish,NA,NA,S0020025508004520,S0020025508004520_63
node,node,NOUN,63,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_63
adjacency,adjacency,NOUN,63,adjac,adjacency|contiguity|contiguousness,nearness|closeness,S0020025508004520,S0020025508004520_63
network,network,NOUN,63,network,electronic network|mesh|meshing|meshwork|net|network|web,system|scheme|communication system|communication equipment|fabric|cloth|material|textile,S0020025508004520,S0020025508004520_63
believe,believe,VERB,78,believ,believe|conceive|consider|think|trust,accept|evaluate|pass judgment|judge|expect|anticipate|believe|credit,S0020025508004520,S0020025508004520_78
reflects,reflect,VERB,78,reflect,chew over|contemplate|excogitate|meditate|mull|mull over|muse|ponder|reflect|reverberate|ruminate|shine|speculate|think over,indicate|point|designate|show|think|cogitate|cerebrate|emit|give out|give off|attest|certify|manifest|demonstrate|evidence,S0020025508004520,S0020025508004520_78
experience,experience,NOUN,78,experi,experience,education|content|cognitive content|mental object|happening|occurrence|occurrent|natural event,S0020025508004520,S0020025508004520_78
reading,read,NOUN,78,read,read,publication,S0020025508004520,S0020025508004520_78
writing,write,NOUN,78,write,NA,NA,S0020025508004520,S0020025508004520_78
rarely,rarely,ADV,78,rare,rarely|seldom,NA,S0020025508004520,S0020025508004520_78
sentences,sentences,NOUN,78,sentenc,NA,NA,S0020025508004520,S0020025508004520_78
expressing,express,VERB,78,express,carry|convey|evince|express|extract|give tongue to|press out|show|state|utter|verbalise|verbalize,convey|communicate|intercommunicate|denote|refer|realize|realise|actualize|actualise|substantiate|get|acquire|mail|post|send,S0020025508004520,S0020025508004520_78
nearly,nearly,ADV,78,nearli,about|almost|closely|intimately|most|near|nearly|nigh|virtually|well-nigh,NA,S0020025508004520,S0020025508004520_78
same,same,ADJ,78,same,like|same|same(p),NA,S0020025508004520,S0020025508004520_78
content,content,NOUN,78,content,capacity|cognitive content|content|contentedness|contents|depicted object|mental object|message|subject|subject matter|substance,collection|aggregation|accumulation|assemblage|communication|proportion|volume|cognition|knowledge|noesis|acceptance|thing,S0020025508004520,S0020025508004520_78
locality,locality,NOUN,106,local,locality|neck of the woods|neighborhood|neighbourhood|vicinity,section,S0020025508004520,S0020025508004520_106
index,index,NOUN,106,index,exponent|forefinger|index|index finger|index number|indicant|indicator|power,scale|scale of measurement|graduated table|ordered series|fact|mathematical notation|list|listing|finger,S0020025508004520,S0020025508004520_106
compares,compare,NOUN,106,compar,comparability|compare|comparison|equivalence,likeness|alikeness|similitude,S0020025508004520,S0020025508004520_106
number,number,NOUN,106,number,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product,S0020025508004520,S0020025508004520_106
internal,internal,ADJ,106,intern,home(a)|inner|interior|interior(a)|internal|intimate|intragroup|national,NA,S0020025508004520,S0020025508004520_106
connections,connections,NOUN,106,connect,NA,NA,S0020025508004520,S0020025508004520_106
neighbors,neighbor,NOUN,106,neighbor,neighbor|neighbour,person|individual|someone|somebody|mortal|soul|object|physical object,S0020025508004520,S0020025508004520_106
node,node,NOUN,106,node,client|guest|knob|leaf node|lymph gland|lymph node|node|thickening,connection|connexion|link|convex shape|convexity|plant process|enation|point|celestial point|lymphatic tissue|lymphoid tissue|solid body substance|computer|computing machine|computing device|data processor|electronic computer|information processing system,S0020025508004520,S0020025508004520_106
denoted,denote,VERB,106,denot,announce|denote|refer,designate|denominate|mean|intend|signify|stand for|inform,S0020025508004520,S0020025508004520_106
niint,niint,NOUN,106,niint,NA,NA,S0020025508004520,S0020025508004520_106
