token,lemma,upos,clique,stem,synonyms,hypernyms,text,clique_id
inspection,inspection,NOUN,75,inspect,inspection|review,examination|scrutiny,S0020025508004520,S0020025508004520_75
notes,note,NOUN,75,note,annotation|bank bill|bank note|banker's bill|banknote|bill|billet|distinction|eminence|Federal Reserve note|government note|greenback|line|musical note|notation|note|note of hand|preeminence|promissory note|short letter|tone,written record|written account|personal letter|musical notation|tone|tone of voice|air|aura|atmosphere|paper money|folding money|paper currency|comment|commentary|high status|debt instrument|obligation|certificate of indebtedness,S0020025508004520,S0020025508004520_75
sentence,sentence,NOUN,75,sentenc,condemnation|conviction|judgment of conviction|prison term|sentence|time,string of words|word string|linguistic string|final judgment|final decision|term,S0020025508004520,S0020025508004520_75
conveys,convey,NOUN,75,convei,NA,NA,S0020025508004520,S0020025508004520_75
unique,unique,ADJ,75,uniqu,alone(p)|singular|unequaled|unequalled|unique|unique(p)|unparalleled,NA,S0020025508004520,S0020025508004520_75
piece,piece,NOUN,75,piec,art object|bit|composition|firearm|man|musical composition|objet d'art|opus|part|patch|piece|piece of music|slice|small-arm|spell|while,part|portion|item|thing|music|case|instance|example|creation|gun|helping|serving|distance|work of art|time|share|percentage|game equipment,S0020025508004520,S0020025508004520_75
information,information,NOUN,75,inform,data|entropy|info|information|selective information,message|content|subject matter|substance|cognition|knowledge|noesis|accusation|accusal|collection|aggregation|accumulation|assemblage|information measure,S0020025508004520,S0020025508004520_75
regarding,regard,VERB,75,regard,affect|consider|involve|reckon|regard|see|view,think|believe|consider|conceive|look|refer|pertain|relate|concern|come to|bear on|touch|touch on|have to do with,S0020025508004520,S0020025508004520_75
facilities,facilities,NOUN,75,facil,NA,NA,S0020025508004520,S0020025508004520_75
offered,offer,VERB,75,offer,bid|declare oneself|extend|offer|offer up|pop the question|proffer|propose|provide|put up|tender|volunteer,supply|provide|render|furnish|give|act|move|project|propose|pay|market|produce|bring on|bring out|worship|engage|wage|request|threaten,S0020025508004520,S0020025508004520_75
university,university,NOUN,75,univers,university,body|establishment|educational institution,S0020025508004520,S0020025508004520_75
thus,thus,ADV,75,thu,hence|so|thence|therefore|thus|thusly,NA,S0020025508004520,S0020025508004520_75
complementing,complement,VERB,75,complement,complement,balance|equilibrate|equilibrize|equilibrise,S0020025508004520,S0020025508004520_75
other,other,ADJ,75,other,early(a)|former(a)|other|other(a),NA,S0020025508004520,S0020025508004520_75
sentences,sentences,NOUN,75,sentenc,NA,NA,S0020025508004520,S0020025508004520_75
denote,denote,NOUN,148,denot,NA,NA,S0020025508004520,S0020025508004520_148
set,set,VERB,148,set,adjust|arrange|coif|coiffe|coiffure|congeal|correct|countersink|define|determine|do|dress|fix|fructify|gear up|go down|go under|jell|lay|lay out|limit|localise|localize|mark|place|plant|pose|position|prepare|put|ready|rig|set|set up|sic|specify|typeset,move|displace|choose|take|select|pick out|lay down|establish|make|change|alter|modify|arrange|set up|adjust|set|correct|stage|present|represent|descend|fall|go down|come down|compose|write|put|place|pose|position|lay|originate|initiate|start|solidify|print|impress|bury|sink|hone|assail|assault|set on|attack|estimate|gauge|approximate|guess|judge|equip|fit|fit out|outfit|fix|prepare|ready|gear up|reproduce|procreate|multiply|groom|neaten,S0020025508004520,S0020025508004520_148
sentences,sentences,NOUN,148,sentenc,NA,NA,S0020025508004520,S0020025508004520_148
reference,reference,NOUN,148,refer,acknowledgment|address|book of facts|character|character reference|citation|cite|computer address|consultation|credit|denotation|extension|mention|point of reference|quotation|reference|reference book|reference point|reference work|source,remark|comment|input|note|annotation|notation|indicator|book|recommendation|testimonial|good word|meaning|substance|action|publication|code|computer code,S0020025508004520,S0020025508004520_148
extract,extract,NOUN,148,extract,excerpt|excerption|extract|infusion|selection,solution|passage,S0020025508004520,S0020025508004520_148
er,er,PROPN,148,er,NA,NA,S0020025508004520,S0020025508004520_148
topics,topic,NOUN,165,topic,issue|matter|subject|theme|topic,message|content|subject matter|substance|cognitive content|mental object,S0020025508004520,S0020025508004520_165
also,also,ADV,165,also,also|as well|besides|likewise|too,NA,S0020025508004520,S0020025508004520_165
detected,detect,VERB,165,detect,detect|discover|find|notice|observe,spy|sight,S0020025508004520,S0020025508004520_165
chosen,chosen,NOUN,165,chosen,chosen|Chosen|elect,darling|favorite|favourite|pet|dearie|deary|ducky|elite|elite group,S0020025508004520,S0020025508004520_165
sentences,sentences,NOUN,165,sentenc,NA,NA,S0020025508004520,S0020025508004520_165
containing,contain,VERB,165,contain,arrest|bear|carry|check|comprise|contain|control|curb|hold|hold back|hold in|incorporate|moderate|stop|take|turn back,include|restrain|keep|keep back|hold back|be|defend,S0020025508004520,S0020025508004520_165
most,most,ADJ,165,most,most(a),NA,S0020025508004520,S0020025508004520_165
frequent,frequent,ADJ,165,frequent,frequent,NA,S0020025508004520,S0020025508004520_165
words,word,NOUN,165,word,Bible|Book|Christian Bible|countersign|discussion|give-and-take|Good Book|Holy Scripture|Holy Writ|intelligence|Logos|news|parole|password|Scripture|Son|tidings|watchword|word|Word|Word of God|word of honor,language unit|linguistic unit|statement|information|info|order|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|promise|computer memory unit|positive identification|secret|arcanum|sacred text|sacred writing|religious writing|religious text,S0020025508004520,S0020025508004520_165
follows,follow,VERB,172,follow,abide by|accompany|adopt|be|come|come after|comply|conform to|espouse|fall out|follow|keep abreast|keep an eye on|keep up|observe|play along|postdate|pursue|stick to|stick with|succeed|surveil|survey|take after|trace|travel along|watch|watch over,travel|go|move|locomote|result|ensue|obey|imitate|copy|simulate|be|choose|take|select|pick out|analyze|analyse|study|examine|canvass|check|check up on|look into|check out|suss out|check over|go over|check into|play|originate|arise|rise|develop|uprise|spring up|grow|act|behave|do|practice|apply|use|understand|persevere|persist|hang in|hang on|hold on,S0020025508004520,S0020025508004520_172
discuss,discuss,VERB,172,discuss,discourse|discuss|hash out|talk about|talk over,cover|treat|handle|plow|deal|address|talk of|talk about,S0020025508004520,S0020025508004520_172
