text,clique_id,index,v,e
biomed_1468-6708-3-7-hepple_clean,1,pairwise,0.11150758251561106,0.0033177218669362745
biomed_1468-6708-3-7-hepple_clean,2,pairwise,0.11239964317573595,0.0026063506397165184
biomed_1468-6708-3-7-hepple_clean,3,pairwise,0.1311329170383586,0.003904506482199835
biomed_1468-6708-3-7-hepple_clean,4,pairwise,0.08890871245911389,0.006509334990534589
biomed_1468-6708-3-7-hepple_clean,5,pairwise,0.128040440083259,0.002061037821407365
biomed_1468-6708-3-7-hepple_clean,6,pairwise,0.0511646347507186,0.002821872553549234
biomed_1468-6708-3-7-hepple_clean,7,pairwise,0.10837545842006145,0.003632662200624171
biomed_1468-6708-3-7-hepple_clean,8,pairwise,0.07673633235631451,0.0017823841796130396
biomed_1468-6708-3-7-hepple_clean,9,pairwise,0.12002994775073277,0.0018255214257120818
biomed_1468-6708-3-7-hepple_clean,10,pairwise,0.07756609036716083,0.003314956652192108
biomed_1468-6708-3-7-hepple_clean,11,pairwise,0.13995086586522804,0.0059069033856841485
biomed_1468-6708-3-7-hepple_clean,12,pairwise,0.09681796298656245,0.002601283847863657
biomed_1468-6708-3-7-hepple_clean,13,pairwise,0.10882656264012196,0.0018481746509494492
biomed_1468-6708-3-7-hepple_clean,14,pairwise,0.11709300957739852,0.0014754612925853307
biomed_1468-6708-3-7-hepple_clean,15,pairwise,0.10649736575249509,0.004111176375864221
biomed_1468-6708-3-7-hepple_clean,16,pairwise,0.1337955277343634,0.0034793642781426187
biomed_1468-6708-3-7-hepple_clean,17,pairwise,0.06076328042032759,0.002970218152433956
biomed_1468-6708-3-7-hepple_clean,18,pairwise,0.17127169047523544,0.0018755899493893844
biomed_1468-6708-3-7-hepple_clean,19,pairwise,0.08473549702728299,0.0053513126211828695
biomed_1468-6708-3-7-hepple_clean,20,pairwise,0.10412948232527253,0.0033207116935131805
biomed_1468-6708-3-7-hepple_clean,21,pairwise,0.0630101876377352,0.002620198931436921
biomed_1468-6708-3-7-hepple_clean,22,pairwise,0.12631740680238207,0.004797774787112215
biomed_1468-6708-3-7-hepple_clean,23,pairwise,0.08438493349903285,0.0031247295384860437
biomed_1468-6708-3-7-hepple_clean,24,pairwise,0.07088653018061589,0.005913840507101532
biomed_1468-6708-3-7-hepple_clean,25,pairwise,0.13815140712931323,0.0022797968516506503
biomed_1468-6708-3-7-hepple_clean,26,pairwise,0.10613278734099338,0.002434591778050373
biomed_1468-6708-3-7-hepple_clean,27,pairwise,0.04597832362433297,0.005146443726401448
biomed_1468-6708-3-7-hepple_clean,28,pairwise,0.04919031703808951,0.006000632559976506
biomed_1468-6708-3-7-hepple_clean,29,pairwise,0.10642643926145823,0.0015864238883968073
biomed_1468-6708-3-7-hepple_clean,30,pairwise,0.03974001834196993,0.002633400646335526
biomed_1468-6708-3-7-hepple_clean,31,pairwise,0.08662712625087514,0.002202496557751374
biomed_1468-6708-3-7-hepple_clean,32,pairwise,0.053732876302011,0.004973164208266961
biomed_1468-6708-3-7-hepple_clean,33,pairwise,0.09903955103579343,0.003759736054832685
biomed_1468-6708-3-7-hepple_clean,34,pairwise,0.0811271854223092,0.0011499221725480748
