lemma,upos,clique_id,stem,synonyms,hypernyms,text,affix,text_clique_id
jame,NNP,1,jame,NA,NA,berlitz_HistoryDublin-hepple_clean,s,berlitz_HistoryDublin-hepple_clean_60
be,VBD,1,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA,berlitz_HistoryDublin-hepple_clean,ed,berlitz_HistoryDublin-hepple_clean_60
defeat,VBN,1,defeat,defeat|get the better of|kill|overcome|shoot down|vote down|vote out,veto|blackball|negative,berlitz_HistoryDublin-hepple_clean,ed,berlitz_HistoryDublin-hepple_clean_60
william,NNP,1,william,NA,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_60
orange,NNP,1,orang,orange|Orange|Orange River|orange tree|orangeness,citrus|citrus fruit|citrous fruit|chromatic color|chromatic colour|spectral color|spectral colour|citrus tree|pigment,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_60
just,RB,1,just,barely|but|exactly|hardly|just|just now|merely|only|precisely|properly|scarce|scarcely|simply,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_60
north,RB,1,north,north|northerly|northward|northwards,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_60
dublin,NNP,1,dublin,capital of Ireland|Dublin|Irish capital,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_60
battle,NNP,1,battl,battle|conflict|engagement|fight|struggle,military action|action|attempt|effort|endeavor|endeavour|try|group action,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_60
boyne,NNP,1,boyn,battle of Boyne|Boyne,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_60
1690,CD,1,1690,NA,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_60
famous,NNP,2,famou,NA,NA,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_126
edinburgh,NNP,2,edinburgh,Edinburgh,NA,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_126
resident,NNS,2,resid,house physician|occupant|occupier|resident|resident physician,inhabitant|habitant|dweller|denizen|indweller|doctor|doc|physician|MD|Dr.|medico,berlitz_HistoryEdinburgh-hepple_clean,s,berlitz_HistoryEdinburgh-hepple_clean_126
