lemma,upos,clique_id,stem,synonyms,hypernyms,text,affix,text_clique_id
1988,CD,1,1988,NA,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_120
dublin,NNP,1,dublin,capital of Ireland|Dublin|Irish capital,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_120
city,NN,1,citi,city|metropolis|urban center,municipality|administrative district|administrative division|territorial division,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_120
millennium,NN,1,millennium,millenary|millennium,time period|period of time|period|doctrine|philosophy|philosophical system|school of thought|ism|anniversary|day of remembrance,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_120
be,VBD,1,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA,berlitz_HistoryDublin-hepple_clean,ed,berlitz_HistoryDublin-hepple_clean_120
mark,VBN,1,mark,brand|check|check off|commemorate|cross off|cross out|denounce|differentiate|distinguish|grade|label|mark|mark off|nock|note|notice|pit|pock|punctuate|scar|score|set|stigmatise|stigmatize|strike off|strike out|tag|tick|tick off,attach|bespeak|betoken|indicate|point|signal|qualify|characterize|characterise|observe|celebrate|keep|change|alter|modify|label|deface|disfigure|blemish|notch|lay down|establish|make|record|enter|put down|take away|take out|verify|measure|evaluate|valuate|assess|appraise|value|add,berlitz_HistoryDublin-hepple_clean,ed,berlitz_HistoryDublin-hepple_clean_120
restoration,NN,1,restor,refurbishment|regaining|renovation|restitution|restoration|Restoration|return,repair|fix|fixing|fixture|mend|mending|reparation|acquisition|improvement|melioration|artifact|artefact|model|simulation,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_120
many,JJ,1,mani,many,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_120
fine,NN,1,fine,amercement|fine|mulct,penalty,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_120
building,NNS,1,build,building|construction|edifice,structure|construction|creating from raw materials|commercial enterprise|business enterprise|business|gathering|assemblage,berlitz_HistoryDublin-hepple_clean,s,berlitz_HistoryDublin-hepple_clean_120
new,JJ,1,new,fresh|Modern|new|New|new(a)|novel|raw|unexampled|young,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_120
statue,NNS,1,statu,statue,sculpture,berlitz_HistoryDublin-hepple_clean,s,berlitz_HistoryDublin-hepple_clean_120
monument,NNS,1,monument,memorial|monument|repository,structure|construction|site|land site|burial chamber|sepulcher|sepulchre|sepulture,berlitz_HistoryDublin-hepple_clean,s,berlitz_HistoryDublin-hepple_clean_120
create,VBN,1,creat,create|make|produce,act|move|appoint|charge|make|create,berlitz_HistoryDublin-hepple_clean,ed,berlitz_HistoryDublin-hepple_clean_120
