lemma,upos,clique_id,stem,synonyms,hypernyms,text,affix,text_clique_id
18,CD,1,18,NA,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_64
th,NN,1,th,atomic number 90|Th|thorium|Thursday,weekday|metallic element|metal,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_64
century,NN,1,centuri,100|C|century|hundred|one C,time period|period of time|period|large integer,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_64
be,VBD,1,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA,berlitz_HistoryDublin-hepple_clean,ed,berlitz_HistoryDublin-hepple_clean_64
not,RB,1,not,non|not,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_64
good,JJ,1,good,adept|beneficial|dear|dependable|effective|estimable|expert|full|good|honest|honorable|in effect(p)|in force(p)|just|near|practiced|proficient|respectable|right|ripe|safe|salutary|secure|serious|skilful|skillful|sound|unspoiled|unspoilt|upright|well(p),NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_64
time,NN,1,time,clip|clock time|fourth dimension|meter|metre|prison term|sentence|time,case|instance|example|time period|period of time|period|moment|minute|second|instant|attribute|experience|reading|meter reading|indication|dimension|rhythmicity|term,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_64
native,JJ,1,nativ,aboriginal|native,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_64
irish,JJ,1,irish,Irish,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_64
protestant,JJ,1,protest,protestant|Protestant,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_64
ascendancy,NNP,1,ascend,ascendance|ascendancy|ascendence|ascendency|control|dominance,condition|status,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_64
flourish,VBD,1,flourish,boom|brandish|expand|flourish|fly high|prosper|thrive|wave,grow|change state|turn|move|displace,berlitz_HistoryDublin-hepple_clean,ed,berlitz_HistoryDublin-hepple_clean_64
architectural,JJ,2,architectur,architectural,NA,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_125
renaissance,NN,2,renaiss,rebirth|Renaissance|Renascence,revival|resurgence|revitalization|revitalisation|revivification,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_125
edinburgh,NNP,2,edinburgh,Edinburgh,NA,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_125
be,VBD,2,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA,berlitz_HistoryEdinburgh-hepple_clean,ed,berlitz_HistoryEdinburgh-hepple_clean_125
follow,VBN,2,follow,abide by|accompany|adopt|be|come|come after|comply|conform to|espouse|fall out|follow|keep abreast|keep an eye on|keep up|observe|play along|postdate|pursue|stick to|stick with|succeed|surveil|survey|take after|trace|travel along|watch|watch over,travel|go|move|locomote|result|ensue|obey|imitate|copy|simulate|be|choose|take|select|pick out|analyze|analyse|study|examine|canvass|check|check up on|look into|check out|suss out|check over|go over|check into|play|originate|arise|rise|develop|uprise|spring up|grow|act|behave|do|practice|apply|use|understand|persevere|persist|hang in|hang on|hold on,berlitz_HistoryEdinburgh-hepple_clean,ed,berlitz_HistoryEdinburgh-hepple_clean_125
intellectual,JJ,2,intellectu,cerebral|intellectual|noetic|rational,NA,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_125
flower,VBG,2,flower,bloom|blossom|flower,develop,berlitz_HistoryEdinburgh-hepple_clean,ing,berlitz_HistoryEdinburgh-hepple_clean_125
science,NNS,2,scienc,science|scientific discipline|skill,discipline|subject|subject area|subject field|field|field of study|study|bailiwick|ability|power,berlitz_HistoryEdinburgh-hepple_clean,s,berlitz_HistoryEdinburgh-hepple_clean_125
philosophy,NN,2,philosophi,doctrine|ism|philosophical system|philosophy|school of thought,belief|humanistic discipline|humanities|liberal arts|arts,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_125
medicine,NN,2,medicin,medical specialty|medicament|medication|medicinal drug|medicine|music|practice of medicine,medical science|drug|learned profession|punishment|penalty|penalization|penalisation,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_125
revolutionize,VBD,2,revolution,inspire|overturn|revolutionise|revolutionize,change|alter|modify|overthrow|subvert|overturn|bring down|indoctrinate,berlitz_HistoryEdinburgh-hepple_clean,ed,berlitz_HistoryEdinburgh-hepple_clean_125
western,JJ,2,western,westerly|western,NA,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_125
society,NN,2,societi,beau monde|bon ton|club|companionship|company|fellowship|gild|guild|high society|lodge|order|smart set|social club|society,social group|association|friendship|friendly relationship|elite|elite group,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_125
late,JJ,2,late,belated|former(a)|late|late(a)|later(a)|previous(a)|recent|tardy,NA,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_125
18,CD,2,18,NA,NA,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_125
th,NN,2,th,atomic number 90|Th|thorium|Thursday,weekday|metallic element|metal,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_125
century,NN,2,centuri,100|C|century|hundred|one C,time period|period of time|period|large integer,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_125
