lemma,upos,clique_id,stem,synonyms,hypernyms,text,affix,text_clique_id
st,NNP,1,st,NA,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_11
patrick,NNP,1,patrick,Patrick|Saint Patrick|St. Patrick,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_11
first,RB,1,first,first|first of all|first off|firstly|foremost,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_11
come,VBD,1,come,add up|amount|arrive|come|come in|come up|derive|descend|do|fall|fare|follow|get|get along|hail|issue forth|make out|number|occur|total,NA,berlitz_HistoryDublin-hepple_clean,ed,berlitz_HistoryDublin-hepple_clean_11
ireland,NNP,1,ireland,Eire|Emerald Isle|Hibernia|Ireland|Irish Republic|Republic of Ireland,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_11
prisoner,NN,1,prison,captive|prisoner,unfortunate|unfortunate person,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_11
capture,VBN,1,captur,appropriate|becharm|beguile|bewitch|captivate|capture|catch|charm|conquer|enamor|enamour|enchant|entrance|fascinate|get|seize|trance,represent|interpret|attract|appeal|seize|prehend|clutch|change|alter|modify|assume|usurp|take over|arrogate|get|acquire,berlitz_HistoryDublin-hepple_clean,ed,berlitz_HistoryDublin-hepple_clean_11
irish,JJ,1,irish,Irish,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_11
raid,NN,1,raid,foray|maraud|raid,penetration|incursion|embezzlement|peculation|defalcation|misapplication|misappropriation,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_11
roman,NNP,1,roman,roman|Roman|roman letters|roman print|roman type,Italian|European|proportional font,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_11
settlement,NN,1,settlement,closure|colonisation|colonization|colony|liquidation|resolution|settlement|small town|village,body|community|agreement|understanding|constitution|establishment|formation|organization|organisation|decision making|deciding|geographical area|geographic area|geographical region|geographic region|termination|ending|conclusion,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_11
britain,NNP,1,britain,Britain|Great Britain|U.K.|UK|United Kingdom|United Kingdom of Great Britain and Northern Ireland,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_11
be,VBD,2,be,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA,berlitz_HistoryEdinburgh-hepple_clean,ed,berlitz_HistoryEdinburgh-hepple_clean_143
