lemma,upos,clique_id,stem,synonyms,hypernyms,text,affix,text_clique_id
wolfe,NNP,1,wolf,Thomas Clayton Wolfe|Thomas Kennerly Wolfe Jr.|Thomas Wolfe|Tom Wolfe|Wolfe,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_71
tone,NNP,1,tone,feel|feeling|flavor|flavour|look|musical note|note|pure tone|quality|shade|smell|spirit|step|timber|timbre|tincture|tint|tone|tone of voice|tonicity|tonus|whole step|whole tone,manner of speaking|speech|delivery|pitch|sound property|atmosphere|ambiance|ambience|color|colour|coloring|colouring|musical notation|sound|auditory sensation|tension|tensity|tenseness|tautness|interval|musical interval|quality,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_71
secure,VBD,1,secur,assure|batten|batten down|ensure|fasten|fix|guarantee|insure|plug|procure|secure|stop up,obtain|attach|guarantee|vouch|close|fill up|strengthen|beef up|fortify,berlitz_HistoryDublin-hepple_clean,ed,berlitz_HistoryDublin-hepple_clean_71
aid,NN,1,aid,aid|assist|assistance|attention|care|economic aid|economic assistance|financial aid|financial assistance|help|tending,resource|activity|gift|work,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_71
france,NNP,1,franc,Anatole France|France|French Republic|Jacques Anatole Francois Thibault,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_71
storm,NN,1,storm,storm|tempest|violent storm,atmospheric phenomenon|disturbance|disruption|commotion|flutter|hurly burly|to-do|hoo-ha|hoo-hah|kerfuffle|assault,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_71
scatter,VBN,1,scatter,break up|dispel|disperse|dissipate|dot|dust|scatter|spread|spread out|sprinkle,separate|divide|part|split|discharge|sow|seed|change integrity|circulate|pass around|pass on|distribute,berlitz_HistoryDublin-hepple_clean,ed,berlitz_HistoryDublin-hepple_clean_71
ship,NNS,1,ship,ship,vessel|watercraft,berlitz_HistoryDublin-hepple_clean,s,berlitz_HistoryDublin-hepple_clean_71
invade,VBG,1,invad,encroach upon|infest|intrude on|invade|obtrude upon|occupy|overrun,attack|assail|enter|come in|get into|get in|go into|go in|move into|inhabit|interpenetrate|permeate,berlitz_HistoryDublin-hepple_clean,ing,berlitz_HistoryDublin-hepple_clean_71
force,NN,1,forc,effect|force|force out|force play|force-out|forcefulness|military force|military group|military unit|personnel|power|strength|violence,influence|physical phenomenon|intensity|intensiveness|organization|organisation|unit|social unit|aggression|hostility|causal agent|cause|causal agency|social group|validity|validness|putout,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_71
next,JJ,2,next,adjacent|following|future(a)|next|side by side(p)|succeeding(a),NA,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_98
