lemma,upos,clique_id,stem,synonyms,hypernyms,text,affix,text_clique_id
ninth,JJ,1,ninth,9th|ninth,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_28
century,NN,1,centuri,100|C|century|hundred|one C,time period|period of time|period|large integer,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_28
build,VBD,1,build,build|build up|construct|establish|make|progress|ramp up|work up,make|create|develop|better|improve|amend|ameliorate|meliorate|oversee|supervise|superintend|manage|establish|base|ground|found|increase|intensify|deepen,berlitz_HistoryDublin-hepple_clean,ed,berlitz_HistoryDublin-hepple_clean_28
fort,NN,1,fort,fort|fortress|garrison,military post|post|defensive structure|defense|defence,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_28
liffey,NNP,1,liffei,NA,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_28
found,VBD,1,found,base|constitute|establish|found|ground|institute|launch|plant|set up,open|open up|initiate|pioneer,berlitz_HistoryDublin-hepple_clean,ed,berlitz_HistoryDublin-hepple_clean_28
ireland,NNP,1,ireland,Eire|Emerald Isle|Hibernia|Ireland|Irish Republic|Republic of Ireland,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_28
s,VBZ,1,NA,NA,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_28
first,JJ,1,first,1st|beginning(a)|first|foremost|inaugural|initiative|initiatory|maiden|world-class,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_28
town,NN,1,town,Ithiel Town|town|Town|townsfolk|township|townspeople,municipality|administrative district|administrative division|territorial division|architect|designer,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_28
—,NN,1,—,NA,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_28
dubh,NNP,1,dubh,NA,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_28
linn,NNP,1,linn,NA,NA,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_28
black,NNP,1,black,African-American|black|Black|blackness|inkiness|Joseph Black|lightlessness|Negro|Negroid|pitch blackness|Shirley Temple|Shirley Temple Black|total darkness,achromatic color|achromatic colour|dark|darkness|person|individual|someone|somebody|mortal|soul|man|piece|clothing|article of clothing|vesture|wear|wearable|habiliment,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_28
pool,NNP,1,pool,consortium|kitty|pocket billiards|pond|pool|puddle|syndicate,excavation|lake|organization|organisation|association|reserve account|reserve fund|body of water|water|stake|stakes|bet|wager|topographic point|place|spot|table game,berlitz_HistoryDublin-hepple_clean,NA,berlitz_HistoryDublin-hepple_clean_28
news,NN,2,new,intelligence|news|news program|news show|newsworthiness|tidings|word,information|info|broadcast|program|programme|interest|interestingness,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_69
reach,VBD,2,reach,accomplish|achieve|arrive at|attain|contact|extend to|gain|get hold of|get through|get to|give|hand|hit|make|pass|pass on|progress to|reach|reach out|strain|strive|touch|turn over,arrive|get|come|move|communicate|intercommunicate|succeed|win|come through|bring home the bacon|deliver the goods|be|achieve|accomplish|attain|reach|transfer|tug|labor|labour|push|drive,berlitz_HistoryEdinburgh-hepple_clean,ed,berlitz_HistoryEdinburgh-hepple_clean_69
london,NNP,2,london,British capital|capital of the United Kingdom|Greater London|Jack London|John Griffith Chaney|London,NA,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_69
henry,NNP,2,henri,H|henry|Henry|Joseph Henry|Patrick Henry|William Henry,inductance unit,berlitz_HistoryEdinburgh-hepple_clean,NA,berlitz_HistoryEdinburgh-hepple_clean_69
viius,NNP,2,viiu,NA,NA,berlitz_HistoryEdinburgh-hepple_clean,s,berlitz_HistoryEdinburgh-hepple_clean_69
